eps_key,sigma_omega,ang_err_pw,ang_err_zo
study,0.1,4.387360701e-06,0.01634030948
study,0.1258925412,3.96502874e-06,0.01634107833
study,0.1584893192,4.109535042e-06,0.01633970321
study,0.1995262315,3.788958841e-06,0.01634015656
study,0.2511886432,4.795638182e-06,0.01633633657
study,0.316227766,5.82994199e-06,0.01634825799
study,0.3981071706,6.579327459e-06,0.016330792
study,0.5011872336,2.81176379e-06,0.01631296143
study,0.6309573445,5.797334093e-06,0.01630313354
study,0.7943282347,8.673686042e-06,0.01619340353
study,1,1.295440109e-05,0.0164161218
study,1.258925412,1.000595115e-05,0.0161094372
study,1.584893192,2.111317627e-05,0.01654983855
study,1.995262315,4.043345455e-05,0.01600292981
study,2.511886432,7.024363045e-05,0.01668234152
study,3.16227766,0.0001034315885,0.01639071352
study,3.981071706,0.0001608458801,0.01635331071
study,5.011872336,0.0002608946569,0.0163538912
study,6.309573445,0.0004001595346,0.01636787441
study,7.943282347,0.0006290680918,0.01637112848
study,10,0.0009914697811,0.01635678696
study,12.58925412,0.001572144305,0.01633587359
study,15.84893192,0.002565132099,0.01636700203
study,19.95262315,0.004018936529,0.01636320943
study,25.11886432,0.006249898434,0.01636295479
study,31.6227766,0.01017252597,0.01636618582
study,39.81071706,0.01620806159,0.01638627898
study,50.11872336,0.02555400689,0.01635602853
study,63.09573445,0.04212837213,0.01636341564
study,79.43282347,0.07222429534,0.01636186529
study,100,0.1220616465,0.01636172872
study,125.8925412,0.2030789954,0.01638165059
study,158.4893192,0.2964466902,0.01635467989
study,199.5262315,0.3915259993,0.01636838803
study,251.1886432,0.5037468531,0.01636402725
study,316.227766,0.5885315855,0.01635028932
study,398.1071706,0.6608989794,0.01635142043
study,501.1872336,0.7303099682,0.01637190984
study,630.9573445,0.7862676135,0.01636761265
study,794.3282347,0.8305616244,0.01636140311
study,1000,0.8639984736,0.01633978579
x10,0.1,4.92674543e-06,0.01632430891
x10,0.1258925412,1.536124796e-06,0.01633225835
x10,0.1584893192,3.914467953e-06,0.0163218667
x10,0.1995262315,1.781317276e-06,0.0163293428
x10,0.2511886432,9.821131165e-06,0.01628556229
x10,0.316227766,3.612024767e-05,0.0164614786
x10,0.3981071706,4.848979422e-05,0.01628589345
x10,0.5011872336,5.224046476e-05,0.01625808614
x10,0.6309573445,5.486015092e-05,0.01633749756
x10,0.7943282347,0.0001897265664,0.01530447633
x10,1,0.0008013119073,0.01930086234
x10,1.258925412,0.001070023797,0.01589260511
x10,1.584893192,0.001860326468,0.0201342978
x10,1.995262315,0.003503936215,0.01511151448
x10,2.511886432,0.006852837766,0.0220234434
x10,3.16227766,0.0102288063,0.0188003685
x10,3.981071706,0.01628585154,0.01835014971
x10,5.011872336,0.02642017537,0.01834314291
x10,6.309573445,0.04326858811,0.01851558384
x10,7.943282347,0.07146434536,0.01853371822
x10,10,0.1194226554,0.01835073119
x10,12.58925412,0.1941470955,0.01819992238
x10,15.84893192,0.2939091091,0.01850052968
x10,19.95262315,0.401796172,0.01846504904
x10,25.11886432,0.4921155264,0.01848552875
x10,31.6227766,0.5793136687,0.01849663481
x10,39.81071706,0.6563047649,0.01873461657
x10,50.11872336,0.7333756772,0.01837886323
x10,63.09573445,0.7794747533,0.01841916392
x10,79.43282347,0.830895653,0.01843436939
x10,100,0.8698713017,0.01840591274
x10,125.8925412,0.8960957866,0.01859777756
x10,158.4893192,0.9263272987,0.01831778597
x10,199.5262315,0.9212845862,0.01855130328
x10,251.1886432,0.9569409727,0.01842533949
x10,316.227766,0.9620849486,0.01834302701
x10,398.1071706,0.9685344523,0.01836462225
x10,501.1872336,0.9782294762,0.0185241212
