d,sigma,omega,log_ratio_zo_over_pw,c_star
1,0.01,0.1,14.263327182739722,1.2013877434506741
1,0.01,0.13501275609964633,13.484978409501464,1.2013877434506741
1,0.01,0.18228444309622582,13.081551741969559,1.2013877434506741
1,0.01,0.24610725056510596,12.652161549587127,1.2013877434506741
1,0.01,0.33227618194901193,12.39574393651948,1.2013877434506741
1,0.01,0.4486152311120365,11.705398969553013,1.2013877434506741
1,0.01,0.6056877878071585,10.84481383272396,1.2013877434506741
1,0.01,0.8177557756774221,10.5179795085433,1.2013877434506741
1,0.01,1.1040746109061288,9.495511642902299,1.2013877434506741
1,0.01,1.4906415615808106,8.505109404812544,1.2013877434506741
1,0.01,2.012556255857059,8.700893012742227,1.2013877434506741
1,0.01,2.717207669088465,7.80172283933933,1.2013877434506741
1,0.01,3.6685769629872937,7.457268360783219,1.2013877434506741
1,0.01,4.953046867365847,6.210629858051119,1.2013877434506741
1,0.01,6.687245086537825,6.384343195107759,1.2013877434506741
1,0.01,9.028633898472895,5.297296626560064,1.2013877434506741
1,0.01,12.189807464475196,4.9763653123293,1.2013877434506741
1,0.01,16.457795021028378,4.08000686117397,1.2013877434506741
1,0.01,22.22012265112078,3.761247987499604,1.2013877434506741
1,0.01,29.99999999999996,3.20459815611087,1.2013877434506741
1,0.01,40.503826829893846,2.4853673028399763,1.2013877434506741
1,0.01,54.68533292886767,2.1440637669657066,1.2013877434506741
1,0.01,73.83217516953168,1.401090663541263,1.2013877434506741
1,0.01,99.68285458470345,0.5100506073871346,1.2013877434506741
1,0.01,134.58456933361077,-0.3033588366869684,1.2013877434506741
1,0.01,181.70633634214732,-1.105312522017801,1.2013877434506741
1,0.01,245.3267327032263,-1.75345407436729,1.2013877434506741
1,0.01,331.2223832718382,-2.3638154799902242,1.2013877434506741
1,0.01,447.1924684742427,-2.960261946745755,1.2013877434506741
1,0.01,603.766876757117,-3.5626014777656043,1.2013877434506741
1,0.01,815.1623007265384,-4.161948251588599,1.2013877434506741
1,0.01,1100.5730888961868,-4.763385228598126,1.2013877434506741
1,0.01,1485.9140602097523,-5.364334161061468,1.2013877434506741
1,0.01,2006.1735259613445,-5.965259101409711,1.2013877434506741
1,0.013501275609964631,0.1,13.66296997349326,1.2013877434506741
1,0.013501275609964631,0.13501275609964633,12.884813623178557,1.2013877434506741
1,0.013501275609964631,0.18228444309622582,12.481175787129187,1.2013877434506741
1,0.013501275609964631,0.24610725056510596,12.051696714784342,1.2013877434506741
1,0.013501275609964631,0.33227618194901193,11.79451691542378,1.2013877434506741
1,0.013501275609964631,0.4486152311120365,11.107627652322101,1.2013877434506741
1,0.013501275609964631,0.6056877878071585,10.245272129876978,1.2013877434506741
1,0.013501275609964631,0.8177557756774221,9.918763070256972,1.2013877434506741
1,0.013501275609964631,1.1040746109061288,8.895731133964134,1.2013877434506741
1,0.013501275609964631,1.4906415615808106,7.926706486969903,1.2013877434506741
1,0.013501275609964631,2.012556255857059,8.105617045837866,1.2013877434506741
1,0.013501275609964631,2.717207669088465,7.209208468290453,1.2013877434506741
1,0.013501275609964631,3.6685769629872937,6.86507800927627,1.2013877434506741
1,0.013501275609964631,4.953046867365847,5.635778403541884,1.2013877434506741
1,0.013501275609964631,6.687245086537825,5.796006490119436,1.2013877434506741
1,0.013501275609964631,9.028633898472895,4.731049160207919,1.2013877434506741
1,0.013501275609964631,12.189807464475196,4.393193319402217,1.2013877434506741
1,0.013501275609964631,16.457795021028378,3.519891806083039,1.2013877434506741
1,0.013501275609964631,22.22012265112078,3.1748736355031233,1.2013877434506741
1,0.013501275609964631,29.99999999999996,2.607914691761228,1.2013877434506741
1,0.013501275609964631,40.503826829893846,1.8810026753426148,1.2013877434506741
1,0.013501275609964631,54.68533292886767,1.3760845945235227,1.2013877434506741
1,0.013501275609964631,73.83217516953168,0.5231582487745104,1.2013877434506741
1,0.013501275609964631,99.68285458470345,-0.3110907748999279,1.2013877434506741
1,0.013501275609964631,134.58456933361077,-1.0545985864749587,1.2013877434506741
1,0.013501275609964631,181.70633634214732,-1.7542728363904265,1.2013877434506741
1,0.013501275609964631,245.3267327032263,-2.3614982286427457,1.2013877434506741
1,0.013501275609964631,331.2223832718382,-2.961607440678345,1.2013877434506741
1,0.013501275609964631,447.1924684742427,-3.560888126564397,1.2013877434506741
1,0.013501275609964631,603.766876757117,-4.167643457876563,1.2013877434506741
1,0.013501275609964631,815.1623007265384,-4.76396529034849,1.2013877434506741
1,0.013501275609964631,1100.5730888961868,-5.365698996692164,1.2013877434506741
1,0.013501275609964631,1485.9140602097523,-5.962429977877872,1.2013877434506741
1,0.013501275609964631,2006.1735259613445,-6.565384069951774,1.2013877434506741
1,0.018228444309622584,0.1,13.062644120383545,1.2013877434506741
1,0.018228444309622584,0.13501275609964633,12.284842095818625,1.2013877434506741
1,0.018228444309622584,0.18228444309622582,11.880815235243457,1.2013877434506741
1,0.018228444309622584,0.24610725056510596,11.451169371567508,1.2013877434506741
1,0.018228444309622584,0.33227618194901193,11.192716104270938,1.2013877434506741
1,0.018228444309622584,0.4486152311120365,10.510974682208895,1.2013877434506741
1,0.018228444309622584,0.6056877878071585,9.646279646727564,1.2013877434506741
1,0.018228444309622584,0.8177557756774221,9.320169134359364,1.2013877434506741
1,0.018228444309622584,1.1040746109061288,8.296501967804376,1.2013877434506741
1,0.018228444309622584,1.4906415615808106,7.352070272800188,1.2013877434506741
1,0.018228444309622584,2.012556255857059,7.50840127502833,1.2013877434506741
1,0.018228444309622584,2.717207669088465,6.615351717802767,1.2013877434506741
1,0.018228444309622584,3.6685769629872937,6.273315954971264,1.2013877434506741
1,0.018228444309622584,4.953046867365847,5.068521196642294,1.2013877434506741
1,0.018228444309622584,6.687245086537825,5.208698743206619,1.2013877434506741
1,0.018228444309622584,9.028633898472895,4.169512699876395,1.2013877434506741
1,0.018228444309622584,12.189807464475196,3.8067139223614808,1.2013877434506741
1,0.018228444309622584,16.457795021028378,2.9649658638276524,1.2013877434506741
1,0.018228444309622584,22.22012265112078,2.575080451016538,1.2013877434506741
1,0.018228444309622584,29.99999999999996,1.9764904124424258,1.2013877434506741
1,0.018228444309622584,40.503826829893846,1.2302316571434355,1.2013877434506741
1,0.018228444309622584,54.68533292886767,0.5197545033985371,1.2013877434506741
1,0.018228444309622584,73.83217516953168,-0.36359719245846467,1.2013877434506741
1,0.018228444309622584,99.68285458470345,-1.0627321602511726,1.2013877434506741
1,0.018228444309622584,134.58456933361077,-1.7492415873849143,1.2013877434506741
1,0.018228444309622584,181.70633634214732,-2.36176217499209,1.2013877434506741
1,0.018228444309622584,245.3267327032263,-2.9603112411275387,1.2013877434506741
1,0.018228444309622584,331.2223832718382,-3.5620806067755946,1.2013877434506741
1,0.018228444309622584,447.1924684742427,-4.164623806821049,1.2013877434506741
1,0.018228444309622584,603.766876757117,-4.76419268740913,1.2013877434506741
1,0.018228444309622584,815.1623007265384,-5.3680073672260376,1.2013877434506741
1,0.018228444309622584,1100.5730888961868,-5.962170627997394,1.2013877434506741
1,0.018228444309622584,1485.9140602097523,-6.563316742256858,1.2013877434506741
1,0.018228444309622584,2006.1735259613445,-7.165402549589238,1.2013877434506741
1,0.024610725056510595,0.1,12.462374115113873,1.2013877434506741
1,0.024610725056510595,0.13501275609964633,11.685210662324808,1.2013877434506741
1,0.024610725056510595,0.18228444309622582,11.280481719196535,1.2013877434506741
1,0.024610725056510595,0.24610725056510596,10.850530534470439,1.2013877434506741
1,0.024610725056510595,0.33227618194901193,10.590024903753267,1.2013877434506741
1,0.024610725056510595,0.4486152311120365,9.915395387754549,1.2013877434506741
1,0.024610725056510595,0.6056877878071585,9.04808257402066,1.2013877434506741
1,0.024610725056510595,0.8177557756774221,8.722302346207208,1.2013877434506741
1,0.024610725056510595,1.1040746109061288,7.698278258784367,1.2013877434506741
1,0.024610725056510595,1.4906415615808106,6.7809223492405115,1.2013877434506741
1,0.024610725056510595,2.012556255857059,6.909175198755373,1.2013877434506741
1,0.024610725056510595,2.717207669088465,6.0216714992376605,1.2013877434506741
1,0.024610725056510595,3.6685769629872937,5.681749766555874,1.2013877434506741
1,0.024610725056510595,4.953046867365847,4.5101703515348985,1.2013877434506741
1,0.024610725056510595,6.687245086537825,4.619594713954249,1.2013877434506741
1,0.024610725056510595,9.028633898472895,3.6109629608057143,1.2013877434506741
1,0.024610725056510595,12.189807464475196,3.2134360814166616,1.2013877434506741
1,0.024610725056510595,16.457795021028378,2.407337610967963,1.2013877434506741
1,0.024610725056510595,22.22012265112078,1.9459122686474122,1.2013877434506741
