tag,env,mode,seed,d,B,epoch,minibatch,eta,eta_src,n_mean_v,n_mean_ubar,n_mean_c,n_mean_ubar_raw,R_batch_action,cos_meanv_meanc,clip_rate
G1JoystickFlatTerrain_pathwise_fa_s105_final,G1JoystickFlatTerrain,pathwise,105,29,8192,0,0,0.01155267780113529,recomputed_counterfactual,0.13717774657936055,0.018126831480636967,0.1324650291258581,0.011032420373860383,0.13684239229115633,0.9915698633009773,0.0011884755101697199
G1JoystickFlatTerrain_pathwise_fa_s105_final,G1JoystickFlatTerrain,pathwise,105,29,8192,0,1,0.011813461833894355,recomputed_counterfactual,0.1434878777913664,0.017971332059037264,0.13748856985215918,0.011032420373860383,0.1307114626199912,0.992726634534423,0.0011167855098329741
G1JoystickFlatTerrain_pathwise_fa_s105_final,G1JoystickFlatTerrain,pathwise,105,29,8192,0,2,0.011716170242003707,recomputed_counterfactual,0.140395830992282,0.020872989669789253,0.13319987403010516,0.011032420373860383,0.15670427484724903,0.989735684829942,0.001195184115705819
G1JoystickFlatTerrain_pathwise_fa_s105_final,G1JoystickFlatTerrain,pathwise,105,29,8192,0,3,0.01162316226683267,recomputed_counterfactual,0.13174994903495543,0.017910759907557885,0.12705608552022016,0.011032420373860383,0.14096735181225564,0.9910761792243042,0.0010902141702586207
G1JoystickFlatTerrain_pathwise_fa_s105_final,G1JoystickFlatTerrain,pathwise,105,29,8192,0,4,0.011591399548297842,recomputed_counterfactual,0.13857124908221344,0.01962716715774776,0.1324102059185502,0.011032420373860383,0.1482300176292516,0.9905367737327259,0.001164929620150862
G1JoystickFlatTerrain_pathwise_fa_s105_final,G1JoystickFlatTerrain,pathwise,105,29,8192,0,5,0.011657984320867475,recomputed_counterfactual,0.1425778330818932,0.01918385862923418,0.1360667027991547,0.011032420373860383,0.14098863450384402,0.9916076286324776,0.0011567740604795259
G1JoystickFlatTerrain_pathwise_fa_s105_final,G1JoystickFlatTerrain,pathwise,105,29,8192,0,6,0.01160594934654142,recomputed_counterfactual,0.14391089099452925,0.018979621891994355,0.13747411444227656,0.011032420373860383,0.1380596046670704,0.991943146090911,0.0011144177667025861
G1JoystickFlatTerrain_pathwise_fa_s105_final,G1JoystickFlatTerrain,pathwise,105,29,8192,0,7,0.011457763205986023,recomputed_counterfactual,0.1406169313209368,0.017986961316964364,0.13449774438579942,0.011032420373860383,0.1337342971733118,0.9924366448880471,0.0011359905374461207
G1JoystickFlatTerrain_pathwise_fa_s105_final,G1JoystickFlatTerrain,pathwise,105,29,8192,0,8,0.01198474691699928,recomputed_counterfactual,0.13463860381176762,0.0195683840774883,0.12866370714911504,0.011032420373860383,0.1520893848850274,0.9899780574101738,0.00113677978515625
G1JoystickFlatTerrain_pathwise_fa_s105_final,G1JoystickFlatTerrain,pathwise,105,29,8192,0,9,0.011561979777863527,recomputed_counterfactual,0.1474524691295738,0.020828619900730073,0.14129652150350022,0.011032420373860383,0.14741070536592574,0.9904980844947885,0.0011962364459859915
G1JoystickFlatTerrain_pathwise_fa_s105_final,G1JoystickFlatTerrain,pathwise,105,29,8192,0,10,0.011480100740362924,recomputed_counterfactual,0.14652563015241704,0.017519506147879095,0.14078244982888624,0.011032420373860383,0.1244438221457909,0.9933598549137944,0.0012113636937634699
G1JoystickFlatTerrain_pathwise_fa_s105_final,G1JoystickFlatTerrain,pathwise,105,29,8192,0,11,0.011597059310136429,recomputed_counterfactual,0.1377570142995588,0.019651478244466742,0.1321996169523956,0.011032420373860383,0.1486500392160326,0.9902452460137983,0.0012449067214439656
G1JoystickFlatTerrain_pathwise_fa_s105_final,G1JoystickFlatTerrain,pathwise,105,29,8192,0,12,0.01159880559181182,recomputed_counterfactual,0.1471793868507008,0.019325967185370704,0.14078419947063248,0.011032420373860383,0.13727369447638063,0.9919742749965558,0.0011732167211072199
