tag,env,mode,seed,d,B,epoch,minibatch,eta,eta_src,n_mean_v,n_mean_ubar,n_mean_c,n_mean_ubar_raw,R_batch_action,cos_meanv_meanc,clip_rate
LeapCubeRotateZAxis_weighted_mle_s104_final,LeapCubeRotateZAxis,weighted_mle,104,16,2048,0,0,0.006677080877125263,measured,0.6332008488026416,0.11341907952718377,0.634238344141066,0.013523141857819236,0.17882721941166416,0.9839855541017668,0.052825927734375
LeapCubeRotateZAxis_weighted_mle_s104_final,LeapCubeRotateZAxis,weighted_mle,104,16,2048,0,1,0.006677080877125263,measured,0.6345805819935265,0.11078266226992765,0.6360294010533125,0.013523141857819236,0.1741785239586237,0.9847988885419734,0.053481101989746094
LeapCubeRotateZAxis_weighted_mle_s104_final,LeapCubeRotateZAxis,weighted_mle,104,16,2048,0,2,0.006677080877125263,measured,0.615744894933323,0.11328026777740771,0.6172296424069872,0.013523141857819236,0.18353018065605112,0.9831206262388773,0.052161216735839844
LeapCubeRotateZAxis_weighted_mle_s104_final,LeapCubeRotateZAxis,weighted_mle,104,16,2048,0,3,0.006677080877125263,measured,0.597012090543739,0.10972072941256888,0.6014758698910572,0.013523141857819236,0.18241917075120526,0.9832649644792618,0.051308631896972656
LeapCubeRotateZAxis_weighted_mle_s104_final,LeapCubeRotateZAxis,weighted_mle,104,16,2048,0,4,0.006677080877125263,measured,0.6354161510854708,0.10955683904848292,0.6341300638090703,0.013523141857819236,0.17276714242221533,0.9851080164921084,0.05184650421142578
LeapCubeRotateZAxis_weighted_mle_s104_final,LeapCubeRotateZAxis,weighted_mle,104,16,2048,0,5,0.006677080877125263,measured,0.6524405035322428,0.11655673217145815,0.6564252474448058,0.013523141857819236,0.17756284150402218,0.9841579764129341,0.05462360382080078
LeapCubeRotateZAxis_weighted_mle_s104_final,LeapCubeRotateZAxis,weighted_mle,104,16,2048,0,6,0.006677080877125263,measured,0.6666108208597067,0.11224951099660695,0.6754220936744241,0.013523141857819236,0.16619164822664026,0.9860938477875855,0.052184104919433594
LeapCubeRotateZAxis_weighted_mle_s104_final,LeapCubeRotateZAxis,weighted_mle,104,16,2048,0,7,0.006677080877125263,measured,0.6346789301168048,0.11319910343610864,0.6398029421502164,0.013523141857819236,0.17692807578455028,0.984254193931734,0.053310394287109375
LeapCubeRotateZAxis_weighted_mle_s104_final,LeapCubeRotateZAxis,weighted_mle,104,16,2048,0,8,0.006677080877125263,measured,0.6368255175000217,0.11439215496666101,0.6459170356694536,0.013523141857819236,0.1771003838719371,0.9841943141685915,0.05326366424560547
LeapCubeRotateZAxis_weighted_mle_s104_final,LeapCubeRotateZAxis,weighted_mle,104,16,2048,0,9,0.006677080877125263,measured,0.6267117059284322,0.11317982970868702,0.6335737849036656,0.013523141857819236,0.17863717282071148,0.9839289715268519,0.053069114685058594
