tag,env,mode,seed,d,B,epoch,minibatch,eta,eta_src,n_mean_v,n_mean_ubar,n_mean_c,n_mean_ubar_raw,R_batch_action,cos_meanv_meanc,clip_rate
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,0,0.0040155439637601376,measured,0.2911726615152088,0.05351614391958737,0.2890196066316853,0.01157555384476817,0.18516440646741653,0.9830113758504477,0.009821793128704202
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,1,0.0040155439637601376,measured,0.2985392633329605,0.058346208300364494,0.29719158472862367,0.01157555384476817,0.19632523697952683,0.9808254336336165,0.009665390540813577
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,2,0.0040155439637601376,measured,0.2832400550179546,0.06411818934631304,0.2825981452145198,0.01157555384476817,0.2268882171799611,0.9743217752206765,0.009913740486934268
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,3,0.0040155439637601376,measured,0.2835943000991306,0.053404253992153525,0.2837081656138103,0.01157555384476817,0.1882365771052932,0.9822764627652143,0.01011578790072737
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,4,0.0040155439637601376,measured,0.2790560808170045,0.051479693758764544,0.27892891735152187,0.01157555384476817,0.18456205347006882,0.9829762892271954,0.009694987329943427
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,5,0.0040155439637601376,measured,0.27947531240286094,0.04533936235003707,0.2780086181126484,0.01157555384476817,0.16308617573683487,0.9867850843582854,0.009684990192281789
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,6,0.0040155439637601376,measured,0.2846008869175538,0.04522260432662408,0.2855378757993901,0.01157555384476817,0.1583769025382737,0.9874224895106344,0.009654341072871768
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,7,0.0040155439637601376,measured,0.2700792003159663,0.054585266888827026,0.266906724686613,0.01157555384476817,0.20451064675389316,0.9794031530171388,0.009839288119612068
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,8,0.0040155439637601376,measured,0.29276689444176984,0.04751657206069692,0.2920909641551348,0.01157555384476817,0.16267730909778275,0.9868012674061295,0.009714192357556573
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,9,0.0040155439637601376,measured,0.27524627889007663,0.057439768880108946,0.27520601082385676,0.01157555384476817,0.20871553171367346,0.9782221106499652,0.009740369073275862
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,10,0.0040155439637601376,measured,0.2821278745826334,0.05379755759002526,0.28057083235264507,0.01157555384476817,0.19174322982446093,0.981734033585804,0.00974944542194235
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,11,0.0040155439637601376,measured,0.29047705853569294,0.054160106589290054,0.2884495457494618,0.01157555384476817,0.1877628423660062,0.9825201270396836,0.009929525441136854
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,12,0.0040155439637601376,measured,0.2909176690713226,0.048284965896480556,0.29002552484494953,0.01157555384476817,0.16648522891951556,0.9861885506789695,0.009554369696255388
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,13,0.0040155439637601376,measured,0.28963251290097025,0.03934434730952383,0.2883668644739769,0.01157555384476817,0.13643851689117337,0.9907425285530725,0.01001739501953125
