tag,env,mode,seed,d,B,epoch,minibatch,resid_full,R_theta_full,cos_full_centered_full,cos_uniform_centered_full,resid_meanhead,R_theta_meanhead,cos_full_centered_meanhead,cos_uniform_centered_meanhead,resid_scalehead,R_theta_scalehead,cos_full_centered_scalehead,cos_uniform_centered_scalehead,resid_trunk,R_theta_trunk,cos_full_centered_trunk,cos_uniform_centered_trunk,meanout_full,meanout_uniform,meanout_centered,kl_full,kl_uniform,kl_centered,R_meanout,R_kl,resid_meanout,cos_meanout_full_centered,kl_full_fd_check
WalkerRun_weighted_mle_pad16_s2_final,WalkerRun,weighted_mle,2,22,2048,0,0,3.627472096271899e-08,0.5762983412062151,0.863231394129561,-0.025762153962436356,3.670233654567412e-08,0.466933365612469,0.9083222878552928,0.029061518041644467,3.59513696147051e-08,0.8438352333147875,0.754624409845078,-0.03573308775389089,3.608306175768091e-08,0.5625490908966713,0.8651972574560115,-0.05475735742299535,61.43952214843657,19.358147842071766,56.127522035525985,67.41024022843263,24.644116681631605,63.74376591152708,0.34489582187182,0.38661218597966,5.8805122965490785e-09,0.9074682675304382,67.40249772370012
WalkerRun_weighted_mle_pad16_s2_final,WalkerRun,weighted_mle,2,22,2048,0,1,3.5582050561135965e-08,0.5471721524517582,0.877422624835996,0.001457325872209076,3.6397014928354466e-08,0.44734172214607293,0.9190478463761597,0.08739533970845219,3.260045177108935e-08,0.8797496238383822,0.7353097373363419,-0.05326974785137136,3.615376872240637e-08,0.4769775025924361,0.901006346445537,-0.01996871919447148,58.058921975819736,20.1131495848331,49.80285132345655,66.21425559320583,26.10777120570302,59.73627506517154,0.4038553827812594,0.43705053884292794,5.437974251040828e-09,0.913932051044758,66.20450990739116
WalkerRun_weighted_mle_pad16_s2_final,WalkerRun,weighted_mle,2,22,2048,0,2,3.615804809210405e-08,0.39012973131577944,0.9249460934158384,-0.1619245386661018,3.4855684664704734e-08,0.2949072988576826,0.9584171817687733,-0.034384525933582016,3.766148542453979e-08,0.6288250926170117,0.8080750705190078,-0.2691154772657155,3.655565130690984e-08,0.3518090132817104,0.9378512436675034,-0.18839313974056968,53.07926165008381,12.911355905482779,51.62591314895196,60.266854918962586,19.352044718479416,61.93251943349448,0.2500944800381635,0.3124698445258645,5.532907921845969e-09,0.9205764631793234,60.25933591539008
WalkerRun_weighted_mle_pad16_s2_final,WalkerRun,weighted_mle,2,22,2048,0,3,3.629356741787231e-08,0.39731655590439535,0.9252981747461515,-0.08606571826761425,3.585077024484286e-08,0.3255546468496938,0.9529177574145544,0.06437088603851923,3.829372706642903e-08,0.6008309522472757,0.8227349634808366,-0.27122024748387646,3.6103721723018024e-08,0.3756623232081951,0.9320496214383887,-0.10337315085984156,61.82447255798081,15.355730541883435,57.112617827130975,67.12083810207497,20.36140802529466,65.55511290652282,0.26886756597923844,0.310599846793466,5.437962017585679e-09,0.9418522757573606,67.1151884772884
WalkerRun_weighted_mle_pad16_s2_final,WalkerRun,weighted_mle,2,22,2048,0,4,3.656357869722084e-08,0.4153815948945404,0.917566081471334,-0.11483322373293679,3.616918518556652e-08,0.3039010813765268,0.9574300519104001,0.02515340507718921,3.7737619649522656e-08,0.6848525755024099,0.7870645111639998,-0.21376061318303732,3.645664182259031e-08,0.3763818597771831,0.9302781029908811,-0.14958982140440727,59.279731558610905,14.461171231582298,56.684897358582305,66.06083900290342,21.47258714799969,66.10883288718135,0.2551150642489885,0.32480662886067907,6.096859021895936e-09,0.9058469159518999,66.05219186051391
WalkerRun_weighted_mle_pad16_s2_final,WalkerRun,weighted_mle,2,22,2048,0,5,3.6192616626497254e-08,0.5322460689731374,0.8783095084585593,-0.04345323388774955,3.557079802747363e-08,0.4740571241799686,0.9091073836060862,0.06791712188969601,3.9004311954089825e-08,0.7058218530528522,0.7829823896806863,-0.17821235582510128,3.5738986015874935e-08,0.5086387046238782,0.8861821095570959,-0.056477070923613024,60.27315048760467,22.065408996682795,52.438862641853476,66.6823613770286,26.976582932589437,62.0562814612296,0.42078351598478647,0.43471156017369394,4.533526545847327e-09,0.8917935789118357,66.67393631137287
WalkerRun_weighted_mle_pad16_s2_final,WalkerRun,weighted_mle,2,22,2048,0,6,3.5736632645650883e-08,0.40565156663378066,0.9219738651336,-0.09516451406429918,3.3818347899149925e-08,0.32464170133877146,0.9525015511163942,0.0443420092876086,3.7685133787426215e-08,0.6118769160428899,0.8265603707509515,-0.19355424607166624,3.640850352120494e-08,0.3741403395924127,0.9316144610301781,-0.13193334262276987,54.82936605335714,14.517454191667388,50.81572917995278,61.20301661968605,20.48257428021925,60.26811639121848,0.2856881998142094,0.3398575483471286,5.43988583033995e-09,0.9005849836444518,61.19586586901894
WalkerRun_weighted_mle_pad16_s2_final,WalkerRun,weighted_mle,2,22,2048,0,7,3.551558436965303e-08,0.46659388184804407,0.9019391915567812,-0.05825379100566154,3.4291710292559476e-08,0.3595541203326887,0.9435231927525729,0.061306845732414385,3.6012509565831064e-08,0.8002547018475384,0.7468575112750017,-0.13708425471639904,3.633347494482846e-08,0.42790557298451626,0.9134490785359274,-0.10469382976937386,72.24422468602704,20.51046311226482,66.42623933353363,77.48572108282363,25.974090008936912,73.8069674937452,0.3087704997008662,0.3519192142820086,4.432952111458948e-09,0.8982050419681271,77.47769804616378
WalkerRun_weighted_mle_pad16_s2_final,WalkerRun,weighted_mle,2,22,2048,1,0,3.540818928013457e-08,0.3646759549534561,0.9369290378493632,-0.06768952730756105,3.3450479867208943e-08,0.26561041282922354,0.9683441467576646,0.09633448230048201,3.614282963680859e-08,0.5964196151062172,0.8339646266768783,-0.1941145712429311,3.6560425588336556e-08,0.33637856677287487,0.9449429207441924,-0.09951986220268098,62.54315774972279,12.272966568770201,58.401818753283,68.85622185385515,19.363752704316465,67.5416894150139,0.21014699252118885,0.28669334261591317,5.051527528143493e-09,0.9451482691393994,68.84910930882427
WalkerRun_weighted_mle_pad16_s2_final,WalkerRun,weighted_mle,2,22,2048,1,1,3.636174265579243e-08,0.5427983832579729,0.8771066442682964,-0.01636873962043911,3.776958685706365e-08,0.4119901927556345,0.9309223749832332,0.10706308908748248,3.3917472894207564e-08,0.8775180362750712,0.73099428804233,-0.07104822940577611,3.6478093462301534e-08,0.4679212341416651,0.9018957794562678,-0.05199009320866411,56.85145606429512,17.97841540865798,50.242632383931664,65.96174742367837,25.616149781762317,61.27333501366399,0.3578318761500121,0.41806357979453024,4.896806080509303e-09,0.8981328592311951,65.9518783687956
