V,V_lo,arm,bank,max_clamp,n_clamped,pre_tanh_mu_absmed,pre_tanh_sigma_med,sat95,seed,task
0.04316703609979009,0.0431669213487904,PW,neutral,0.0,0,2.184430480003357,0.34488531947135925,0.5687498978381795,301,walker
0.021639549027102307,0.02163955182043367,PW,pw_rollout,0.0,0,1.879026174545288,0.24447833001613617,0.5108494645400197,301,walker
0.045750131396579054,0.045750100249891484,PW,wml_rollout,0.0,0,2.273057460784912,0.3677279055118561,0.5862711841580668,301,walker
0.029545603357310903,0.029545604107089125,PW,neutral,0.0,0,2.1571160554885864,0.2906540483236313,0.5706342802014599,302,walker
0.020295906029350188,0.02029590607073307,PW,pw_rollout,0.0,0,1.868424654006958,0.23199765384197235,0.5080050725209568,302,walker
0.0339466761548638,0.03394667767696553,PW,wml_rollout,0.0,0,2.0880340337753296,0.3134153038263321,0.5585225084781866,302,walker
0.04302236526642153,0.04302227873624677,PW,neutral,0.0,0,2.038423180580139,0.33952462673187256,0.547042736871624,303,walker
0.03183516222321945,0.03183510274730561,PW,pw_rollout,0.0,0,1.7202633023262024,0.2508681118488312,0.4768617585407561,303,walker
0.05142851042917532,0.05142850743808195,PW,wml_rollout,0.0,0,1.8935696482658386,0.37227022647857666,0.520680085873768,303,walker
0.03765741255188063,0.037657254507366976,PW,neutral,0.0,0,1.77599036693573,0.2883674055337906,0.4897008548900536,304,walker
0.026503969288321785,0.026503815676185292,PW,pw_rollout,0.0,0,1.7114163041114807,0.2447620928287506,0.4712161330087651,304,walker
0.03631376526904911,0.036313765348910336,PW,wml_rollout,0.0,0,1.8709220886230469,0.31100742518901825,0.5129763788004997,304,walker
0.03973169956309047,0.03973158632753128,PW,neutral,0.0,0,2.315536856651306,0.3355221450328827,0.5909698712745058,305,walker
0.025619701415987167,0.025619634966958717,PW,pw_rollout,0.0,0,1.9316455721855164,0.25029079616069794,0.5250080227731994,305,walker
0.04581226932221042,0.0458120731069971,PW,wml_rollout,0.0,0,2.1779544353485107,0.34245115518569946,0.5682307244956163,305,walker
0.05006664874658254,0.050066662088470056,PW,neutral,0.0,0,2.5946215391159058,0.4332367181777954,0.6256883702911454,306,walker
0.04200501876438736,0.04200524265897659,PW,pw_rollout,0.0,0,2.288211464881897,0.3395589143037796,0.5857027322099078,306,walker
0.04888573565957983,0.04888575925712724,PW,wml_rollout,0.0,0,2.3484288454055786,0.39980824291706085,0.5939521835118001,306,walker
0.03255255709325562,0.03255242490970816,PW,neutral,0.0,0,1.891063928604126,0.2904859185218811,0.5157893438464008,307,walker
0.020525196328497017,0.020525113311697513,PW,pw_rollout,0.0,0,1.666281521320343,0.2358427792787552,0.4622983280216635,307,walker
0.039235657926022974,0.03923557140021862,PW,wml_rollout,0.0,0,1.8886956572532654,0.30510157346725464,0.5146380959535204,307,walker
0.05616238986809446,0.056162311278749585,PW,neutral,0.0,0,2.2070682048797607,0.3940163254737854,0.5754204546615556,308,walker
0.032580531993230986,0.03258042079582254,PW,pw_rollout,0.0,0,1.851978063583374,0.2986866980791092,0.5027922652070459,308,walker
0.05083744953721234,0.050837458417752876,PW,wml_rollout,0.0,0,2.0326480865478516,0.3656267076730728,0.5428749643483011,308,walker
0.5764477032610061,0.5764494914637714,WML05,neutral,0.0,0,2.5008362531661987,5.872003793716431,0.7790950838700327,301,walker
0.5261607667361731,0.5261610948151786,WML05,pw_rollout,0.0,0,2.3745439052581787,4.094844579696655,0.7536484658262816,301,walker
0.551186726754347,0.5511942792453807,WML05,wml_rollout,0.0,0,2.435449242591858,5.306548833847046,0.7542521026044758,301,walker
0.6483381470764649,0.6483778496066032,WML05,neutral,0.0,0,2.5490286350250244,9.70787239074707,0.8105920722773212,302,walker
0.6113994685062001,0.6114335800277821,WML05,pw_rollout,0.0,0,2.47359561920166,7.3883514404296875,0.7962473728116338,302,walker
0.5849527953229511,0.5849632867638372,WML05,wml_rollout,0.0,0,2.4211483001708984,6.530414581298828,0.7798260173936176,302,walker
