bank,contrast,est,est_median_conv,excludes_null,hi,hi_median_conv,lo,lo_median_conv,metric,n,seed_values,task
neutral,WML05/PW,2.712806106459784,2.3022293743805324,True,3.710789693838807,3.9731282928397738,2.083834976281951,1.979306090813418,V_ratio,8,1.97931;2.39281;1.63473;3.10565;3.97313;2.12722;2.21508;6.51622,leap
neutral,WML05-PW,0.03463434383348617,,False,0.12398734861220104,,-0.049442991847009315,,sat95_diff,8,0.0952136;-0.148263;-0.0306563;-0.0658086;0.260497;-0.0579987;0.115596;0.108495,leap
neutral,WML01/WML05,1.0019004472012683,1.0728466444174958,False,1.140556856960309,1.2010058485494337,0.8617435983929332,0.8260591939697088,V_ratio,8,1.07415;0.826059;1.20101;0.918362;0.661219;1.15595;1.07155;1.26668,leap
neutral,WML01-WML05,0.05313388923458215,,False,0.11003511225750688,,-0.013295409298205343,,sat95_diff,8,0.0446662;0.00672698;0.188227;0.0579499;-0.141819;0.0776638;0.0777945;0.113861,leap
neutral,WML01/PW,2.7179616512323888,2.415879194964206,True,3.8334453388921528,2.8521133049681886,2.1630780779067074,1.9766024882231323,V_ratio,8,2.12607;1.9766;1.96332;2.85211;2.62711;2.45895;2.37356;8.254,leap
neutral,WML01-PW,0.08776823306806832,,True,0.16080258818767051,,0.0031356671539601866,,sat95_diff,8,0.13988;-0.141536;0.157571;-0.00785867;0.118678;0.0196651;0.19339;0.222356,leap
pw_rollout,WML05/PW,3.253684860143098,2.9106626222981604,True,4.3282516279557415,5.989816182186046,2.545441692215698,2.239000816280677,V_ratio,8,3.03229;2.79391;2.18696;3.0841;5.98982;2.239;2.58405;6.34282,leap
pw_rollout,WML05-PW,0.13690991155397056,,True,0.19653402953766003,,0.07124692158139312,,sat95_diff,8,0.126854;-0.0231664;0.125709;0.04944;0.287426;0.125345;0.204751;0.198922,leap
pw_rollout,WML01/WML05,1.0396046495571574,1.0568895614665812,False,1.157709860869193,1.2329025064112398,0.928304366318771,0.8446963472937541,V_ratio,8,1.08866;0.844696;1.01597;1.10764;0.793725;1.2329;1.02604;1.31312,leap
pw_rollout,WML01-WML05,0.05342498748513462,,True,0.08503798558121654,,0.020801712048610296,,sat95_diff,8,0.0347095;0.0134986;0.0615923;0.082796;-0.0342343;0.0778794;0.0580732;0.133085,leap
pw_rollout,WML01/PW,3.382545908798493,3.018725380609547,True,4.594006333289668,4.754269427782636,2.640454292044011,2.3600074211505215,V_ratio,8,3.30114;2.36001;2.22189;3.41607;4.75427;2.76047;2.65135;8.32891,leap
pw_rollout,WML01-PW,0.19033489903910517,,True,0.2525850330583108,,0.11984855510846555,,sat95_diff,8,0.161563;-0.0096678;0.187302;0.132236;0.253191;0.203224;0.262824;0.332007,leap
wml_rollout,WML05/PW,2.4145193745701867,2.124686073247049,True,3.3894674823382553,3.781833594982575,1.808014267660591,1.7402315089852922,V_ratio,8,1.89225;2.26184;1.3317;2.45767;3.78183;1.74023;1.99585;6.27824,leap
wml_rollout,WML05-PW,0.007997096349513122,,False,0.09895160622119312,,-0.07403946328716768,,sat95_diff,8,0.0763205;-0.149822;-0.101212;-0.0852596;0.250385;-0.0770436;0.0884313;0.0621773,leap
wml_rollout,WML01/WML05,1.0910016983428439,1.168244857308903,False,1.273095384275668,1.3563408679927407,0.9098293380679934,0.7558164169029613,V_ratio,8,1.20937;0.755816;1.35634;1.12582;0.702848;1.32113;1.12852;1.37238,leap
wml_rollout,WML01-WML05,0.08279419664186563,,True,0.14609393426075892,,0.011105701892125626,,sat95_diff,8,0.0804594;0.00674484;0.224585;0.0831819;-0.123159;0.127322;0.0950984;0.168122,leap
wml_rollout,WML01/PW,2.634244738337775,2.2937470624320966,True,3.8225969827106243,2.7668949876682114,2.036278953387108,1.8062418931090714,V_ratio,8,2.28843;1.70954;1.80624;2.76689;2.65805;2.29908;2.25235;8.61611,leap
wml_rollout,WML01-PW,0.09079129299137875,,True,0.1611577501590783,,0.008084101930971381,,sat95_diff,8,0.15678;-0.143078;0.123373;-0.00207772;0.127226;0.0502779;0.18353;0.230299,leap
