C_mu,C_sigma,F_AA,F_AB,F_BA,F_BB,metric,pair,resid,seed,task,total
-0.004971643870006041,0.5382523110312221,0.5764477032610061,0.05444421686686926,0.5976681717680974,0.04316703609979009,variance,WML05_vs_PW,0.0,301,walker,0.533280667161216
0.026361728645985016,0.18398345738586813,0.7790950838700327,0.6198231125626514,0.7774448413025346,0.5687498978381795,sat95,WML05_vs_PW,0.0,301,walker,0.21034518603185315
-0.007555419282521425,0.6263479630016754,0.6483381470764649,0.03411507402729034,0.6680184563114872,0.029545603357310903,variance,WML05_vs_PW,0.0,302,walker,0.6187925437191539
0.02670458848728191,0.2132532035885794,0.8105920722773212,0.6253907421017142,0.8119393572030117,0.5706342802014599,sat95,WML05_vs_PW,0.0,302,walker,0.23995779207586132
-0.004382836714828066,0.5396635881999425,0.578303116751536,0.045600767672807865,0.5896471925875785,0.04302236526642153,variance,WML05_vs_PW,0.0,303,walker,0.5352807514851144
0.015969615566073958,0.21171415688658307,0.774726509324281,0.5918088102629943,0.7875533515835034,0.547042736871624,sat95,WML05_vs_PW,0.0,303,walker,0.22768377245265703
-0.01802737383352514,0.6251563510999916,0.644786389818347,0.04106591230135054,0.6842496372348672,0.03765741255188063,variance,WML05_vs_PW,0.0,304,walker,0.6071289772664664
0.08693228140227802,0.22327577953707364,0.7999089158294053,0.6471239026707596,0.7834674008055552,0.4897008548900536,sat95,WML05_vs_PW,0.0,304,walker,0.31020806093935166
0.009917477334091648,0.619503483289513,0.6691526601866951,0.06114307120779943,0.6707290771632207,0.03973169956309047,variance,WML05_vs_PW,-1.1102230246251565e-16,305,walker,0.6294209606236045
-0.010053408595558866,0.22839977782897164,0.8093162405079186,0.5982470380117744,0.8367002244363049,0.5909698712745058,sat95,WML05_vs_PW,0.0,305,walker,0.21834636923341277
0.021556671387419755,0.4701968460228797,0.541820166156882,0.07944550413766767,0.5280856787731276,0.05006664874658254,variance,WML05_vs_PW,5.551115123125783e-17,306,walker,0.4917535174102995
-0.04569423852593768,0.1616257856884824,0.7416199174536902,0.5792458566415819,0.786565880856002,0.6256883702911454,sat95,WML05_vs_PW,0.0,306,walker,0.11593154716254472
-0.008054971860273534,0.5026843438681912,0.5271819291011732,0.03766063347228829,0.548399949200753,0.03255255709325562,variance,WML05_vs_PW,0.0,307,walker,0.4946293720079176
0.03604901077175943,0.17752776312111268,0.729366117739273,0.5846941387416705,0.7261728910910238,0.5157893438464008,sat95,WML05_vs_PW,0.0,307,walker,0.2135767738928721
0.005085381391598035,0.6629473826772599,0.7241951539369524,0.07775172306168637,0.7356137243473483,0.05616238986809446,variance,WML05_vs_PW,0.0,308,walker,0.668032764068858
0.008966842049921653,0.25958375104615855,0.8439710477576358,0.6099408649956981,0.860557773991935,0.5754204546615556,sat95,WML05_vs_PW,0.0,308,walker,0.2685505930960802
0.029458093270051555,-0.3552222250320876,0.2506835714989701,0.6181110211064275,0.2334307028042883,0.5764477032610061,variance,WML01_vs_WML05,0.0,301,walker,-0.32576413176203606
-0.06674645186776057,-0.15741589119465688,0.5549327408076152,0.7582844284210135,0.6676149890941172,0.7790950838700327,sat95,WML01_vs_WML05,0.0,301,walker,-0.22416234306241745
0.031214610771777646,-0.33481446443056795,0.3447382934176746,0.6807672274904155,0.31473815228806995,0.6483381470764649,variance,WML01_vs_WML05,0.0,302,walker,-0.3035998536587903
-0.05645198557309067,-0.13872310713477748,0.6154169795694531,0.7850530082589646,0.7027818866972778,0.8105920722773212,sat95,WML01_vs_WML05,0.0,302,walker,-0.19517509270786815
0.03554940244062438,-0.31348255476251147,0.3003699644296489,0.6152939453237851,0.2662619881206493,0.578303116751536,variance,WML01_vs_WML05,0.0,303,walker,-0.2779331523218871
-0.07258719742720826,-0.1438087602776325,0.5583305516194402,0.7345468263077239,0.6633252634572997,0.774726509324281,sat95,WML01_vs_WML05,0.0,303,walker,-0.21639595770484077
0.031990775987591646,-0.21422722201998745,0.4625499437859512,0.6839741684376701,0.437756170430091,0.644786389818347,variance,WML01_vs_WML05,0.0,304,walker,-0.1822364460323958
-0.048337376786868336,-0.06243186548257318,0.6891396735599638,0.7807470095033566,0.7666525208076518,0.7999089158294053,sat95,WML01_vs_WML05,0.0,304,walker,-0.11076924226944151
0.025447788705661972,-0.4090668358964914,0.2855336129958656,0.6979339688771832,0.2634193442750298,0.6691526601866951,variance,WML01_vs_WML05,-5.551115123125783e-17,305,walker,-0.38361904719082945
-0.03746494423880181,-0.18750392650994646,0.5843473697591703,0.8097274025100791,0.6596884202389345,0.8093162405079186,sat95,WML01_vs_WML05,0.0,305,walker,-0.22496887074874827
0.021367709668693752,-0.26037464445050207,0.3028132313750737,0.5722108600646852,0.29046850594548945,0.541820166156882,variance,WML01_vs_WML05,2.7755575615628914e-17,306,walker,-0.2390069347818083
-0.04276165293956119,-0.12075903488578837,0.5780992296283406,0.7244492716462099,0.6464518896999827,0.7416199174536902,sat95,WML01_vs_WML05,0.0,306,walker,-0.16352068782534956
0.02577109450799772,-0.33847169212791917,0.2144813314812518,0.5635840011243347,0.19934121448841785,0.5271819291011732,variance,WML01_vs_WML05,0.0,307,walker,-0.3127005976199214
-0.06503600212567923,-0.14040756871946786,0.5239225468941259,0.7032445422013249,0.6278729756075363,0.729366117739273,sat95,WML01_vs_WML05,0.0,307,walker,-0.20544357084514708
0.017650795938454963,-0.47229664731102916,0.2695493025643782,0.735652465677916,0.2457050224284318,0.7241951539369524,variance,WML01_vs_WML05,-5.551115123125783e-17,308,walker,-0.45464585137257424
-0.04926280436150787,-0.2202340109771096,0.5744742324190183,0.8400427642998544,0.6690715576842526,0.8439710477576358,sat95,WML01_vs_WML05,0.0,308,walker,-0.26949681533861747
0.018087797268257922,0.18942873813092206,0.2506835714989701,0.06323470022753074,0.23457564109019488,0.04316703609979009,variance,WML01_vs_PW,0.0,301,walker,0.20751653539918
-0.06820374668732498,0.05438658965676069,0.5549327408076152,0.49577605573704553,0.6183663920811312,0.5687498978381795,sat95,WML01_vs_PW,0.0,301,walker,-0.013817157030564298
0.011145569648428501,0.30404712041193516,0.3447382934176746,0.042481574526629345,0.33538312529013603,0.029545603357310903,variance,WML01_vs_PW,5.551115123125783e-17,302,walker,0.3151926900603637
-0.04930662548024656,0.09408932484823973,0.6154169795694531,0.517873141991262,0.6612690923197483,0.5706342802014599,sat95,WML01_vs_PW,0.0,302,walker,0.04478269936799317
0.018278914085782888,0.2390686850774445,0.3003699644296489,0.0631789411795913,0.2839687121712529,0.04302236526642153,variance,WML01_vs_PW,0.0,303,walker,0.25734759916322736
-0.08497391206828053,0.0962617268160968,0.5583305516194402,0.45772436509703174,0.6389600039814091,0.547042736871624,sat95,WML01_vs_PW,0.0,303,walker,0.01128781474781626
-0.001002211264916491,0.42589474249898707,0.4625499437859512,0.04383748547042139,0.47073443923432495,0.03765741255188063,variance,WML01_vs_PW,0.0,304,walker,0.42489253123407056
0.01913576888473692,0.18030304978517323,0.6891396735599638,0.5204647847187795,0.6816320656192159,0.4897008548900536,sat95,WML01_vs_PW,0.0,304,walker,0.19943881866991015
0.026498418428542586,0.21930349500423255,0.2855336129958656,0.07177918006304501,0.26458425663873497,0.03973169956309047,variance,WML01_vs_PW,0.0,305,walker,0.24580191343277513
-0.08203871767434656,0.07541621615901106,0.5843473697591703,0.5040491164268261,0.6615040502601838,0.5909698712745058,sat95,WML01_vs_PW,0.0,305,walker,-0.006622501515335499
0.029895832400980732,0.22285075022751044,0.3028132313750737,0.08229543125900571,0.2752503490855354,0.05006664874658254,variance,WML01_vs_PW,0.0,306,walker,0.25274658262849115
-0.11729287864172494,0.0697037379789201,0.5780992296283406,0.5003602489831843,0.6873568656038294,0.6256883702911454,sat95,WML01_vs_PW,0.0,306,walker,-0.04758914066280484
0.006137442286951216,0.17579133210104497,0.2144813314812518,0.04409449348711509,0.21374838330120885,0.03255255709325562,variance,WML01_vs_PW,2.7755575615628914e-17,307,walker,0.1819287743879962
-0.0449632731665085,0.05309647621423352,0.5239225468941259,0.4792647733049761,0.5773245226857181,0.5157893438464008,sat95,WML01_vs_PW,0.0,307,walker,0.008133203047725024
0.021669226702347662,0.19171768599393607,0.2695493025643782,0.08306224714605558,0.253110706437644,0.05616238986809446,variance,WML01_vs_PW,0.0,308,walker,0.21338691269628374
-0.06495664486414915,0.06401042262161188,0.5744742324190183,0.5171003358695798,0.6460674033553409,0.5754204546615556,sat95,WML01_vs_PW,0.0,308,walker,-0.0009462222425372646
0.010834829764494002,0.10106393253770904,0.13960363800701436,0.03628699786276359,0.12651610063597862,0.027704875704811328,variance,WML05_vs_PW,0.0,301,g1,0.11189876230220304
-0.06019143345377381,0.03552523738828067,0.337489368039019,0.29807413310397113,0.3937908039460256,0.36215556410451216,sat95,WML05_vs_PW,0.0,301,g1,-0.02466619606549314
0.011490456598929309,0.09321234443564214,0.12911473546237315,0.03451985246748884,0.11624174030420167,0.0244119344278017,variance,WML05_vs_PW,0.0,302,g1,0.10470280103457144
-0.050547525879512584,0.0293189187711467,0.3333866723267782,0.30272417482849134,0.38259061947915063,0.3546152794351441,sat95,WML05_vs_PW,0.0,302,g1,-0.021228607108365882
0.003720121596047994,0.09153858791324934,0.12605335492335284,0.036153785561599976,0.12397225187880133,0.030794645414055504,variance,WML05_vs_PW,0.0,303,g1,0.09525870950929734
-0.046537411659185846,0.025829878865148426,0.3736675869708304,0.3465467833880913,0.4189140739124256,0.39437511976486783,sat95,WML05_vs_PW,0.0,303,g1,-0.02070753279403742
0.01970845428346751,0.12231112839329379,0.17462527487347745,0.047263168238607337,0.14986584234843361,0.032605692196716156,variance,WML05_vs_PW,0.0,304,g1,0.1420195826767613
