V_N128,V_N64,abs_diff,arm,bank,flagged,rel_diff,seed,task
0.04316703609979009,0.0431669213487904,1.1475099968849545e-07,PW,neutral,False,2.658301566575553e-06,301,walker
0.021639549027102307,0.02163955182043367,2.793331361355955e-09,PW,pw_rollout,False,1.2908454597909903e-07,301,walker
0.045750131396579054,0.045750100249891484,3.114668756937222e-08,PW,wml_rollout,False,6.807999587887785e-07,301,walker
0.029545603357310903,0.029545604107089125,7.497782221477234e-10,PW,neutral,False,2.537698124083815e-08,302,walker
0.020295906029350188,0.02029590607073307,4.138288323130013e-11,PW,pw_rollout,False,2.038976883882679e-09,302,walker
0.0339466761548638,0.03394667767696553,1.522101729378722e-09,PW,wml_rollout,False,4.4838019558525734e-08,302,walker
0.04302236526642153,0.04302227873624677,8.653017476156766e-08,PW,neutral,False,2.0112835318495027e-06,303,walker
0.03183516222321945,0.03183510274730561,5.9475913839757144e-08,PW,pw_rollout,False,1.8682459797983218e-06,303,walker
0.05142851042917532,0.05142850743808195,2.9910933660448613e-09,PW,wml_rollout,False,5.8160217768003224e-08,303,walker
0.03765741255188063,0.037657254507366976,1.580445136567521e-07,PW,neutral,False,4.196903157884629e-06,304,walker
0.026503969288321785,0.026503815676185292,1.536121364935361e-07,PW,pw_rollout,False,5.795816272743e-06,304,walker
0.03631376526904911,0.036313765348910336,7.986122874115154e-11,PW,wml_rollout,False,2.199199894295146e-09,304,walker
0.03973169956309047,0.03973158632753128,1.1323555919318107e-07,PW,neutral,False,2.850005422329666e-06,305,walker
0.025619701415987167,0.025619634966958717,6.644902844979428e-08,PW,pw_rollout,False,2.593669120918359e-06,305,walker
0.04581226932221042,0.0458120731069971,1.9621521332030545e-07,PW,wml_rollout,False,4.28302758678618e-06,305,walker
0.05006664874658254,0.050066662088470056,1.334188751839216e-08,PW,neutral,False,2.664825358278619e-07,306,walker
0.04200501876438736,0.04200524265897659,2.2389458922966732e-07,PW,pw_rollout,False,5.330186625686961e-06,306,walker
0.04888573565957983,0.04888575925712724,2.359754740915987e-08,PW,wml_rollout,False,4.827082397508241e-07,306,walker
0.03255255709325562,0.03255242490970816,1.3218354746186156e-07,PW,neutral,False,4.060619480158992e-06,307,walker
0.020525196328497017,0.020525113311697513,8.30167995041764e-08,PW,pw_rollout,False,4.044628766299134e-06,307,walker
0.039235657926022974,0.03923557140021862,8.652580435475343e-08,PW,wml_rollout,False,2.2052849099126578e-06,307,walker
0.05616238986809446,0.056162311278749585,7.858934487209313e-08,PW,neutral,False,1.399323373821371e-06,308,walker
