delta_norm,s_norm,B_b,N_b,delta_dot_vsig,var_pw_e,var_pw_clean,cross_pw,var_zo_e,var_zo_clean,cross_zo,var_wml_e,var_wml_clean,cross_wml,pre_pw_clean_meannorm,pre_zo_clean_meannorm,pre_wml_clean_meannorm,mse_pw,cos_pw,post_pw_bias2,post_pw_var,mse_zo,cos_zo,post_zo_bias2,post_zo_var,mse_wml,cos_wml,post_wml_bias2,post_wml_var,G,err_pw_total,err_pw_cleanoff,err_pw_erroroff,err_pw_baseline,err_zo_total,err_zo_cleanoff,err_zo_erroroff,err_zo_baseline,err_wml_total,err_wml_cleanoff,err_wml_erroroff,err_wml_baseline,ess_med,ess_min,eta_at_bound,nonfinite,wml0_checksum,d,sigma,r_eff,J,omega_nominal,direction,A_eff,L_eff,omega_eff,orth_resid
0.06285221969350241,0.3296934939631142,0.19063833786339215,0.05340835851997326,-0.055727416267318614,0.05531231442553672,0.01860724672461858,0.024486769572828727,0.26613464506188245,0.2192239606695074,0.29693402602524405,0.00580537107068179,0.022747076048056144,-0.006672271735470927,0.9979161220195134,0.9599439425536331,0.3296934939631142,0.016986814963310302,0.9575329625917242,0.07845445472685919,0.0064796200896924125,0.044027577124972725,0.8899310571875683,0.0842885848398067,0.13584930078505741,0.04524541336372993,0.8868864665906752,0.027188279423577738,0.19903878739507191,0.02825859840041963,0.016986814963310306,0.016257084440416354,0.017202426795004663,0.0028708904759514324,0.044027577124972725,0.026492675274377563,0.025465120389512992,0.02821265675911302,0.04524541336372993,0.013718526120176908,0.044080267681956165,0.029371182584277962,15.983908545461615,14.026764297115745,0.0,0.0,68.29389514294019,4,0.4,0.5,1,2.5,0,1.0,2.5,2.5,2.220446049250313e-16
0.161077571472705,0.3296934939631142,0.48856763758500554,0.09066064391794815,-0.1271884093385552,0.09706409160609497,0.01860724672461858,0.0129851614128081,0.09393845491586339,0.2192239606695074,0.03485850235743845,0.009854612536983522,0.022747076048056144,-0.01259158461897987,0.9979161220195134,0.9599439425536331,0.3296934939631142,0.0272501092890126,0.9318747267774685,0.05628691303066817,0.07996363341439536,0.052942252066627046,0.8676443698334324,0.07042070363167478,0.19429055670146056,0.0904347947216996,0.773913013195751,0.2054692952792165,0.24670467832928175,0.063184685432687,0.0272501092890126,0.023318975269484215,0.013561474240489726,0.0028708904759514324,0.052942252066627046,0.0252887506248622,0.037224248570777295,0.02821265675911302,0.09043479472169959,0.06961700181618692,0.09713649226222965,0.029371182584277962,14.613192711950774,12.025099974935438,0.0,0.0,68.29389514294019,4,0.4,0.5,4,5.0,0,1.0,2.5,2.5,2.220446049250313e-16
0.32595719006341156,0.3256172082464837,1.0010441150170126,0.16926360630229498,-0.17416488697532345,0.04252012942392108,0.020017372180470006,0.006438541020642186,0.32155056574859064,0.2428945656319217,-0.036001325739413725,0.017946438976842557,0.02291512524001376,-0.015253567356050667,1.00263397887421,0.9783407440780754,0.3256172082464837,0.22310918692571677,0.4422270326857082,1.1030651784332797,0.01248075619530468,0.23519026372560847,0.41202434068597893,1.0486459124222982,0.1273054062057436,0.22813912047426682,0.429652198814333,0.9552934336294203,0.18540216874191429,0.005029933548550053,0.22310918692571677,0.22299238204930363,0.22561147559799685,0.003174451860539042,0.23519026372560847,0.22957561474721425,0.2292019585983075,0.02989470071751953,0.22813912047426682,0.21469397262810203,0.2222323541685013,0.03165698041365269,14.940557670161203,12.40515987603792,0.0,0.0,-228.13665506170514,4,0.4,0.5,1,2.5,1,1.0,2.5,2.5,4.440892098500626e-16
0.13940399674551765,0.3256172082464837,0.4281223265079789,0.09472861983383964,-0.07777524129329062,0.09969665239030034,0.020017372180470006,-0.0015788767272905987,0.0917613821109789,0.2428945656319217,-0.012132871964958568,0.010043750291910626,0.02291512524001376,-0.004952638727762709,1.00263397887421,0.9783407440780754,0.3256172082464837,0.03445487374490839,0.9138628156377291,0.07269223160124381,0.09958213712329808,0.0609496382749162,0.8476259043127096,0.08286899169570693,0.22187919967887404,0.08417138293614634,0.7895715426596341,0.17798414972967905,0.24287276495105278,0.049716509191237955,0.03445487374490839,0.030426121950246684,0.01824659444393891,0.003174451860539042,0.0609496382749162,0.03029109668854918,0.04999520300303413,0.02989470071751953,0.08417138293614636,0.05550420119174419,0.07554585384054502,0.03165698041365269,13.789456219284794,10.208317707712808,0.0,0.0,-228.13665506170514,4,0.4,0.5,4,5.0,1,1.0,2.5,2.5,4.440892098500626e-16
0.33790847433516763,0.3287443927848899,1.027876008690661,0.17506485956176565,-0.1582395705558611,0.0384272035871391,0.020230034668504166,-0.007212129385131397,0.30781301571760966,0.21005721530652938,-0.046872468661205174,0.01891976282217588,0.02406628566696048,-0.01382121646248738,0.9957159917643049,0.9441983029030837,0.3287443927848899,0.19242284807267632,0.5189428798183092,0.9528717702712804,0.009242470092102863,0.21145925964414836,0.4713518508896291,0.953386221332489,0.10391007688825313,0.22498514666491154,0.43753713333772115,0.9584069689876303,0.16651876433692753,0.03256229859223522,0.19242284807267632,0.19157048440607055,0.19372442448586574,0.0030888014261397584,0.21145925964414836,0.20502770339663623,0.20445083628192226,0.026918445323300795,0.22498514666491157,0.21267222941898034,0.21983020096040262,0.031247974205036003,14.498849977548584,12.224327441194342,0.0,0.0,-87.3605911672888,4,0.4,0.5,1,2.5,2,1.0,2.5,2.5,4.440892098500626e-16
0.135062403745763,0.3287443927848899,0.41084321652335987,0.13266054155736728,-0.09522184894974049,0.09582394999158787,0.020230034668504166,-0.0020568214310631387,0.095592544362202,0.21005721530652938,-0.022263877808797412,0.014337006229632632,0.02406628566696048,-0.0006641543512039877,0.9957159917643049,0.9441983029030837,0.3287443927848899,0.038475368214155446,0.9038115794646114,0.07716857797013435,0.11520826310064254,0.06967984037440483,0.8258003990639879,0.11380543452874128,0.23459376734328286,0.10706855936199658,0.7323286015950086,0.19140219069631903,0.34394060611366384,0.06859319114784113,0.038475368214155446,0.0351623757894899,0.019807275425553654,0.0030888014261397584,0.06967984037440483,0.04032120968582149,0.05645357739724984,0.026918445323300795,0.10706855936199658,0.06517314301909834,0.07931939757092815,0.031247974205036003,13.90008499945646,10.599754566614273,0.0,0.0,-87.3605911672888,4,0.4,0.5,4,5.0,2,1.0,2.5,2.5,4.440892098500626e-16
0.13556786818075364,0.3248845919755655,0.4172800789239942,0.32328011269600515,-0.07774583045623924,0.08033973995116331,0.021236598430452416,-0.03735859559211645,0.2381784339988236,0.23870473878677628,-0.11148308624010529,0.034122215281842894,0.024180916057126932,-0.0015233647350049737,1.002745497039257,0.9849537432938678,0.3248845919755655,0.009789199674541818,0.9755270008136454,0.004112254873189093,0.04483374349952018,0.043987498267058237,0.8900312543323544,0.016273825452954634,0.20366366588233664,0.11727474002383415,0.7068131499404147,0.16544504483342315,0.42092865528574785,0.10748554034929232,0.009789199674541818,0.012032662144069096,0.00399054538666465,0.0030725387835604306,0.043987498267058237,0.03383450022311408,0.027428426207446736,0.02769334750694566,0.11727474002383415,0.08638908110543066,0.07953508310757366,0.033849132258863296,12.889462799786205,9.528901772626496,0.0,0.0,164.9946134552996,4,0.4,0.5,1,2.5,3,1.0,2.5,2.5,2.220446049250313e-16
0.12212410958648146,0.3248845919755655,0.3758999737225654,0.10266618866607934,-0.11497205845031717,0.09496623903530627,0.021236598430452416,0.02084973642820716,0.1017676368348738,0.23870473878677628,0.037625903347592866,0.010836416018960229,0.024180916057126932,-0.011823831241058775,1.002745497039257,0.9849537432938678,0.3248845919755655,0.018279432768911263,0.9543014180777218,0.006419838380026955,0.08497732546452953,0.04299079720370637,0.8925230069907342,0.012074503252393315,0.20287948276613865,0.07395183068777261,0.8151204232805684,0.056001388475542604,0.3137577649633203,0.05567239791886135,0.018279432768911263,0.013344979855378886,0.0036262560483417187,0.0030725387835604306,0.04299079720370637,0.014223960899406956,0.024968806327723768,0.02769334750694566,0.07395183068777261,0.0433630469874977,0.07892499347352672,0.033849132258863296,14.644375111671321,12.248154377538665,0.0,0.0,164.9946134552996,4,0.4,0.5,4,5.0,3,1.0,2.5,2.5,2.220446049250313e-16
0.20707841172629252,0.32544620566260557,0.6362907544264734,0.36234338871633537,-0.12807912026360538,0.07803200965564262,0.020417265212502006,-0.03464130361039231,0.23845940288584438,0.2255963378712948,-0.13337494318713178,0.03837768436225243,0.024403303014795395,-0.00742183237994033,1.000447066104999,0.961228292752009,0.32544620566260557,0.04714640697435609,0.8821339825641097,0.19085349058026543,0.04487854429151488,0.07959448967003753,0.8010137758249062,0.20843913065719763,0.1895333176929897,0.16134899591389926,0.5966275102152518,0.37395309678124367,0.43279188278825276,0.11420258893954316,0.04714640697435609,0.047895515445427486,0.04336557759008069,0.0030366555249791995,0.07959448967003753,0.07083583872169401,0.07042027197541273,0.028422521894951373,0.16134899591389926,0.1410471619294537,0.13285440592169304,0.0327178310255649,13.379846308969238,10.437877997114546,0.0,0.0,202.96540707152295,4,0.4,0.5,1,2.5,4,1.0,2.5,2.5,7.771561172376096e-16
0.13996122355974364,0.32544620566260557,0.4300594725779145,0.12903704095301138,-0.07448818971330756,0.09606621571840811,0.020417265212502006,-0.009096869697335266,0.08923611011997144,0.2255963378712948,-0.03576187121895103,0.013666988229804718,0.024403303014795395,-0.002402322778020394,1.000447066104999,0.961228292752009,0.32544620566260557,0.02994010357394928,0.9251497410651268,0.05044625342578755,0.09925426444395903,0.05348085519095888,0.8662978620226027,0.05506145030732704,0.21234282564746737,0.09814389450326777,0.7546402637418306,0.19997746422782556,0.29074200828851327,0.0682037909293185,0.02994010357394928,0.02774784886075734,0.013621269151948003,0.0030366555249791995,0.05348085519095888,0.025922752082245853,0.04430700242069166,0.028422521894951373,0.09814389450326777,0.06300471156808368,0.07960812311049192,0.0327178310255649,13.8007803644904,10.76913259371617,0.0,0.0,202.96540707152295,4,0.4,0.5,4,5.0,4,1.0,2.5,2.5,7.771561172376096e-16
0.07798641651949252,0.33338770502787757,0.2339210934997479,0.04970409428833937,-0.07789193425384162,0.08529357347141267,0.01988682398404109,0.03832455731685931,0.24279911930417108,0.2298549450602912,0.16114161640174637,0.005524478953976258,0.02316766368318309,-0.00713247680460516,0.9956218681583641,0.9824804109854882,0.33338770502787757,0.02632167796000275,0.9341958050999932,0.05633708427974166,0.0752713055202723,0.06887607912672755,0.827809802183181,0.0649612027856569,0.2794191928479812,0.04564547943640515,0.885886301408987,0.013517429266947573,0.21470996791507846,0.0193238014764024,0.02632167796000275,0.02099199187942654,0.017313704570334508,0.0031032201264588636,0.06887607912672755,0.036660394381303876,0.03508404269716014,0.02892750315413572,0.04564547943640515,0.013733414313297308,0.05051564846419729,0.030596811496108704,15.366552461392114,12.75921422947784,0.0,0.0,227.7472816130313,4,0.4,0.5,1,2.5,5,1.0,2.5,2.5,2.6004433358210475e-16
0.14970397695301504,0.33338770502787757,0.4490386858762441,0.10482541316500574,-0.1471981693687616,0.10026772796783684,0.01988682398404109,0.022847743766105193,0.09790334386572679,0.2298549450602912,0.04595858045025521,0.01165106812956853,0.02316766368318309,-0.013226317005580931,0.9956218681583641,0.9824804109854882,0.33338770502787757,0.03043183766816882,0.923920405829578,0.02585182374070949,0.1263073646001348,0.06158375260618419,0.8460406184845395,0.042817307039522814,0.26510145599139834,0.08024401957893318,0.799389951052667,0.06148050889052509,0.33973958900414103,0.049812181910764364,0.03043183766816882,0.022896037780248207,0.008632598562098026,0.0031032201264588636,0.06158375260618419,0.021912020842673043,0.03902510615515655,0.02892750315413572,0.08024401957893318,0.05235818012578369,0.08779803713352645,0.030596811496108704,14.807863377991197,12.107553625456188,0.0,0.0,227.7472816130313,4,0.4,0.5,4,5.0,5,1.0,2.5,2.5,2.6004433358210475e-16
