task,seed,law,critic,eta_median,eta_min,eta_max,eta_at_lo,eta_at_hi,dual_gap_max,w_max_median,sigma_median,sigma_p95,sigma_min,sigma_max,sigma_across_states,sigma_across_coords,saturation,eta_saved
walker,301,A,PW,0.07176828384399414,0.011604218743741512,1.2985801696777344,0.0,0.0,3.0517578125e-05,0.14393438398838043,0.5204756259918213,0.8506463766098022,0.10922291874885559,5.134185314178467,0.17099282145500183,0.11996826529502869,0.006282145157456398,nan
walker,301,A,WML,0.2198665738105774,0.0004815088177565485,10.0,0.0,0.017070312052965164,0.039455413818359375,0.15123510360717773,0.5204756259918213,0.8506463766098022,0.10922291874885559,5.134185314178467,0.17099282145500183,0.11996826529502869,0.006282145157456398,0.024808276444673538
walker,301,B,PW,0.2448338121175766,0.0025253305211663246,2.511218786239624,0.0,0.0,3.0517578125e-05,0.129489466547966,4.226627349853516,90.01068878173828,0.11334168165922165,740.59814453125,43.638206481933594,7.136772155761719,0.5800012350082397,nan
walker,301,B,WML,0.48497888445854187,0.0010944274254143238,10.0,0.0,0.0666796863079071,0.09810256958007812,0.12665043771266937,4.226627349853516,90.01068878173828,0.11334168165922165,740.59814453125,43.638206481933594,7.136772155761719,0.5800012350082397,0.024808276444673538
walker,302,A,PW,0.0739959329366684,0.011140613816678524,2.1476402282714844,0.0,0.0,3.0517578125e-05,0.14271213114261627,0.5167433023452759,0.816643238067627,0.10201941430568695,1.2660484313964844,0.15676602721214294,0.10106463730335236,0.006967366673052311,nan
walker,302,A,WML,0.42669808864593506,0.0008182847523130476,10.0,0.0,0.003359374823048711,0.022966384887695312,0.1605386734008789,0.5167433023452759,0.816643238067627,0.10201941430568695,1.2660484313964844,0.15676602721214294,0.10106463730335236,0.006967366673052311,0.0426042303442955
walker,302,B,PW,0.3633649945259094,0.011837177909910679,4.553276062011719,0.0,0.0,3.0517578125e-05,0.131195068359375,3.989748239517212,110.90145874023438,0.14737217128276825,1602.9222412109375,103.97381591796875,6.275462627410889,0.5512621998786926,nan
walker,302,B,WML,0.5946263074874878,0.0008248378871940076,10.0,0.0,0.03570312261581421,0.0604400634765625,0.13355323672294617,3.989748239517212,110.90145874023438,0.14737217128276825,1602.9222412109375,103.97381591796875,6.275462627410889,0.5512621998786926,0.0426042303442955
walker,303,A,PW,0.07406550645828247,0.0118310721591115,9.999995231628418,0.0,0.0006640625069849193,0.017547607421875,0.1439509242773056,0.538532018661499,0.8553027510643005,0.12142962217330933,20.619739532470703,0.17154556512832642,0.10680674761533737,0.007966511882841587,nan
walker,303,A,WML,0.20852771401405334,0.0005483915447257459,10.0,0.0,0.010468749329447746,0.09048080444335938,0.1551574468612671,0.538532018661499,0.8553027510643005,0.12142962217330933,20.619739532470703,0.17154556512832642,0.10680674761533737,0.007966511882841587,0.03785382956266403
walker,303,B,PW,0.259736031293869,0.001213075127452612,6.407588005065918,0.0,0.0,3.0517578125e-05,0.12604951858520508,2.7906851768493652,76.83598327636719,0.11624648422002792,1565.045166015625,70.16389465332031,5.694408416748047,0.5040706396102905,nan
walker,303,B,WML,0.43160995841026306,0.0012599533656612039,10.0,0.0,0.0629296824336052,0.10947799682617188,0.13326267898082733,2.7906851768493652,76.83598327636719,0.11624648422002792,1565.045166015625,70.16389465332031,5.694408416748047,0.5040706396102905,0.03785382956266403
walker,304,A,PW,0.07946015894412994,0.012649118900299072,2.914905309677124,0.0,0.0,3.0517578125e-05,0.14313030242919922,0.5000011920928955,0.7849787473678589,0.11548067629337311,1.1686018705368042,0.14918434619903564,0.10947392880916595,0.005538330413401127,nan
walker,304,A,WML,0.19329401850700378,0.0010541982483118773,8.582179069519043,0.0,0.0,1.52587890625e-05,0.16096355020999908,0.5000011920928955,0.7849787473678589,0.11548067629337311,1.1686018705368042,0.14918434619903564,0.10947392880916595,0.005538330413401127,0.024782558903098106
walker,304,B,PW,0.24756579101085663,0.011944782920181751,10.0,0.0,0.006874999962747097,0.0326995849609375,0.1304948627948761,2.113589286804199,36.24877166748047,0.12878002226352692,287493.0,33.17218780517578,2.931128978729248,0.40190958976745605,nan
walker,304,B,WML,0.3639901876449585,0.002082749269902706,10.0,0.0,0.007578124757856131,0.046848297119140625,0.1406211107969284,2.113589286804199,36.24877166748047,0.12878002226352692,287493.0,33.17218780517578,2.931128978729248,0.40190958976745605,0.024782558903098106
