task,cell,seed,half,same_seed_median,other_seed_median,n_same,n_other
walker,PW_ent,301,PW_half,0.47647160291671753,0.4912426471710205,192,1344
walker,PW_ent,301,WML_half,0.4520892798900604,0.4819214344024658,192,1344
walker,PW_ent,302,PW_half,0.48130494356155396,0.4416550099849701,192,1344
walker,PW_ent,302,WML_half,0.44713979959487915,0.4520019292831421,192,1344
walker,PW_ent,303,PW_half,0.48298490047454834,0.4696734547615051,192,1344
walker,PW_ent,303,WML_half,0.45708611607551575,0.4661484956741333,192,1344
walker,PW_ent,304,PW_half,0.4671853184700012,0.4629514813423157,192,1344
walker,PW_ent,304,WML_half,0.432919979095459,0.42801228165626526,192,1344
walker,PW_ent,305,PW_half,0.47584256529808044,0.46070194244384766,192,1344
walker,PW_ent,305,WML_half,0.46484696865081787,0.4616994261741638,192,1344
walker,PW_ent,306,PW_half,0.480896532535553,0.43959635496139526,192,1344
walker,PW_ent,306,WML_half,0.43519067764282227,0.45997995138168335,192,1344
walker,PW_ent,307,PW_half,0.4801487624645233,0.44089317321777344,192,1344
walker,PW_ent,307,WML_half,0.40123075246810913,0.42850446701049805,192,1344
walker,PW_ent,308,PW_half,0.4459722638130188,0.43829256296157837,192,1344
walker,PW_ent,308,WML_half,0.45086660981178284,0.4447108507156372,192,1344
walker,WML_noent,301,PW_half,3.359067440032959,6.877936363220215,192,1344
walker,WML_noent,301,WML_half,0.23551586270332336,6.863414287567139,192,1344
walker,WML_noent,302,PW_half,25.545207977294922,13.934101104736328,192,1344
walker,WML_noent,302,WML_half,0.2086728811264038,9.225847244262695,192,1344
walker,WML_noent,303,PW_half,5.072652816772461,5.430806636810303,192,1344
walker,WML_noent,303,WML_half,0.24842335283756256,9.763099670410156,192,1344
walker,WML_noent,304,PW_half,8.288742065429688,11.719228744506836,192,1344
walker,WML_noent,304,WML_half,0.2844034433364868,9.00687026977539,192,1344
walker,WML_noent,305,PW_half,22.42037010192871,15.37781047821045,192,1344
walker,WML_noent,305,WML_half,0.22595258057117462,9.519575119018555,192,1344
walker,WML_noent,306,PW_half,6.316100120544434,5.916347503662109,192,1344
walker,WML_noent,306,WML_half,0.21050620079040527,3.9713382720947266,192,1344
walker,WML_noent,307,PW_half,4.584632396697998,4.806486129760742,192,1344
walker,WML_noent,307,WML_half,0.1537962257862091,3.8631834983825684,192,1344
walker,WML_noent,308,PW_half,27.810440063476562,22.995380401611328,192,1344
walker,WML_noent,308,WML_half,0.14324529469013214,26.37128448486328,192,1344
g1,PW_ent,301,PW_half,0.2693825364112854,0.2874998450279236,192,1344
g1,PW_ent,301,WML_half,0.2586096525192261,0.289723664522171,192,1344
g1,PW_ent,302,PW_half,0.26436543464660645,0.30597978830337524,192,1344
g1,PW_ent,302,WML_half,0.26784929633140564,0.3025572597980499,192,1344
g1,PW_ent,303,PW_half,0.2696552276611328,0.28423964977264404,192,1344
g1,PW_ent,303,WML_half,0.24972090125083923,0.2727556824684143,192,1344
g1,PW_ent,304,PW_half,0.3376361131668091,0.34046974778175354,192,1344
g1,PW_ent,304,WML_half,0.3585394024848938,0.34056615829467773,192,1344
g1,PW_ent,305,PW_half,0.2798282504081726,0.2999805808067322,192,1344
g1,PW_ent,305,WML_half,0.26597046852111816,0.29409217834472656,192,1344
g1,PW_ent,306,PW_half,0.3483413755893707,0.36980730295181274,192,1344
g1,PW_ent,306,WML_half,0.346169650554657,0.35604003071784973,192,1344
g1,PW_ent,307,PW_half,0.26166290044784546,0.28535348176956177,192,1344
g1,PW_ent,307,WML_half,0.27946794033050537,0.28671079874038696,192,1344
g1,PW_ent,308,PW_half,0.2561775743961334,0.26857906579971313,192,1344
g1,PW_ent,308,WML_half,0.25105640292167664,0.2543806731700897,192,1344
g1,WML_noent,301,PW_half,0.3336474299430847,0.47954243421554565,192,1344
g1,WML_noent,301,WML_half,0.1670040637254715,0.6010046005249023,192,1344
g1,WML_noent,302,PW_half,0.3546769618988037,0.522876501083374,192,1344
g1,WML_noent,302,WML_half,0.17275488376617432,0.43789950013160706,192,1344
g1,WML_noent,303,PW_half,0.6617738008499146,0.6155785322189331,192,1344
g1,WML_noent,303,WML_half,0.17289964854717255,0.6578375697135925,192,1344
g1,WML_noent,304,PW_half,0.5648894309997559,0.7826666831970215,192,1344
g1,WML_noent,304,WML_half,0.20989330112934113,0.7749897241592407,192,1344
g1,WML_noent,305,PW_half,0.2742168605327606,0.4143015146255493,192,1344
g1,WML_noent,305,WML_half,0.17640236020088196,0.4393214285373688,192,1344
g1,WML_noent,306,PW_half,0.6385070085525513,1.0971202850341797,192,1344
g1,WML_noent,306,WML_half,0.24655133485794067,1.2155495882034302,192,1344
g1,WML_noent,307,PW_half,0.36487942934036255,0.5710083842277527,192,1344
g1,WML_noent,307,WML_half,0.1846165806055069,0.5834503173828125,192,1344
g1,WML_noent,308,PW_half,0.3528570830821991,0.4967568516731262,192,1344
g1,WML_noent,308,WML_half,0.17547953128814697,0.549314558506012,192,1344
leap,PW_ent,301,PW_half,0.19562244415283203,0.5776053667068481,192,1344
leap,PW_ent,301,WML_half,0.7737614512443542,0.6432992815971375,192,1344
leap,PW_ent,302,PW_half,0.2434615045785904,0.9600344896316528,192,1344
leap,PW_ent,302,WML_half,0.9709476828575134,0.6665966510772705,192,1344
leap,PW_ent,303,PW_half,0.3626749515533447,0.6195582747459412,192,1344
leap,PW_ent,303,WML_half,0.6653193831443787,0.6719515323638916,192,1344
leap,PW_ent,304,PW_half,0.25518280267715454,0.39161205291748047,192,1344
leap,PW_ent,304,WML_half,0.4537964463233948,0.48265692591667175,192,1344
leap,PW_ent,305,PW_half,0.1962077021598816,0.4413173198699951,192,1344
leap,PW_ent,305,WML_half,0.4455485939979553,0.4792299270629883,192,1344
leap,PW_ent,306,PW_half,0.2349167764186859,0.6581219434738159,192,1344
leap,PW_ent,306,WML_half,0.5527260899543762,0.752104640007019,192,1344
leap,PW_ent,307,PW_half,0.21350887417793274,0.8955683708190918,192,1344
leap,PW_ent,307,WML_half,0.3577919006347656,0.6987333297729492,192,1344
leap,PW_ent,308,PW_half,0.17552286386489868,0.5571424961090088,192,1344
leap,PW_ent,308,WML_half,0.4617840647697449,0.4662820100784302,192,1344
leap,WML_noent,301,PW_half,4.966456413269043,3.926952362060547,192,1344
leap,WML_noent,301,WML_half,0.17083445191383362,4.247492790222168,192,1344
leap,WML_noent,302,PW_half,1.099745512008667,1.7958247661590576,192,1344
leap,WML_noent,302,WML_half,0.15620437264442444,1.9229857921600342,192,1344
leap,WML_noent,303,PW_half,4.03650426864624,6.157835006713867,192,1344
leap,WML_noent,303,WML_half,0.15522029995918274,4.204733848571777,192,1344
leap,WML_noent,304,PW_half,3.940596342086792,3.746325731277466,192,1344
leap,WML_noent,304,WML_half,0.11102667450904846,2.902024269104004,192,1344
leap,WML_noent,305,PW_half,8.889823913574219,7.088273048400879,192,1344
leap,WML_noent,305,WML_half,0.10138428211212158,10.078378677368164,192,1344
leap,WML_noent,306,PW_half,3.1187894344329834,1.4023293256759644,192,1344
leap,WML_noent,306,WML_half,0.1338886171579361,1.6421575546264648,192,1344
leap,WML_noent,307,PW_half,2.46939754486084,3.9033727645874023,192,1344
leap,WML_noent,307,WML_half,0.10777653753757477,4.270790100097656,192,1344
leap,WML_noent,308,PW_half,2.9770984649658203,4.209941864013672,192,1344
leap,WML_noent,308,WML_half,0.10911323130130768,3.5646119117736816,192,1344
