dir,env_name,actor_update_mode,seed,seed_index,action_dim,action_pad,obs_dim,critic_obs_dim,estep_num_samples,eps_e,alpha_entropy,alpha_kl,gamma,lmbda,time_steps,iteration,checkpoint_frac,final_eval_return,ess_final,ess_degenerate,nan_in_eval,normalize_env,train_seconds,hydra_run_dir,files_present,n_missing,bytes_total,mtime_utc,sha256_actor,sha256_critic,sha256_meta,sha256_normalizer,present_in,sha256_agreement,fields_differing
exports/G1JoystickFlatTerrain_pathwise_fa_s108_final,G1JoystickFlatTerrain,pathwise,108,0,29,0,103,103,32,0.5,0.00020752238924615085,0.0041904267854988575,0.97,0.95,52297728,399,1.0,29.26029396057129,0.0,False,False,True,2447.151943221994,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/conf/g1_A_s108,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396624,2026-09-01T11:35:48Z,7b9c0de1eeb912f9352409e9fa301f14396cb400a2d90898297b26b24ebd5c41,509df22f7f6a3dabcc4e43ec0f5f8b557496fb59919bbccd68fd736175f5ec7c,f1e4d7bbb74466e627d3c31b80f80b3815ce9fe72e4a120d52241f35a52d7e10,62ed9545787b5667887a48d5589bf62acc11130671eb938ee257a0508211bce4,claix,single-source,
exports/G1JoystickFlatTerrain_pathwise_fa_s1_final,G1JoystickFlatTerrain,pathwise,1,0,29,0,103,103,32,0.5,0.00023000007786322385,0.0038842232897877693,0.97,0.95,52297728,399,1.0,29.91904067993164,0.0,False,False,True,3163.6544543269556,/home/human/workspaces/reppo_original/outputs/2026-08-30/16-22-46,actor.npz|critic.npz|meta.json|normalizer.npz,0,19391702,2026-08-30T17:15:41Z,25ef0b7808f07b4aea83af143daf7822a978b81debf2d41a40ee6d528ce0572a,0ddbfcaccd20586afd906985738a9ddef1d4b18ef75c1d6ce02a7d1f40917f31,1193e1e356453ebfb4d4fe24a3b4fa270eb4ed70a4859ac2988dcf59a49784ee,d36b0be950aacbd446f369f07baeedeea627dbfe2a4f93af5895df0b5a71f5a2,workstation,single-source,
exports/G1JoystickFlatTerrain_pathwise_fa_s201_final,G1JoystickFlatTerrain,pathwise,201,0,29,0,103,103,32,0.5,0.00020752238924615085,0.012507792562246323,0.97,0.95,2621440,20,1.0,-2.203486919403076,0.0,False,False,True,788.1124463469896,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/smoke/g1_A_s201,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396106,2026-09-01T09:32:21Z,9183388c4148b6a31932ada5c0540f3b99bf2209e9ff77a0288409924340f43e,9a39aeda8e31e26c48adca8426c882cd5598d35ff32b7e87a11a501c9672a77f,aa1a77ff8e6ea3a283bdc2fc18c1ae2a9cf0066e12a809c3b6d48c989083fcdb,0dae9c1edf0ccacae9dc3d3de704087cd180bdd59b81e7a534707a8cf883dd72,claix,single-source,
exports/G1JoystickFlatTerrain_pathwise_fa_s2_final,G1JoystickFlatTerrain,pathwise,2,0,29,0,103,103,32,0.5,0.00023000007786322385,0.0039148349314928055,0.97,0.95,52297728,399,1.0,30.30789566040039,0.0,False,False,True,3052.254554373969,/home/human/workspaces/reppo_original/outputs/2026-08-30/18-53-58,actor.npz|critic.npz|meta.json|normalizer.npz,0,19391698,2026-08-30T19:45:04Z,e82838772325b4bacec61f26c99fbea038b510c7ae5ab4ed40141c20e638c861,c005619a7fe3cf5f76dfb3fb4aca5d78f20a19768cb5696913ac7e7bcc755a0d,9fde36affcec39996b17c9ac28e1f58a7d81a58011fcc2deb7b7d2d77b198a8f,084f677ab20853e7be72eecc19619760c1a04a976139fc83de87a9efdbdcb03d,workstation,single-source,
exports/G1JoystickFlatTerrain_pathwise_fa_s301_final,G1JoystickFlatTerrain,pathwise,301,0,29,0,103,103,32,0.5,0.00020752238924615085,0.0043693240731954575,0.97,0.95,52297728,399,1.0,27.264759063720703,0.0,False,False,True,2549.16604340903,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/faithful_repair/g1_PW1_s301,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396648,2026-09-02T03:22:15Z,38710c5374100d0153db48b018ed7677e5f134900c064f80640a1e802341c2d7,b234319b3feb01f370ae0601fd0b212dd30015059ea8a1d1fa3023cb5e0c7627,4b17a9d67930ece326b8584766374a99986545f423fded80d9827f68e4998259,0830dc6db9bf10434cd67e0e850727ec70c3145b2a92a4aa75412e7d1c906053,claix,single-source,
exports/G1JoystickFlatTerrain_pathwise_fa_s302_final,G1JoystickFlatTerrain,pathwise,302,0,29,0,103,103,32,0.5,0.00020752238924615085,0.004445385187864304,0.97,0.95,52297728,399,1.0,29.184972763061523,0.0,False,False,True,2453.3076560839836,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/faithful_repair/g1_PW1_s302,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396657,2026-09-02T08:27:19Z,5009e42aa04b98a0e77721675db8694304231134089a9b5bf9952ec2794c7fc6,a89120804c1916af409b286a30bfe75caac68d7d302740d3b053430bd2e35073,c1e7ceb3e9713eb4dd4c04dd0dbca6d6e14648ff8d993be47f785ccb5f834908,6f5329df6d291fd597d8a8a8680f7509af408bc85de576d1a81d93ae28dd3271,claix,single-source,
exports/G1JoystickFlatTerrain_pathwise_fa_s303_final,G1JoystickFlatTerrain,pathwise,303,0,29,0,103,103,32,0.5,0.00020752238924615085,0.004651558119803667,0.97,0.95,52297728,399,1.0,17.794275283813477,0.0,False,False,True,2552.8649843360763,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/faithful_repair/g1_PW1_s303,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396640,2026-09-02T03:22:20Z,6301a5dad2c8cde5803207749dfa54a023b127b9424b6f35e355016e3560fbbe,bf7fd2b6eb94715a4a085657bd0ea9b39d43c009313b9e1bef760c327283cadb,15100aecc4bd6b29900ef26b6d73a77395624809bdbccbed497f086d570e49cd,c2ca724328d96abe2386cbf06fc474d9933735513dbdf7f382174c96e59f8801,claix,single-source,
exports/G1JoystickFlatTerrain_pathwise_fa_s304_final,G1JoystickFlatTerrain,pathwise,304,0,29,0,103,103,32,0.5,0.00020752238924615085,0.00516266655176878,0.97,0.95,52297728,399,1.0,13.012063980102539,0.0,False,False,True,2448.417025545001,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/faithful_repair/g1_PW1_s304,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396638,2026-09-02T08:29:35Z,5d01d6f9a0e632de5868f4ebfad08b84cb6dd8698548fac353a6fa9928f73573,b256431351cad7e72a7ef8d0da6477ed0691f5e922b59cad0048ae56f9fb408c,82b7c99ae23a1f7ae70c3a949593d275cce8098788073985713ca8453431d11f,ff541bdc9047846541745968234083b4fc530c6423b890931d617facfd982637,claix,single-source,
exports/G1JoystickFlatTerrain_pathwise_fa_s305_final,G1JoystickFlatTerrain,pathwise,305,0,29,0,103,103,32,0.5,0.00020752238924615085,0.0043923319317400455,0.97,0.95,52297728,399,1.0,24.29935646057129,0.0,False,False,True,2552.1290999070043,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/faithful_repair/g1_PW1_s305,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396656,2026-09-02T03:22:19Z,5ecfe561da9a52f20c3aebe545f48c57ae6d6cbc6ea051fdb9ed4edc9d3c9719,b4a08e677207c210a52b942324a3bd40549a4c4cdaff9f20346fc51830d41891,0a96d79b80d9a0fbd7a744a7850f19395a13a308a3e361e202bc1fe8e818a710,44e10dcbdf644946db5ccae59f307435937bce7599afaa025ca34af642e0a8d9,claix,single-source,
exports/G1JoystickFlatTerrain_pathwise_fa_s306_final,G1JoystickFlatTerrain,pathwise,306,0,29,0,103,103,32,0.5,0.00020752238924615085,0.005524554755538702,0.97,0.95,52297728,399,1.0,10.326732635498047,0.0,False,False,True,2435.376529373025,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/faithful_repair/g1_PW1_s306,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396638,2026-09-02T08:36:51Z,7f1abdde9d9219d1d54edc062d74a2e61f69245702a1f6fbe23d45d58a48627f,59b44465a3d1bb7d5bd5859647f3aa47c52fe8b22d1e1209b88af184ceac33ed,fa43ee40836cd8ee2dd7a9087c9434db625951489a56cc72c04e5e6453fa30e0,acd21f3eb59917deb7fb5d34d3a26e85a2a7d3ef3588e9e00f8b77fa880e011a,claix,single-source,
