d,rank,rank_expected,npz,sha256_12,git_sha,prereg_sha,n_states,N,rho_closed,cond_H,retries,eps_frac,c_star,bracketed,frac_no_bracket,collapse_sd_log,cols_bracketed,omega_rms_over_omega_at_crossover,c_star_rms,c_star_omega_inf,product_rms_median_r05_3
1,1,1,d1_rank_r1_M32_unit_H_identity_csd.npz,b223478b3605,5cb384db9b,d2cb9f60c6,32,2000,0.45171986998629443,1.0,0,0.05,1.2011273972999275,True,0.0,0.010076595951518953,20,0.9960240794604702,1.1963518102104107,1.2011273972999275,1.4455070665703977
2,2,2,d2_rank_r2_M32_unit_H_identity_csd.npz,e40d497aec2f,5cb384db9b,d2cb9f60c6,32,2000,0.5346945053759615,16.190285032008905,0,0.05,1.5215131337632013,True,0.0,0.002514458959023468,20,0.9711761468437291,1.4776572626202733,1.0758722545483541,1.1080768423300729
4,2,2,d4_rank_r2_M32_unit_H_identity_csd.npz,a21443bc7b31,5cb384db9b,d2cb9f60c6,32,2000,0.47086851748234376,7.488819421796777,0,0.05,2.048895575501913,True,0.0,0.0011773351650822264,20,0.9986666917663614,2.046163766161231,1.4487879553805165,1.037423123980333
8,3,3,d8_rank_r3_M32_unit_H_identity_csd.npz,cd6e7272c140,5cb384db9b,d2cb9f60c6,32,2000,0.6901484614038317,9.66930304494161,0,0.05,2.869324444020815,True,0.0,0.0010657924141854814,20,0.999999658242441,2.869323463407497,1.6566052401477909,1.0317341800258855
16,4,4,d16_rank_r4_M32_unit_H_identity_csd.npz,b43a02726ddd,5cb384db9b,d2cb9f60c6,32,2000,0.6050166104133538,6.520223167266564,0,0.05,4.059730282841356,True,0.0,0.0013676675268420259,20,1.0000000001878404,4.059730283603937,2.029865141420678,1.0324455595764983
32,6,6,d32_rank_r6_M32_unit_H_identity_csd.npz,597de1e1a802,5cb384db9b,d2cb9f60c6,32,2000,0.5576904957527145,7.734659165402979,0,0.05,5.743333990402572,True,0.0,0.0009561476254102686,20,1.0,5.743333990402572,2.344706283144847,1.0322144266148658
64,8,8,d64_rank_r8_M32_unit_H_identity_csd.npz,b54f6314f9df,5cb384db9b,d2cb9f60c6,32,2000,0.5175956973438586,8.759308441997927,0,0.05,8.136004827458876,True,0.0,0.0007994393965568779,20,1.0,8.136004827458876,2.876512092631329,1.0323396492534744
