pw_registered_allgrid,pw_registered_sig01,pw_at_crossover,pw_frac_total_allgrid,pw_frac_total_sig01,pw_argmax_sigma,pw_argmax_omega,zo_registered_allgrid,zo_registered_sig01,zo_at_crossover,zo_frac_total_allgrid,zo_frac_total_sig01,zo_argmax_sigma,zo_argmax_omega,crossover_cell_sigma,crossover_cell_omega,d,npz,sha256_12
706002.2433734841,64564.715515694385,0.5090937612858573,0.6381572032503161,0.20955029502512398,0.01,0.1,56819.21262459166,5074.385568237343,6.638972243874962,0.029668320042503107,0.02609396202763519,0.01,0.1,0.013501275609964631,99.68285458470345,1,d1_rank1_M32_unit_H_identity.npz,2b04efefc862
377414.7275511211,34366.39960537367,0.1649888019953105,0.3552060256522494,0.10903750107960514,0.01,0.1,35497.02518783169,3186.784682833879,14.70316946825665,0.022408081711932804,0.0222540611965085,0.01,0.1,0.01,134.58456933361077,2,d2_rank1_M32_unit_H_identity.npz,093ab758a4ca
381537.01766990696,34445.449898544255,0.06873513450968392,0.3149761345454777,0.070830292700664,0.01,0.1,19639.17863416315,1755.1330359583017,3.7908091084755564,0.015855984844923593,0.01388030229939939,0.01,0.1,0.01,181.70633634214732,4,d4_rank1_M32_unit_H_identity.npz,b2f0936fc8e2
276566.01072207605,24926.65808550672,0.3299595373076209,0.22080989779648474,0.057249804976412876,0.01,0.1,16616.912530632573,1485.9262582880308,0.8567132843432146,0.01244714061455749,0.01244714061455749,0.01,0.1,0.2717207669088465,9.028633898472895,6,d6_rank1_M32_unit_H_identity.npz,f4258099de79
298086.8271263024,26791.526160822163,0.09524434513781863,0.1929262327955519,0.050241067993648206,0.01,0.1,13888.974469695224,1239.98258335054,0.23285633883614495,0.01011587153351833,0.01011587153351833,0.01,0.1,1.2189807464475195,2.717207669088465,8,d8_rank1_M32_unit_H_identity.npz,c80048cf354c
427165.76744817564,37137.38465583802,0.008378835007536972,0.1511458411572739,0.027078925300558384,0.01,0.1,9274.041505470415,810.05690436966,0.16135595105750972,0.007784990899221711,0.007784990899221711,0.01,0.1,0.0817755775677422,54.68533292886767,16,d16_rank1_M32_unit_H_identity.npz,c0f98c0d76f7
360707.184214082,30554.627826198997,0.0017012505645992982,0.08879313942753514,0.012687464734989216,0.01,0.1,9150.922260208914,768.5365075842899,0.11485821691851672,0.006632153176580511,0.006632153176580511,0.01,0.1,0.024610725056510595,245.3267327032263,32,d32_rank1_M32_unit_H_identity.npz,0fa545bfd6dc
325480.3205732067,26572.81020630904,0.004965450731940106,0.05766218468976516,0.008344404096842487,0.01,0.1,5861.019845229914,482.9150106939993,0.09483502150608719,0.00435332405645519,0.004171376350655663,0.01,0.1,0.14906415615808105,54.68533292886767,64,d64_rank1_M32_unit_H_identity.npz,12844a11a942
