env,arm,tag,seed,rerun,canonical,rerun_git,canon_git,max_abs_this_seed,w3_rerun,w3_canon,w3_diff
G1JoystickFlatTerrain,pathwise,pathwise_fa_noent,301,G1JoystickFlatTerrain_pathwise_fa_noent_s301_final,G1JoystickFlatTerrain_pathwise_fa_noent_s301_final,964b251a7403d2517a38f1bd63b8918ea5a37df7,e9a937395a0eca048cc0b848afa38e72e61b0689,7.4460906982421875,17.062598546346027,17.836650212605793,0.7740516662597656
G1JoystickFlatTerrain,pathwise,pathwise_fa_noent,302,G1JoystickFlatTerrain_pathwise_fa_noent_s302_final,G1JoystickFlatTerrain_pathwise_fa_noent_s302_final,964b251a7403d2517a38f1bd63b8918ea5a37df7,e9a937395a0eca048cc0b848afa38e72e61b0689,7.005866050720215,19.549685796101887,17.36239751180013,2.187288284301758
G1JoystickFlatTerrain,pathwise,pathwise_fa_noent,303,G1JoystickFlatTerrain_pathwise_fa_noent_s303_final,G1JoystickFlatTerrain_pathwise_fa_noent_s303_final,964b251a7403d2517a38f1bd63b8918ea5a37df7,e9a937395a0eca048cc0b848afa38e72e61b0689,3.464259147644043,11.651704470316568,11.586172739664713,0.06553173065185547
G1JoystickFlatTerrain,pathwise,pathwise_fa_noent,304,G1JoystickFlatTerrain_pathwise_fa_noent_s304_final,G1JoystickFlatTerrain_pathwise_fa_noent_s304_final,964b251a7403d2517a38f1bd63b8918ea5a37df7,e9a937395a0eca048cc0b848afa38e72e61b0689,5.161226272583008,11.912358919779459,10.876993815104166,1.035365104675293
G1JoystickFlatTerrain,pathwise,pathwise_fa_noent,305,G1JoystickFlatTerrain_pathwise_fa_noent_s305_final,G1JoystickFlatTerrain_pathwise_fa_noent_s305_final,964b251a7403d2517a38f1bd63b8918ea5a37df7,e9a937395a0eca048cc0b848afa38e72e61b0689,6.095354080200195,18.419974009195965,18.385862986246746,0.03411102294921875
G1JoystickFlatTerrain,pathwise,pathwise_fa_noent,306,G1JoystickFlatTerrain_pathwise_fa_noent_s306_final,G1JoystickFlatTerrain_pathwise_fa_noent_s306_final,964b251a7403d2517a38f1bd63b8918ea5a37df7,e9a937395a0eca048cc0b848afa38e72e61b0689,5.410557270050049,9.263827006022135,10.714936892191568,1.4511098861694336
G1JoystickFlatTerrain,pathwise,pathwise_fa_noent,307,G1JoystickFlatTerrain_pathwise_fa_noent_s307_final,G1JoystickFlatTerrain_pathwise_fa_noent_s307_final,964b251a7403d2517a38f1bd63b8918ea5a37df7,e9a937395a0eca048cc0b848afa38e72e61b0689,7.687028408050537,13.560840606689453,7.122728665669759,6.438111941019694
G1JoystickFlatTerrain,pathwise,pathwise_fa_noent,308,G1JoystickFlatTerrain_pathwise_fa_noent_s308_final,G1JoystickFlatTerrain_pathwise_fa_noent_s308_final,964b251a7403d2517a38f1bd63b8918ea5a37df7,e9a937395a0eca048cc0b848afa38e72e61b0689,6.952606201171875,17.06494681040446,12.181405703226725,4.883541107177736
G1JoystickFlatTerrain,weighted_mle,weighted_mle,301,G1JoystickFlatTerrain_weighted_mle_s301_final,G1JoystickFlatTerrain_weighted_mle_s301_final,964b251a7403d2517a38f1bd63b8918ea5a37df7,,5.46317195892334,15.535224278767904,15.624343872070312,0.08911959330240826
G1JoystickFlatTerrain,weighted_mle,weighted_mle,302,G1JoystickFlatTerrain_weighted_mle_s302_final,G1JoystickFlatTerrain_weighted_mle_s302_final,964b251a7403d2517a38f1bd63b8918ea5a37df7,,12.049969673156738,23.744787216186523,17.408455848693848,6.336331367492676
