tag,env,mode,seed,d,B,epoch,minibatch,resid_full,R_theta_full,cos_full_centered_full,cos_uniform_centered_full,resid_meanhead,R_theta_meanhead,cos_full_centered_meanhead,cos_uniform_centered_meanhead,resid_scalehead,R_theta_scalehead,cos_full_centered_scalehead,cos_uniform_centered_scalehead,resid_trunk,R_theta_trunk,cos_full_centered_trunk,cos_uniform_centered_trunk,meanout_full,meanout_uniform,meanout_centered,kl_full,kl_uniform,kl_centered,R_meanout,R_kl,resid_meanout,cos_meanout_full_centered,kl_full_fd_check,task,arm,pad,condition
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,0,3.5784765960979956e-08,0.1547781357832563,0.9880232773415574,-0.07663045413009574,3.566081527146283e-08,0.11316912953728428,0.9937533830821261,-0.27504111162863953,3.4721445359782336e-08,0.8100893484479432,0.7932332459045085,0.06546689945062392,3.588076672079163e-08,0.18063377006154996,0.9842111524027064,0.023029444826164217,282.92574337991124,32.75330563855311,294.26961370470144,283.121526642012,32.77873996456346,294.43720272416124,0.11130373002569278,0.1113267605495885,4.78950890690945e-09,0.990786682646169,283.1118506034082,g1,A,0,g1
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,1,3.6495855873213526e-08,0.15033439739661844,0.9886487916199139,-0.116070065195553,3.762008485001692e-08,0.1109413340427597,0.9940584192614668,-0.2989943968119664,3.529687822675273e-08,0.5308080269244932,0.8959333053023943,0.11880539494523736,3.560614328381723e-08,0.17587037758728402,0.9847623873102934,-0.02516164309811,278.8031825042835,32.24257008810809,291.1076997786228,278.9999584559471,32.25868743045203,291.2847800539394,0.1107582180499771,0.11074621689632506,4.912024005385075e-09,0.9905390768729607,278.9935887182742,g1,A,0,g1
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,2,3.572689960510918e-08,0.156798969850547,0.9876972115938876,-0.08367021366094315,3.5751320959020526e-08,0.11181736889010029,0.9939380246783212,-0.2893799703091847,3.42055546366782e-08,0.6386432794552488,0.8703080717196281,0.17424385211244364,3.570983896209315e-08,0.18617074437364312,0.9832236074829946,0.01806010819068942,289.75653676689365,33.1694279343281,300.3481445623443,289.9364208266132,33.20694260523346,300.5150610464941,0.11043660010838818,0.11050009436996484,5.1284569991453675e-09,0.989936747618541,289.92734472453947,g1,A,0,g1
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,3,3.654060022391532e-08,0.14756086839400914,0.9890642372398082,-0.11577516611813429,3.738176961113496e-08,0.10996197810295355,0.9942496826389722,-0.3301620409091174,3.528684955378045e-08,0.49841391002540214,0.9078504655271471,0.13808241143927974,3.58772433862132e-08,0.1725540066757355,0.985412380330776,-0.005069873473621285,283.8928658037794,30.717073355691394,296.7659583984449,284.086182901188,30.733088669550618,296.9425496396734,0.10350605413593235,0.10349843330584906,4.922396395658095e-09,0.9913137114934646,284.07496849582674,g1,A,0,g1
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,4,3.6221602980290993e-08,0.1568843115007426,0.9876674057823936,-0.09342299657278155,3.70564195405347e-08,0.11765663343488829,0.9932012759794245,-0.25938981909065034,3.4220900907509426e-08,0.8135044929662287,0.8117315988531585,0.1457807143726287,3.5584774897882034e-08,0.1812036147022272,0.9839183181875666,-0.01048078003449692,278.29567072671927,32.49230343849688,290.11410729767783,278.48463303840697,32.512061143826784,290.2854938453254,0.11199835727104901,0.1120002956852893,4.697792279456712e-09,0.9900207954206781,278.47849585192176,g1,A,0,g1
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,5,3.569152260966526e-08,0.1581687783781331,0.98743740236664,-0.11371469162810338,3.548204458514495e-08,0.11394456887100153,0.9937220421480555,-0.29828397639080817,3.7726751628184774e-08,0.7549782644632146,0.8182002399276403,0.09248150035175111,3.5854453543688194e-08,0.18696632706371671,0.9828345849125878,-0.022579587465594988,282.2896201193541,33.31279326945961,293.89714270493624,282.4653266788917,33.342612227503444,294.0563335143088,0.11334847614665149,0.1133885192303837,4.6246829494896485e-09,0.9887444486169101,282.457027237122,g1,A,0,g1
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,6,3.537708192862092e-08,0.14767152414517307,0.9890496680651345,-0.11326141196662064,3.4835362065129035e-08,0.10724440859416914,0.9944725379341988,-0.3053193164583218,3.439087553106924e-08,0.5739293272420846,0.8904177906131691,0.18148145722377015,3.5797715163358244e-08,0.17390263680115303,0.9851240850160755,-0.018698509631010257,287.7681300292804,31.919607165215943,301.1970853509693,287.95499248024055,31.95154343221024,301.36825670864573,0.10597581689086259,0.10602159557600645,5.167357626045809e-09,0.9907460736069422,287.94693423593924,g1,A,0,g1
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,7,3.522196590066953e-08,0.15277786608104624,0.9882879118517701,-0.10485599614120004,3.451005706220945e-08,0.11182435140117754,0.99398341684198,-0.30757175702160067,3.481334861358621e-08,0.5744313186429801,0.8819992950877432,0.11774280080879547,3.577848711307327e-08,0.18002795436973507,0.9841742185860326,-0.000776079166548782,295.1236341803889,33.12135794323154,306.62232479634883,295.32229711288016,33.143851337551204,306.80217808882173,0.10802004702439666,0.10803003923901634,4.6786486536335056e-09,0.9901450907930408,295.3130612289191,g1,A,0,g1
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,1,0,3.558765028986643e-08,0.14782913713551823,0.9892210536871464,-0.00925990482703695,3.546516824777736e-08,0.09254284318953152,0.9957103545663833,-0.07299750710516056,3.587443894780005e-08,0.5206370361795327,0.8925802784069103,0.0557953830245513,3.56902497485697e-08,0.18252380057489562,0.9838584990358645,0.0183448557523936,299.5232227523531,22.753725419323736,298.88150726614987,299.72024925009305,22.784111574876903,299.05923412739395,0.07612958602708658,0.0761859490523914,4.986727154249532e-09,0.9917952567842004,299.71013402986125,g1,A,0,g1
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,1,1,3.6163026727048354e-08,0.15315764331676132,0.9886786898086726,0.051210137845583266,3.6054551023575356e-08,0.09151751771987256,0.9959241857845644,0.07985248484643126,3.5342391954023064e-08,0.6842512519699614,0.8383728797414459,0.0725231607969277,3.6255012204074927e-08,0.1899086104845884,0.9827521461845969,0.04352626252865975,298.2295638812965,23.774409951773464,293.9064052075388,298.4024943031838,23.819300449225167,294.0567599032175,0.0808910916214478,0.0810023903448596,5.60009307059159e-09,0.9909034155562219,298.39380197781315,g1,A,0,g1
