task,d,score,seeds,pw,wml,diffs,pw_iqm,wml_iqm,median_diff,mean_diff,ci_lo,ci_hi,n_pos,n,p_exact,detected
walker,6,PRIMARY final-window(3),301;302;303;304;305;306;307;308,909.7893;898.4741;907.8732;910.9802;908.4419;909.2847;912.1907;915.0308,784.5499;777.2048;798.9025;710.2243;762.5137;717.0112;887.0840;646.5341,125.2394;121.2693;108.9707;200.7559;145.9282;192.2735;25.1068;268.4966,909.6240081787109,760.3198699951172,135.58383178710938,148.5050506591797,108.970703125,200.755859375,8,8,0.0078125,1
g1,29,PRIMARY final-window(3),301;302;303;304;305;306;307;308,26.9824;29.5984;18.7862;11.9215;23.5889;11.1476;30.0075;29.6956,15.6243;17.4085;14.5282;9.1405;15.9176;9.3275;11.8350;14.4182,11.3581;12.1899;4.2580;2.7810;7.6712;1.8201;18.1725;15.2774,24.738964557647705,14.101443529129028,9.514667987823486,9.191020965576172,2.780956268310547,15.277386665344238,8,8,0.0078125,1
