run,task,env,d,arm,seed,n_points,F_run,overshoot_run,kl_q25,kl_med,kl_q75,kl_iqr,kl_q90,kl_q95,kl_max,kl_min,area_above,longest_above,first_cross,late_frac_above,frac_points_gate_proven,lag_first,lag_med,lag_last,lag_max,final_return,sigma_mean_last,sigma_max_last,entropy_last,abs_pred_action_last,value_loss_last,q_last,ess_last,eta_last,temp_last,est_all_zero,gradnorm_all_zero,iqm_all_zero,meta_alpha_kl,meta_action_pad
hopper_A_s101,hopper,HopperHop,4,A,101,21,0.5238095238095238,0.004660309851169583,0.09611430764198303,0.10101033002138138,0.10606662184000015,0.00995231419801712,0.11569193005561829,0.12342259287834167,0.1236724928021431,0.08462820202112198,0.09786650687456125,4,1,0.42857142857142855,0.5238095238095238,0.0019615991041064262,0.0019484225194901228,0.009232115000486374,0.010427583940327168,126.91902160644531,0.49573755264282227,4.64433479309082,-5.423090934753418,0.675128161907196,0.3453758656978607,11.612796783447266,0.0,0.0,0.00037288450403138995,True,True,True,0.009221709333360195,0
hopper_A_s102,hopper,HopperHop,4,A,102,21,0.5238095238095238,0.00390867186444146,0.09004870057106018,0.10003345459699631,0.10534186661243439,0.015293166041374207,0.11029168218374252,0.11130055785179138,0.13035757839679718,0.06775549054145813,0.08208210915327066,4,1,0.7142857142857143,0.5238095238095238,0.0022845857311040163,0.003026943653821945,0.0007746228948235512,0.02088451012969017,1.340828776359558,0.6550912857055664,2.9127936363220215,1.5582771301269531,0.48759740591049194,0.013282536529004574,0.8375234603881836,0.0,0.0,0.00037288450403138995,True,True,True,0.0007764124893583357,0
hopper_A_s103,hopper,HopperHop,4,A,103,21,0.47619047619047616,0.006848762432734169,0.09133032709360123,0.09983459115028381,0.11103606224060059,0.01970573514699936,0.1258087158203125,0.1285671889781952,0.13736477494239807,0.07815216481685638,0.14382401108741755,4,1,0.7142857142857143,0.47619047619047616,0.0024700844660401344,0.01426295842975378,0.009640509262681007,0.053266964852809906,639.6490478515625,0.3563413619995117,2.205103874206543,-12.567745208740234,0.8452985286712646,5.53411865234375,65.67002868652344,0.0,0.0,0.00037288450403138995,True,True,True,0.009629900567233562,0
hopper_A_s104,hopper,HopperHop,4,A,104,21,0.19047619047619047,0.0021663740277290335,0.07182345539331436,0.0811682790517807,0.09521494805812836,0.023391492664813995,0.10695049911737442,0.10792306065559387,0.12481680512428284,0.06048429757356644,0.0454938545823097,2,4,0.2857142857142857,0.19047619047619047,0.002885994501411915,0.008289920166134834,0.004234685096889734,0.01750493049621582,1.1000750064849854,0.2678564190864563,3.694309711456299,-3.294877529144287,0.47650831937789917,0.021444305777549744,1.3195509910583496,0.0,0.0,0.00037288450403138995,True,True,True,0.004263737704604864,0
hopper_A_s105,hopper,HopperHop,4,A,105,21,0.23809523809523808,0.0037333670826185305,0.08598656952381134,0.09376250207424164,0.09910725057125092,0.013120681047439575,0.10761439800262451,0.11387697607278824,0.1474950909614563,0.06476643681526184,0.07840070873498914,1,2,0.2857142857142857,0.23809523809523808,0.002235693857073784,0.008480644784867764,0.01954735442996025,0.01954735442996025,1.2786495685577393,0.34531140327453613,3.6771674156188965,-2.065408229827881,0.4024953842163086,0.18875816464424133,4.535556793212891,0.0,0.0,0.00037288450403138995,True,True,True,0.01973598636686802,0
hopper_A_s106,hopper,HopperHop,4,A,106,21,0.42857142857142855,0.0018759142075266133,0.09617142379283905,0.09906114637851715,0.10403668880462646,0.007865265011787415,0.105942502617836,0.10611291229724884,0.10805799812078476,0.08578793704509735,0.03939419835805888,8,4,0.7142857142857143,0.42857142857142855,0.002130607608705759,0.0009146392112597823,0.005272650625556707,0.009683803655207157,218.9886016845703,0.4709380567073822,1.5855498313903809,-5.081258773803711,0.6514233350753784,1.3044965267181396,22.605764389038086,0.0,0.0,0.00037288450403138995,True,True,True,0.005262445658445358,0
hopper_A_s107,hopper,HopperHop,4,A,107,21,0.3333333333333333,0.003580808781442186,0.08908452093601227,0.09156984090805054,0.10107804089784622,0.011993519961833954,0.10555775463581085,0.10731197148561478,0.15160438418388367,0.07631116360425949,0.07519698441028591,2,2,0.42857142857142855,0.3333333333333333,0.0019505632808431983,0.006172118242830038,0.005426111631095409,0.014731645584106445,107.36611938476562,0.30036062002182007,3.631402015686035,-5.455488204956055,0.5855090022087097,0.34372520446777344,12.13040542602539,0.0,0.0,0.00037288450403138995,True,True,True,0.005428521893918514,0
hopper_A_s108,hopper,HopperHop,4,A,108,21,0.38095238095238093,0.0016301553164209618,0.08656921237707138,0.09733554720878601,0.1008770614862442,0.014307849109172821,0.10409513115882874,0.11067157238721848,0.1143050342798233,0.06194905936717987,0.034233261644840196,5,3,0.42857142857142855,0.38095238095238093,0.002119054552167654,0.002071849536150694,0.0011916971998289227,0.011254759505391121,1.2595608234405518,0.4912213981151581,1.7494453191757202,0.2754218876361847,0.4631897211074829,0.01432253047823906,0.8031884431838989,0.0,0.0,0.00037288450403138995,True,True,True,0.0011936782393604517,0
hopper_B_s101,hopper,HopperHop,4,B,101,21,0.7142857142857143,0.01916919010026115,0.0991145670413971,0.10490349680185318,0.10754895210266113,0.008434385061264038,0.10900561511516571,0.15522681176662445,0.3807699978351593,0.024526024237275124,0.4025529921054841,5,1,0.7142857142857143,0.7142857142857143,0.0011662963079288602,0.4496265649795532,0.41553768515586853,0.5473731756210327,2.477243661880493,0.429601788520813,6.920040130615234,-1.0791268348693848,0.4555719494819641,0.0193740576505661,0.8327005505561829,19.42098045349121,0.0010462014470249414,0.00037288450403138995,True,True,True,0.41552257537841797,0
hopper_B_s102,hopper,HopperHop,4,B,102,21,0.5714285714285714,0.023708113034566245,0.09855367243289948,0.10221022367477417,0.10496053099632263,0.006406858563423157,0.12025759369134903,0.1758689284324646,0.46466612815856934,0.01797347143292427,0.49787037372589116,7,1,0.42857142857142855,0.5714285714285714,0.0010646021692082286,0.3697032928466797,0.6101517677307129,0.6513857245445251,0.6393567323684692,0.5284861326217651,11.067782402038574,-0.4048120975494385,0.4885977506637573,0.014261548407375813,0.7787935733795166,17.531280517578125,0.001232414273545146,0.00037288450403138995,True,True,True,0.6111050844192505,0
hopper_B_s103,hopper,HopperHop,4,B,103,21,0.6190476190476191,0.018974203297070096,0.09795288741588593,0.10197663307189941,0.10371322184801102,0.0057603344321250916,0.11857801675796509,0.13397155702114105,0.4111419916152954,0.021672537550330162,0.39845826923847205,5,1,0.5714285714285714,0.6190476190476191,0.0013707310426980257,0.2957408130168915,0.3995538353919983,0.3995538353919983,208.39944458007812,0.5189794301986694,8.942337036132812,-6.292971611022949,0.6641989350318909,1.7765467166900635,18.361488342285156,22.562271118164062,0.019274339079856873,0.00037288450403138995,True,True,True,0.4015600383281708,0
hopper_B_s104,hopper,HopperHop,4,B,104,21,0.3333333333333333,0.015220020285674506,0.0954696387052536,0.09837324917316437,0.10268590599298477,0.007216267287731171,0.1146392673254013,0.1494690179824829,0.33598965406417847,0.030326012521982193,0.3196204259991646,4,1,0.7142857142857143,0.3333333333333333,0.0013705503661185503,0.24352967739105225,0.24104341864585876,0.4815831184387207,110.01028442382812,0.4058700501918793,8.477073669433594,-4.920928001403809,0.5663332939147949,0.48117321729660034,11.792526245117188,22.908164978027344,0.006712878122925758,0.00037288450403138995,True,True,True,0.24157635867595673,0
hopper_B_s105,hopper,HopperHop,4,B,105,21,0.6666666666666666,0.02068999331621897,0.09225928038358688,0.10248474776744843,0.10492885112762451,0.012669570744037628,0.10759595036506653,0.15659122169017792,0.42932039499282837,0.023570861667394638,0.4344898596405984,10,1,1.0,0.6666666666666666,0.0011908160522580147,0.3067891001701355,0.49681004881858826,0.49681004881858826,165.3518524169922,0.5619462728500366,11.32723617553711,-7.214304447174072,0.6731137037277222,0.6038557291030884,15.639887809753418,21.458560943603516,0.0068815043196082115,0.00037288450403138995,True,True,True,0.49911603331565857,0
hopper_B_s106,hopper,HopperHop,4,B,106,21,0.5238095238095238,0.01714467228878112,0.09764605760574341,0.10025027394294739,0.10441924631595612,0.0067731887102127075,0.10740946233272552,0.14596150815486908,0.38227060437202454,0.029849324375391006,0.36003811806440356,3,1,0.42857142857142855,0.5238095238095238,0.001211747876368463,0.3549675941467285,0.37581783533096313,0.4338129162788391,227.1861572265625,0.4300767183303833,11.695636749267578,-8.828085899353027,0.7120583057403564,1.0852530002593994,23.080970764160156,22.339378356933594,0.009910373017191887,0.00037288450403138995,True,True,True,0.37546175718307495,0
hopper_B_s107,hopper,HopperHop,4,B,107,21,0.6666666666666666,0.014700343495323544,0.09712310135364532,0.10415103286504745,0.1111067458987236,0.013983644545078278,0.13060709834098816,0.1316821277141571,0.27106717228889465,0.027048662304878235,0.3087072134017944,8,1,0.7142857142857143,0.6666666666666666,0.001084478572010994,0.31378769874572754,0.35369330644607544,0.4881756007671356,0.966966986656189,0.36487042903900146,8.388769149780273,-3.0482988357543945,0.45169797539711,0.013932067900896072,0.7939528226852417,19.305587768554688,0.002867842558771372,0.00037288450403138995,True,True,True,0.3535274267196655,0
hopper_B_s108,hopper,HopperHop,4,B,108,21,0.6666666666666666,0.01882526768105371,0.0996074303984642,0.10170453786849976,0.10403531789779663,0.004427887499332428,0.1076081320643425,0.20571081340312958,0.35248225927352905,0.02581273764371872,0.3953306213021279,6,1,0.5714285714285714,0.6666666666666666,0.0009409135673195124,0.3690106272697449,0.5367841720581055,0.641984224319458,1.00851309299469,0.7180987596511841,5.688429355621338,-0.26127541065216064,0.5518409013748169,0.014990482479333878,0.785248875617981,17.76850128173828,0.001675711595453322,0.00037288450403138995,True,True,True,0.5368783473968506,0
walker_A_s101,walker,WalkerRun,6,A,101,21,0.7619047619047619,0.00461423936344328,0.1001943051815033,0.10335811972618103,0.1055789589881897,0.005384653806686401,0.10856200754642487,0.11702504754066467,0.11821790039539337,0.09446936845779419,0.09689902663230887,14,0,1.0,0.7619047619047619,0.11392077803611755,0.014744721353054047,0.009232558310031891,0.11392077803611755,911.6944580078125,0.5236004590988159,1.8656694889068604,-2.549626350402832,0.664669930934906,7.108621597290039,88.59866333007812,0.0,0.0,0.014509915374219418,True,True,True,0.009246044792234898,0
