cell,seed,score_window3,full_median,full_mean,full_p95,full_max,full_sat95,full_sat99,pw_half_median,pw_half_mean,pw_half_p95,pw_half_max,pw_half_sat95,pw_half_sat99,wml_half_median,wml_half_mean,wml_half_p95,wml_half_max,wml_half_sat95,wml_half_sat99,alpha_kl,alpha_ent,ess_final,gate,kl,pi_sigma_mean,eta,ess,entropy,temp
PW_ent,301,35.33952204386393,0.5788475275039673,1.2207449674606323,4.172070503234863,253.93319702148438,0.3862119868234701,0.23098182177476642,0.4931725263595581,1.0705692768096924,3.4517881870269775,253.93319702148438,0.36713163119233627,0.21975868595126757,0.6587381362915039,1.3709205389022827,4.972945690155029,122.86046600341797,0.4052923420609158,0.2422049568972139,0.012722717598080635,0.000782382907345891,0.0,0.5081558227539062,0.1126469299197197,0.23428019881248474,0.0,0.0,-18.339956283569336,0.000782382907345891
PW_ent,302,29.28828303019206,0.7422914505004883,2.0805504322052,8.173243522644043,279.6615905761719,0.401825929640508,0.2669728192309175,0.8062238097190857,2.599785804748535,11.271967887878418,121.98490142822266,0.39880836768539013,0.27418500626123543,0.6964404582977295,1.5613149404525757,5.0733842849731445,279.6615905761719,0.40484349224870825,0.25976063309797354,0.013722516596317291,0.000782382907345891,0.0,0.5170059204101562,0.11026530712842941,0.28283780813217163,0.0,0.0,-14.880053520202637,0.000782382907345891
PW_ent,303,16.023771286010742,0.6210115551948547,0.7941133379936218,1.9260993003845215,18.394155502319336,0.28492883496358307,0.15420724537181763,0.5803092122077942,0.697921097278595,1.60903000831604,18.39415168762207,0.23323587207854754,0.11431291531043386,0.671184778213501,0.8903055191040039,2.2249715328216553,18.280357360839844,0.336621798290249,0.1941015750326096,0.009362008422613144,0.000782382907345891,0.0,0.5030746459960938,0.11103430390357971,0.38469094038009644,0.0,0.0,-6.716867446899414,0.000782382907345891
PW_ent,304,30.045651117960613,0.4187169075012207,0.6617221236228943,1.911229133605957,18.460411071777344,0.2713844057877337,0.13669359793860916,0.3684811592102051,0.5370602607727051,1.4263203144073486,11.040456771850586,0.27041298357802085,0.13669661773610772,0.4778069853782654,0.7863839268684387,2.361619234085083,18.460407257080078,0.2723558263686921,0.13669057709273,0.011865908280014992,0.000782382907345891,0.0,0.5301589965820312,0.10798723995685577,0.30177041888237,0.0,0.0,-9.757444381713867,0.000782382907345891
PW_ent,305,35.03560892740885,0.43827956914901733,0.593501627445221,1.487297773361206,32.361961364746094,0.2760973920424734,0.12815656584348634,0.40671396255493164,0.5088275671005249,1.2105649709701538,7.470619201660156,0.2561426336867345,0.1136863511847556,0.4736790359020233,0.678175687789917,1.7488864660263062,32.36199188232422,0.29605215005264995,0.14262678120274724,0.019844627007842064,0.000782382907345891,0.0,0.5135498046875,0.11006069928407669,0.23578935861587524,0.0,0.0,-15.932868957519531,0.000782382907345891
PW_ent,306,33.793471018473305,0.6511527895927429,0.9953789710998535,2.8122687339782715,44.29207992553711,0.3542592038545276,0.21042339268697222,0.5908081531524658,0.8996429443359375,2.469740867614746,44.29209899902344,0.34612678960362825,0.2021734993404192,0.723258376121521,1.0911149978637695,3.0856642723083496,38.243812561035156,0.36239162145748144,0.21867328725998317,0.01637936569750309,0.000782382907345891,0.0,0.5334854125976562,0.10864578932523727,0.27347618341445923,0.0,0.0,-15.937803268432617,0.000782382907345891
PW_ent,307,28.919769287109375,0.6980524063110352,2.521113395690918,4.216975212097168,6399.6611328125,0.33086567704363173,0.19660018172429852,0.7489029169082642,3.7760696411132812,5.106188774108887,6399.64892578125,0.342444884225781,0.2142180633039098,0.6570925712585449,1.2661572694778442,3.1813173294067383,147.1854248046875,0.31928646885034484,0.17898230071905122,0.009271492250263691,0.000782382907345891,0.0,0.517181396484375,0.10996343940496445,0.26909106969833374,0.0,0.0,-14.836655616760254,0.000782382907345891
PW_ent,308,32.522020975748696,0.4814208447933197,0.7700405120849609,2.1868441104888916,58.5872917175293,0.2406759565234026,0.112219425046869,0.4992576241493225,0.8680296540260315,2.5534162521362305,58.58726119995117,0.24529678593215687,0.11608251720857472,0.46567046642303467,0.6720513701438904,1.8611177206039429,19.7535400390625,0.23605512558956518,0.1083563319876157,0.014295229688286781,0.000782382907345891,0.0,0.50762939453125,0.11102522164583206,0.22125935554504395,0.0,0.0,-17.139036178588867,0.000782382907345891
PW_noent,301,32.02602577209473,1.5402723550796509,2.55884051322937,7.200591087341309,435.3020935058594,0.5829872800977607,0.44335571740301133,1.5136457681655884,2.6744203567504883,7.757444381713867,435.3018493652344,0.5818840902616332,0.4433314759465654,1.5686253309249878,2.443260908126831,6.8666839599609375,198.6420440673828,0.5840904685348015,0.4433799568370076,0.005446573719382286,0.000782382907345891,0.0,0.5381240844726562,0.1050645262002945,0.26221174001693726,0.0,0.0,-36.043460845947266,0.000782382907345891
PW_noent,302,26.097937901814777,1.0485820770263672,2.0343902111053467,6.076722145080566,357.80352783203125,0.6657379790630189,0.5248297458934383,1.0371818542480469,2.2832553386688232,6.623466968536377,357.80352783203125,0.6836354130200606,0.5509540848823191,1.0605391263961792,1.7855249643325806,5.555171489715576,174.0673828125,0.6478405447159403,0.49870540666189944,0.007797349244356155,0.000782382907345891,0.0,0.50665283203125,0.11313389986753464,0.21400997042655945,0.0,0.0,-27.58291244506836,0.000782382907345891
PW_noent,303,27.087433497111004,1.9203009605407715,13.39816951751709,32.48058319091797,3017.643798828125,0.7144665464332824,0.5856800381205222,1.653944969177246,15.499259948730469,30.037019729614258,3017.64697265625,0.6890033149857816,0.5533376061671428,2.2696003913879395,11.297078132629395,34.26350784301758,2359.260986328125,0.739929777463782,0.6180224690702508,0.014706513844430447,0.000782382907345891,0.0,0.5391464233398438,0.10343652218580246,0.3254096508026123,0.0,0.0,-75.46469116210938,0.000782382907345891
PW_noent,304,14.886525472005209,0.9203006625175476,2.0303146839141846,6.7508063316345215,155.9119415283203,0.6627890099503164,0.5202099440782649,0.8475375771522522,1.8698002099990845,6.585525035858154,151.2786407470703,0.6769102456198514,0.5417910105824807,1.018686294555664,2.1908295154571533,6.988002300262451,155.91224670410156,0.6486677727003939,0.4986288757494896,0.007322853431105614,0.000782382907345891,0.0,0.5073928833007812,0.11292141675949097,0.22948487102985382,0.0,0.0,-26.22467803955078,0.000782382907345891
PW_noent,305,27.05036735534668,0.7969695925712585,1.2458559274673462,3.684934377670288,45.364295959472656,0.4972295323220785,0.3366603226773001,0.8344390988349915,1.2808884382247925,3.8923211097717285,45.364295959472656,0.5160609186291475,0.35799100958669433,0.7588454484939575,1.2108235359191895,3.4998881816864014,43.8896598815918,0.47839814939163644,0.3153296374783124,0.01260307990014553,0.000782382907345891,0.0,0.4937744140625,0.11324555426836014,0.17581480741500854,0.0,0.0,-30.69523811340332,0.000782382907345891
PW_noent,306,17.82397969563802,0.9806680679321289,6.536518096923828,4.461754322052002,9202.171875,0.5431907704349214,0.3881620547887053,0.9300236105918884,1.2806528806686401,3.37654185295105,28.77691078186035,0.5497485313514462,0.3915462184974716,1.0404834747314453,11.792384147644043,5.762186050415039,9202.1796875,0.5366330095338299,0.3847778898548253,0.00788398552685976,0.000782382907345891,0.0,0.5310287475585938,0.10544143617153168,0.2327616661787033,0.0,0.0,-25.102046966552734,0.000782382907345891
PW_noent,307,17.43998908996582,1.1587550640106201,20.549375534057617,9.74638557434082,639493.25,0.5793785920906357,0.4356601960863123,1.0951404571533203,2.9652814865112305,9.566246032714844,6004.45458984375,0.5641838684079393,0.42181682998992615,1.2524793148040771,38.13352584838867,9.951574325561523,639494.4375,0.5945733140614564,0.4495035605411055,0.01018627267330885,0.000782382907345891,0.0,0.526092529296875,0.11089955270290375,58.419761657714844,0.0,0.0,-33.100521087646484,0.000782382907345891
PW_noent,308,15.196117083231607,0.7125444412231445,0.9687884449958801,2.535005569458008,26.868026733398438,0.5794848011467396,0.41924264189300614,0.7314850091934204,0.9791167378425598,2.538808584213257,26.868026733398438,0.5866770187621569,0.4233153940671783,0.6881122589111328,0.9584603309631348,2.5341362953186035,14.77106761932373,0.5722925838132217,0.4151698896642781,0.00818580575287342,0.000782382907345891,0.0,0.504119873046875,0.11422800272703171,0.26659446954727173,0.0,0.0,-25.982254028320312,0.000782382907345891
WML_ent,301,32.99381637573242,8.081050872802734,20.03068733215332,73.5521011352539,1446.1793212890625,0.8256213132176282,0.7561620746352454,7.941559791564941,20.43448257446289,79.07402038574219,719.8336791992188,0.8339951966893668,0.7687229104618147,8.193737030029297,19.626893997192383,68.38322448730469,1446.1788330078125,0.8172474304550738,0.7436012394456365,0.284190833568573,0.000782382907345891,20.71578598022461,0.4955596923828125,0.11115261912345886,0.4610731303691864,0.005836444441229105,20.71578598022461,-43.461021423339844,0.000782382907345891
WML_ent,302,15.555659612019857,1.5956958532333374,14.018852233886719,19.330480575561523,20426.5390625,0.46016120007330086,0.3404948370350425,1.5690348148345947,14.220995903015137,21.586416244506836,16575.33203125,0.4645175780368444,0.34321513703463163,1.6279213428497314,13.816706657409668,17.926612854003906,20426.5,0.45580482322627575,0.3377745375624996,0.440632700920105,0.000782382907345891,18.39570426940918,0.5029525756835938,0.1079544872045517,0.3082830309867859,0.005056880414485931,18.39570426940918,-23.222501754760742,0.000782382907345891
