task,cell,seed,n_onpolicy,sigma_onpolicy_mean,sigma_onpolicy_median,sigma_neutral_mean,sigma_neutral_median,ratio_neutral_over_onpolicy_median
walker,PW_ent,301,192,0.5204277270434735,0.4764716178178787,0.5196192119256011,0.4836190342903137,1.0150007182068228
walker,PW_ent,302,192,0.5126125573103005,0.48130492866039276,0.47523137786993175,0.4483790695667267,0.9315904385494077
walker,PW_ent,303,192,0.5251943867381973,0.48298488557338715,0.5166343183356932,0.46782608330249786,0.9686143340636982
walker,PW_ent,304,192,0.5028726482349966,0.4671853184700012,0.47236202985328013,0.44716253876686096,0.9571416760939461
walker,PW_ent,305,192,0.5176448153732862,0.47584256529808044,0.5385829431122855,0.4623153805732727,0.9715721423191009
walker,PW_ent,306,192,0.5232144080542235,0.480896532535553,0.47713631664737477,0.4515126645565033,0.9388977337305352
walker,PW_ent,307,192,0.5188487444603298,0.4801487624645233,0.4655632637271386,0.4357791692018509,0.9075919866273721
walker,PW_ent,308,192,0.4762810761587591,0.44597227871418,0.5164729011897483,0.4422030746936798,0.9915483445935979
walker,PW_noent,301,192,0.33129691106862286,0.17169886827468872,0.7529233212379849,0.3448852002620697,2.00866321209708
walker,PW_noent,302,192,0.28957909853973735,0.20019274950027466,0.4794270430259833,0.2906540781259537,1.451871153433331
walker,PW_noent,303,192,0.2917964675838852,0.15757210552692413,0.6208210922381517,0.33952461183071136,2.154725360147563
walker,PW_noent,304,192,0.23935444889745364,0.14247924834489822,0.6497971192018466,0.28836753964424133,2.0239265927778667
walker,PW_noent,305,192,0.344727968913503,0.17903079092502594,0.8230997383753775,0.33552229404449463,1.8741038472259435
walker,PW_noent,306,192,0.2921342814095422,0.1583426669239998,0.7617848140730025,0.43323682248592377,2.7360712744207207
walker,PW_noent,307,192,0.28406645956500953,0.16901712119579315,0.6185115513245465,0.2904859632253647,1.7186777361381003
walker,PW_noent,308,192,0.204253306470087,0.1473582535982132,0.9037032478889968,0.39401645958423615,2.673867597932864
walker,WML_ent,301,192,0.46724116559036905,0.28441689908504486,11.212628377426476,3.0868414640426636,10.853228039448009
walker,WML_ent,302,192,0.48693844007923165,0.22779233753681183,6.425391609554936,2.684492826461792,11.784824965975737
walker,WML_ent,303,192,0.47412445422054994,0.2305338829755783,3.904746915354028,1.5227611064910889,6.6053678827437405
walker,WML_ent,304,192,0.5477980298714505,0.2714574933052063,3.4248620811910464,1.5501574873924255,5.710498054476417
walker,WML_ent,305,192,0.48334018534903106,0.22037938237190247,3.148749977847021,1.297943115234375,5.889585047679387
walker,WML_ent,306,192,0.5385369717130541,0.26698078215122223,3.2931417679113415,2.288365960121155,8.571275961072686
walker,WML_ent,307,192,0.42278525305058184,0.21018201112747192,4.946304146786941,2.237923264503479,10.647549010015968
walker,WML_ent,308,192,0.5184049928729009,0.21815140545368195,3.585180365641362,1.7925219535827637,8.216870983961426
walker,WML_noent,301,192,2.5379327736122326,0.23551586270332336,47.49025161580721,5.872008800506592,24.932540564808978
walker,WML_noent,302,192,2.3112144896230244,0.2086728811264038,439.90643470287006,9.707865238189697,46.52193033319528
walker,WML_noent,303,192,4.620576442717316,0.24842335283756256,1229.5477182919685,5.947534561157227,23.941125072271937
walker,WML_noent,304,192,0.5683069486985914,0.284403458237648,8265.975642785372,8.671695232391357,30.490822038968577
walker,WML_noent,305,192,4.638910848142889,0.22595258057117462,196.80948136206845,10.948235988616943,48.45368864981062
walker,WML_noent,306,192,5.461748455955078,0.21050620079040527,43.96914334243411,4.450918197631836,21.143881657260454
walker,WML_noent,307,192,2.3869854662399224,0.1537962257862091,51.65569356462301,3.825627565383911,24.87465180518724
walker,WML_noent,308,192,0.5931735424286065,0.14324529469013214,1079.3248633793087,20.0715389251709,140.12005747616075
g1,PW_ent,301,192,0.3177770154146563,0.2693825364112854,0.3410916488949509,0.28538934886455536,1.0594203791623344
g1,PW_ent,302,192,0.3054543798468236,0.26436544954776764,0.3416075854511709,0.2985837757587433,1.129435696947202
g1,PW_ent,303,192,0.30746737351352027,0.269655242562294,0.3293213410521777,0.2769959568977356,1.0272225908374313
g1,PW_ent,304,192,0.36049802459498076,0.3376360982656479,0.39712569446845886,0.34153638780117035,1.0115517551457243
g1,PW_ent,305,192,0.3160310811323017,0.2798282355070114,0.34169468658858504,0.29371069371700287,1.0496106412737023
g1,PW_ent,306,192,0.3678499286373456,0.3483413755893707,0.41240140476326614,0.36133159697055817,1.0372916405902366
g1,PW_ent,307,192,0.2991430999339162,0.26166291534900665,0.3313755985881649,0.28385843336582184,1.08482485180298
g1,PW_ent,308,192,0.29193451783978436,0.2561775743961334,0.31182786637518073,0.2604310065507889,1.0166034523696375
g1,PW_noent,301,192,0.2136948946689459,0.14862605184316635,0.35988336990143494,0.23222500085830688,1.562478434826191
g1,PW_noent,302,192,0.22435067744989848,0.15868566185235977,0.34772364310319764,0.2167360782623291,1.365820173872918
g1,PW_noent,303,192,0.2565973579479467,0.1746070459485054,0.41217736289600626,0.28312765061855316,1.62151331912489
g1,PW_noent,304,192,0.28193307390313427,0.2300267070531845,0.4443106679447382,0.34786267578601837,1.5122708151692534
g1,PW_noent,305,192,0.2307020069177573,0.15668684244155884,0.33888806815756933,0.235883429646492,1.5054450391038543
g1,PW_noent,306,192,0.2813958065469225,0.23141567409038544,0.3684804949859437,0.2778466194868088,1.2006387232797746
g1,PW_noent,307,192,0.25864341149465236,0.19963011890649796,0.4636554784388529,0.3646196126937866,1.8264759580921046
g1,PW_noent,308,192,0.23818700430625728,0.19410431385040283,0.32406341523039434,0.24907109141349792,1.2831816381240155
g1,WML_ent,301,192,0.2618082342749654,0.15301167964935303,0.9290608494516112,0.4878615140914917,3.1883939527328398
g1,WML_ent,302,192,0.23762638785812104,0.13881003856658936,0.8127175392991135,0.38467034697532654,2.7711997701866076
g1,WML_ent,303,192,0.3745685576651267,0.20177967846393585,1.3515328986526918,0.8303727209568024,4.115244544337081
g1,WML_ent,304,192,0.46005087841607245,0.25390948355197906,1.0953072401893662,0.6652848124504089,2.6201652775770197
g1,WML_ent,305,192,0.3316900400303026,0.1821499466896057,1.0599120222923584,0.5867252051830292,3.221111045301834
g1,WML_ent,306,192,0.4611601259160637,0.2787863165140152,1.580176266486323,1.0548117756843567,3.7835851804847422
g1,WML_ent,307,192,0.3623530640435437,0.19697874039411545,0.9812543515051413,0.5607207119464874,2.8466052266584523
g1,WML_ent,308,192,0.3861096986681865,0.19395547360181808,1.0206943775384838,0.5396138429641724,2.7821532073488964
g1,WML_noent,301,192,0.3526516267614996,0.1670040637254715,1.028217855197041,0.4798552989959717,2.873315105581973
g1,WML_noent,302,192,0.37546801025545673,0.17275487631559372,0.9812556747388096,0.43121567368507385,2.496112890598331
g1,WML_noent,303,192,0.3435672414836998,0.17289964854717255,0.9518082431074628,0.5865738093852997,3.3925679682643404
g1,WML_noent,304,192,0.3356747515124922,0.20989330112934113,1.2509083723683336,0.6987195014953613,3.32892711551949
g1,WML_noent,305,192,0.4262085946961895,0.17640236765146255,0.8406437795900107,0.3866976946592331,2.1921343789629515
g1,WML_noent,306,192,0.4711027483592324,0.24655133485794067,1.7083244795441672,1.0313109159469604,4.182945983809769
g1,WML_noent,307,192,0.4431016938720733,0.1846165806055069,0.9424883386825382,0.513884425163269,2.7835226038627026
g1,WML_noent,308,192,0.30706000825973634,0.17547953128814697,1.0027630048561955,0.4687154144048691,2.6710546293585247
leap,PW_ent,301,192,0.2222555335368573,0.19562243670225143,1.2207449479835002,0.5788475573062897,2.9590039213514596
leap,PW_ent,302,192,0.29538776551150175,0.2434615045785904,2.080550299872963,0.7422914505004883,3.0489068560770085
