d,c_meas,c_closed_exact_agg,rel,se,dev_over_se
1,1.2013877434506741,1.1873680600369452,0.011807361074958278,0.0023695671587857,5.916558795030491
2,1.5182050010586579,1.5159264153786334,0.001503097813263743,0.0017808400086776854,1.2795004991584746
4,2.049549228059748,2.0464931368356587,0.0014933307955355968,0.0017569323542113156,1.7394472910489454
8,2.8745920267492266,2.8740397710058194,0.00019215313197062933,0.0023811866649986746,0.23192459101375557
16,4.060321552218873,4.064004194374302,0.0009061610124632136,0.003609661988886177,1.0202180056657153
32,5.7465318451181275,5.7473696648568104,0.00014577446510977143,0.004877964293360902,0.1717560212204126
64,8.13061103779699,8.128008128012192,0.00032023956470061954,0.007388553333109596,0.35228950343147614
