checkpoint,env,mode,seed,action_dim,action_pad,actor_out_dim,critic_action_dim,M,eps_e,min_std,with_eta,alpha_entropy,alpha_kl,eta_final,ess_final,final_return,obs_dim,critic_obs_dim,max_episode_steps,path
HopperHop_pathwise_fa_s103_final,HopperHop,pathwise,103,4,0,4,4,32,0.5,0.1,False,0.00037288450403138995,0.009629900567233562,0.0,0.0,639.6490478515625,15,15,1000,exports/HopperHop_pathwise_fa_s103_final
HopperHop_pathwise_fa_s104_final,HopperHop,pathwise,104,4,0,4,4,32,0.5,0.1,False,0.00037288450403138995,0.004263737704604864,0.0,0.0,1.1000750064849854,15,15,1000,exports/HopperHop_pathwise_fa_s104_final
HopperHop_pathwise_fa_s105_final,HopperHop,pathwise,105,4,0,4,4,32,0.5,0.1,False,0.00037288450403138995,0.01973598636686802,0.0,0.0,1.2786495685577393,15,15,1000,exports/HopperHop_pathwise_fa_s105_final
HopperHop_pathwise_fa_s106_final,HopperHop,pathwise,106,4,0,4,4,32,0.5,0.1,False,0.00037288450403138995,0.005262445658445358,0.0,0.0,218.9886016845703,15,15,1000,exports/HopperHop_pathwise_fa_s106_final
HopperHop_pathwise_fa_s107_final,HopperHop,pathwise,107,4,0,4,4,32,0.5,0.1,False,0.00037288450403138995,0.005428521893918514,0.0,0.0,107.36611938476562,15,15,1000,exports/HopperHop_pathwise_fa_s107_final
HopperHop_pathwise_fa_s108_final,HopperHop,pathwise,108,4,0,4,4,32,0.5,0.1,False,0.00037288450403138995,0.0011936782393604517,0.0,0.0,1.2595608234405518,15,15,1000,exports/HopperHop_pathwise_fa_s108_final
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,0,4,4,32,0.5,0.1,True,0.00037288450403138995,0.41552257537841797,0.0010462014470249414,19.42098045349121,2.477243661880493,15,15,1000,exports/HopperHop_weighted_mle_s101_final
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,0,4,4,32,0.5,0.1,True,0.00037288450403138995,0.6111050844192505,0.001232414273545146,17.531280517578125,0.6393567323684692,15,15,1000,exports/HopperHop_weighted_mle_s102_final
HopperHop_weighted_mle_s103_final,HopperHop,weighted_mle,103,4,0,4,4,32,0.5,0.1,True,0.00037288450403138995,0.4015600383281708,0.019274339079856873,22.562271118164062,208.39944458007812,15,15,1000,exports/HopperHop_weighted_mle_s103_final
HopperHop_weighted_mle_s104_final,HopperHop,weighted_mle,104,4,0,4,4,32,0.5,0.1,True,0.00037288450403138995,0.24157635867595673,0.006712878122925758,22.908164978027344,110.01028442382812,15,15,1000,exports/HopperHop_weighted_mle_s104_final
HopperHop_weighted_mle_s105_final,HopperHop,weighted_mle,105,4,0,4,4,32,0.5,0.1,True,0.00037288450403138995,0.49911603331565857,0.0068815043196082115,21.458560943603516,165.3518524169922,15,15,1000,exports/HopperHop_weighted_mle_s105_final
