task,d,arm,n,F_run_med,F_run_min,F_run_max,overshoot_med,kl_med_med,kl_iqr_med,kl_q75_med,kl_max_max,longest_above_med,late_frac_med,lag_med_med,lag_max_max,ret_med,sigma_med
hopper,4,A,8,0.40476190476190477,0.19047619047619047,0.5238095238095238,0.003657087932030358,0.09819834679365158,0.013714265078306198,0.10255736485123634,0.15160438418388367,4.0,0.42857142857142855,0.004599530948325992,0.053266964852809906,54.35347408056259,0.41363970935344696
hopper,4,B,8,0.6428571428571428,0.3333333333333333,0.7142857142857143,0.018899735489061903,0.10209342837333679,0.006994727998971939,0.10467404872179031,0.46466612815856934,5.5,0.6428571428571428,0.334377646446228,0.6513857245445251,56.24376404285431,0.47452807426452637
walker,6,A,8,0.8809523809523809,0.7619047619047619,1.0,0.006325484386512206,0.105808787047863,0.006174914538860321,0.10865442082285881,0.1355677992105484,12.5,1.0,0.016162804327905178,0.14318051934242249,908.4501037597656,0.5281327068805695
walker,6,B,8,0.9523809523809523,0.8095238095238095,1.0,0.006161608937240777,0.10427544265985489,0.0029562152922153473,0.1056276224553585,0.17212262749671936,17.5,1.0,0.5634503960609436,0.793012261390686,899.2832946777344,0.37365876138210297
leap,16,A,8,1.0,0.9523809523809523,1.0,0.008893556041376927,0.10952119529247284,0.003033634275197983,0.11067447811365128,0.11697692424058914,21.0,1.0,0.011819626204669476,0.026476897299289703,28.15959072113037,0.3056633919477463
leap,16,B,8,1.0,0.9523809523809523,1.0,0.01576912623076212,0.1080607995390892,0.002484932541847229,0.10915130749344826,0.3413775861263275,21.0,1.0,0.5084618926048279,0.6526498198509216,29.364120483398438,0.2411634400486946
g1,29,A,8,0.5476190476190477,0.3333333333333333,0.6190476190476191,0.0020684359683876916,0.10033946484327316,0.004466071724891663,0.10285408422350883,0.13882195949554443,3.0,0.42857142857142855,0.004513598280027509,0.013226183131337166,29.555389404296875,0.3004688620567322
g1,29,B,8,0.8333333333333333,0.7142857142857143,0.8571428571428571,0.026025265277851196,0.10451281070709229,0.03076719492673874,0.132594995200634,0.29261982440948486,12.0,0.8571428571428571,0.5042054653167725,0.7610867023468018,17.18944787979126,0.25381961464881897
