d,npz,sha256_12,n_states,N,c_star_state_avg,c_star_per_state_median,c_star_per_state_mean,frac_states_no_bracket,c_star_closed_form,c_star_boot_se,abs_dev_over_se,c_closed_exact_agg,abs_dev_over_se_exact_agg,collapse_sd_log,cols_bracketed,c_star_E1b,ratio_E1b_E1a
1,d1_rank1_M32_unit_H_identity.npz,2b04efefc862,64,10000,1.2013877434506741,1.2014925281258193,1.202725593256226,0.0,1.209798716827642,0.0023695671587857,3.5495821866801207,1.1873680600369452,5.916558795030491,0.007755534155600639,20,43.375094171956974,36.104159051409404
2,d2_rank1_M32_unit_H_identity.npz,093ab758a4ca,64,10000,1.5182050010586579,1.5192994681830028,1.5185101746609195,0.0,1.4896864021483767,0.0017808400086776854,16.014127474290575,1.5159264153786334,1.2795004991584746,0.0015079011773578557,20,52.130079029492386,34.33665347771982
4,d4_rank1_M32_unit_H_identity.npz,b2f0936fc8e2,64,10000,2.049549228059748,2.048259955162025,2.049573037686948,0.0,2.0413617054549196,0.0017569323542113156,4.660123985538198,2.0464931368356587,1.7394472910489454,0.0009358411083006767,20,66.16928556975333,32.28479934214314
6,d6_rank1_M32_unit_H_identity.npz,f4258099de79,64,10000,2.4924431974989307,2.4915299330089127,2.492488738982791,0.0,2.4902701464016284,0.0026691579380305327,0.814133576114188,2.491141950556857,0.48751215637461087,0.0006765573954024241,20,77.87473773431122,31.244338010372907
8,d8_rank1_M32_unit_H_identity.npz,c80048cf354c,64,10000,2.8745920267492266,2.8755180806837357,2.8746994139100828,0.0,2.874064470591189,0.0023811866649986746,0.22155178583535504,2.8740397710058194,0.23192459101375557,0.0004764370288372542,20,87.94812718637773,30.594994478515662
16,d16_rank1_M32_unit_H_identity.npz,c0f98c0d76f7,64,10000,4.060321552218873,4.060472202817726,4.060456831305783,0.0,4.064004209495648,0.003609661988886177,1.0202221947964427,4.064004194374302,1.0202180056657153,0.0005033032516433194,20,120.40219854945816,29.65336538030125
32,d32_rank1_M32_unit_H_identity.npz,0fa545bfd6dc,64,10000,5.7465318451181275,5.743690776250871,5.746764729621593,0.0,5.747369664856814,0.004877964293360902,0.17175602122114092,5.7473696648568104,0.1717560212204126,0.0005176416056235927,20,166.72522307481742,29.013190489226318
64,d64_rank1_M32_unit_H_identity.npz,12844a11a942,64,10000,8.13061103779699,8.133861195233134,8.130685078099944,0.0,8.128008128012192,0.007388553333109596,0.35228950343147614,8.128008128012192,0.35228950343147614,0.0007872496603406441,20,233.059823509503,28.664490580851982
