rung,p_nominal,p_omega_inf,ci_lo,ci_hi,in_confirm_band,ci_excludes_0_and_1,in_linear_band,c_star_monotone_in_d
r = 1,0.4875822072314451,0.4875822072314451,0.48692725770039263,0.4882540932322487,True,True,False,True
r = 2,0.4870212991519163,0.4870212991519163,0.4854232331243319,0.48867422182426423,True,True,False,True
r = ceil(sqrt d),0.48731050067789733,0.27059728637157854,0.2692715766716475,0.271910995038374,False,True,False,True
r = d,0.487143381021157,-0.012856618978842993,-0.013900085441429788,-0.01182433832502322,False,False,False,True
