task,seed,law,law_arm,critic,operator,D,D_se_states,raw_norm_median,n_zero_norm,saturation,M,R,S_eval,u_sha256
walker,302,B,WML,PW,PW-1,0.6060536503791809,0.024160396307706833,0.04154510051012039,541,0.5512621998786926,1,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,B,WML,PW,ZO-32,0.5891323089599609,0.026422828435897827,0.09187518060207367,0,0.5512621998786926,32,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,B,WML,PW,WML-32,0.37996500730514526,0.006010039243847132,0.9244009256362915,0,0.5512621998786926,32,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,B,WML,WML,PW-32,0.17597734928131104,0.019024033099412918,0.11400273442268372,0,0.5512621998786926,32,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,B,WML,WML,PW-1,0.6995558738708496,0.01969989947974682,0.08800177276134491,541,0.5512621998786926,1,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,B,WML,WML,ZO-32,0.6383574604988098,0.025165816769003868,0.2244873046875,0,0.5512621998786926,32,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,B,WML,WML,WML-32,0.4084932208061218,0.008029493503272533,0.8824926018714905,0,0.5512621998786926,32,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,303,A,PW,PW,PW-32,0.02053285762667656,0.0025539875496178865,0.37659162282943726,0,0.007966511882841587,32,200,128,012efbd7610fe543ad34fdde90d2073532c57a7cb707089fd9771514d655184e
walker,303,A,PW,PW,PW-1,0.3298214077949524,0.016094394028186798,0.420102059841156,0,0.007966511882841587,1,200,128,012efbd7610fe543ad34fdde90d2073532c57a7cb707089fd9771514d655184e
walker,303,A,PW,PW,ZO-32,0.23490633070468903,0.011921800673007965,0.39166128635406494,0,0.007966511882841587,32,200,128,012efbd7610fe543ad34fdde90d2073532c57a7cb707089fd9771514d655184e
walker,303,A,PW,PW,WML-32,0.306896448135376,0.0036970279179513454,0.989508867263794,0,0.007966511882841587,32,200,128,012efbd7610fe543ad34fdde90d2073532c57a7cb707089fd9771514d655184e
walker,303,A,PW,WML,PW-32,0.01204059086740017,0.00115750334225595,1.034268856048584,0,0.007966511882841587,32,200,128,012efbd7610fe543ad34fdde90d2073532c57a7cb707089fd9771514d655184e
walker,303,A,PW,WML,PW-1,0.2237766832113266,0.012058901600539684,1.0351958274841309,0,0.007966511882841587,1,200,128,012efbd7610fe543ad34fdde90d2073532c57a7cb707089fd9771514d655184e
walker,303,A,PW,WML,ZO-32,0.21720540523529053,0.011062907055020332,1.117478609085083,0,0.007966511882841587,32,200,128,012efbd7610fe543ad34fdde90d2073532c57a7cb707089fd9771514d655184e
walker,303,A,PW,WML,WML-32,0.31002622842788696,0.004184134770184755,1.0448622703552246,0,0.007966511882841587,32,200,128,012efbd7610fe543ad34fdde90d2073532c57a7cb707089fd9771514d655184e
walker,303,B,WML,PW,PW-32,0.14510327577590942,0.017656950280070305,0.054947108030319214,0,0.5040706396102905,32,200,128,012efbd7610fe543ad34fdde90d2073532c57a7cb707089fd9771514d655184e
walker,303,B,WML,PW,PW-1,0.5553234815597534,0.028826098889112473,0.05188771337270737,730,0.5040706396102905,1,200,128,012efbd7610fe543ad34fdde90d2073532c57a7cb707089fd9771514d655184e
walker,303,B,WML,PW,ZO-32,0.6375131607055664,0.030129164457321167,0.1345837563276291,0,0.5040706396102905,32,200,128,012efbd7610fe543ad34fdde90d2073532c57a7cb707089fd9771514d655184e
walker,303,B,WML,PW,WML-32,0.36935245990753174,0.004860317800194025,0.9225029945373535,0,0.5040706396102905,32,200,128,012efbd7610fe543ad34fdde90d2073532c57a7cb707089fd9771514d655184e
walker,303,B,WML,WML,PW-32,0.1460157036781311,0.016750896349549294,0.1479133665561676,0,0.5040706396102905,32,200,128,012efbd7610fe543ad34fdde90d2073532c57a7cb707089fd9771514d655184e
walker,303,B,WML,WML,PW-1,0.6237297058105469,0.02453998662531376,0.11519515514373779,730,0.5040706396102905,1,200,128,012efbd7610fe543ad34fdde90d2073532c57a7cb707089fd9771514d655184e
walker,303,B,WML,WML,ZO-32,0.6568577289581299,0.025455014780163765,0.30337098240852356,0,0.5040706396102905,32,200,128,012efbd7610fe543ad34fdde90d2073532c57a7cb707089fd9771514d655184e
walker,303,B,WML,WML,WML-32,0.3838389217853546,0.007681829854846001,0.9058636426925659,0,0.5040706396102905,32,200,128,012efbd7610fe543ad34fdde90d2073532c57a7cb707089fd9771514d655184e
walker,304,A,PW,PW,PW-32,0.014246279373764992,0.0011642916360870004,0.40456104278564453,0,0.005538330413401127,32,200,128,0eab9f5937da35d68b91c3d4129d459a0a44164b8d0a6bf69dfa1154a7f930dc
walker,304,A,PW,PW,PW-1,0.28663840889930725,0.01346492301672697,0.4659562110900879,0,0.005538330413401127,1,200,128,0eab9f5937da35d68b91c3d4129d459a0a44164b8d0a6bf69dfa1154a7f930dc
walker,304,A,PW,PW,ZO-32,0.2565231919288635,0.013048828579485416,0.4440489411354065,0,0.005538330413401127,32,200,128,0eab9f5937da35d68b91c3d4129d459a0a44164b8d0a6bf69dfa1154a7f930dc
walker,304,A,PW,PW,WML-32,0.29736196994781494,0.0038690988440066576,1.0140914916992188,0,0.005538330413401127,32,200,128,0eab9f5937da35d68b91c3d4129d459a0a44164b8d0a6bf69dfa1154a7f930dc
walker,304,A,PW,WML,PW-32,0.009550302289426327,0.0010896255262196064,0.8993760347366333,0,0.005538330413401127,32,200,128,0eab9f5937da35d68b91c3d4129d459a0a44164b8d0a6bf69dfa1154a7f930dc
walker,304,A,PW,WML,PW-1,0.19204233586788177,0.010946455411612988,0.901961088180542,0,0.005538330413401127,1,200,128,0eab9f5937da35d68b91c3d4129d459a0a44164b8d0a6bf69dfa1154a7f930dc
walker,304,A,PW,WML,ZO-32,0.22423332929611206,0.01222874317318201,0.9565507173538208,0,0.005538330413401127,32,200,128,0eab9f5937da35d68b91c3d4129d459a0a44164b8d0a6bf69dfa1154a7f930dc
walker,304,A,PW,WML,WML-32,0.3161693513393402,0.003989539109170437,1.0607929229736328,0,0.005538330413401127,32,200,128,0eab9f5937da35d68b91c3d4129d459a0a44164b8d0a6bf69dfa1154a7f930dc
walker,304,B,WML,PW,PW-32,0.06477545201778412,0.0107811838388443,0.16186648607254028,0,0.40190958976745605,32,200,128,0eab9f5937da35d68b91c3d4129d459a0a44164b8d0a6bf69dfa1154a7f930dc
walker,304,B,WML,PW,PW-1,0.46414732933044434,0.02609195001423359,0.15192832052707672,54,0.40190958976745605,1,200,128,0eab9f5937da35d68b91c3d4129d459a0a44164b8d0a6bf69dfa1154a7f930dc
walker,304,B,WML,PW,ZO-32,0.49029451608657837,0.0269459281116724,0.22874689102172852,0,0.40190958976745605,32,200,128,0eab9f5937da35d68b91c3d4129d459a0a44164b8d0a6bf69dfa1154a7f930dc
walker,304,B,WML,PW,WML-32,0.3617149889469147,0.0058562373742461205,0.9447273015975952,0,0.40190958976745605,32,200,128,0eab9f5937da35d68b91c3d4129d459a0a44164b8d0a6bf69dfa1154a7f930dc
walker,304,B,WML,WML,PW-32,0.10312053561210632,0.013715268112719059,0.17010051012039185,0,0.40190958976745605,32,200,128,0eab9f5937da35d68b91c3d4129d459a0a44164b8d0a6bf69dfa1154a7f930dc
walker,304,B,WML,WML,PW-1,0.5633199214935303,0.026192253455519676,0.18324853479862213,54,0.40190958976745605,1,200,128,0eab9f5937da35d68b91c3d4129d459a0a44164b8d0a6bf69dfa1154a7f930dc
walker,304,B,WML,WML,ZO-32,0.5462771654129028,0.027065033093094826,0.23474270105361938,0,0.40190958976745605,32,200,128,0eab9f5937da35d68b91c3d4129d459a0a44164b8d0a6bf69dfa1154a7f930dc
walker,304,B,WML,WML,WML-32,0.3807739019393921,0.007334281224757433,0.9128936529159546,0,0.40190958976745605,32,200,128,0eab9f5937da35d68b91c3d4129d459a0a44164b8d0a6bf69dfa1154a7f930dc
walker,305,A,PW,PW,PW-32,0.01713947020471096,0.00312542705796659,0.4679274559020996,0,0.017600098624825478,32,200,128,a4ff8cee8d69db503bd8267b249a726add761bb7630fa8dcf9e897b6d9753719
walker,305,A,PW,PW,PW-1,0.2785015106201172,0.01488431729376316,0.5067296028137207,0,0.017600098624825478,1,200,128,a4ff8cee8d69db503bd8267b249a726add761bb7630fa8dcf9e897b6d9753719
walker,305,A,PW,PW,ZO-32,0.22903487086296082,0.01354739535599947,0.5030207633972168,0,0.017600098624825478,32,200,128,a4ff8cee8d69db503bd8267b249a726add761bb7630fa8dcf9e897b6d9753719
walker,305,A,PW,PW,WML-32,0.292988657951355,0.003222233150154352,1.0078532695770264,0,0.017600098624825478,32,200,128,a4ff8cee8d69db503bd8267b249a726add761bb7630fa8dcf9e897b6d9753719
walker,305,A,PW,WML,PW-32,0.011793281883001328,0.001157276681624353,1.9038264751434326,0,0.017600098624825478,32,200,128,a4ff8cee8d69db503bd8267b249a726add761bb7630fa8dcf9e897b6d9753719
walker,305,A,PW,WML,PW-1,0.23199322819709778,0.01349460519850254,1.9024922847747803,0,0.017600098624825478,1,200,128,a4ff8cee8d69db503bd8267b249a726add761bb7630fa8dcf9e897b6d9753719
walker,305,A,PW,WML,ZO-32,0.21282345056533813,0.0105206910520792,2.072143077850342,0,0.017600098624825478,32,200,128,a4ff8cee8d69db503bd8267b249a726add761bb7630fa8dcf9e897b6d9753719
