d,rank,sigma,omega,c,r_nom,r_rms,omega_rms_over_omega,ratio,product_rms,product_nom,arm,npz
1,1,0.01,0.1,0.001,0.001,0.0008965545838975568,0.8965545838975566,1660622.6402384434,1.3348252868927848,1.6606226402384434,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,0.13501275609964633,0.0013501275609964633,0.0013501275609964633,0.0012125681135173733,0.8981137401731403,913909.8738388943,1.3437412725199704,1.6659155239286487,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,0.18228444309622582,0.0018228444309622582,0.0018228444309622582,0.0016738520132554276,0.9182637776564512,523689.37601843424,1.4672627144005972,1.7400950639066577,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,0.24610725056510596,0.0024610725056510596,0.0024610725056510596,0.0023689269574975976,0.962558783643359,315305.25845588243,1.769434756897247,1.9097654447810777,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,0.33227618194901193,0.0033227618194901195,0.0033227618194901195,0.0034632830468321755,1.0422904905545167,202660.76620663272,2.430779999000004,2.23752606595526,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,0.4486152311120365,0.004486152311120365,0.004486152311120365,0.0046932410742733565,1.046161777129068,112204.7533445197,2.4714793214549244,2.2581837828041142,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,0.6056877878071585,0.006056877878071585,0.006056877878071585,0.005696189836952997,0.9404498409280418,49745.929879434785,1.6140852267786099,1.8249677235807575,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,0.8177557756774221,0.008177557756774222,0.008177557756774222,0.008501484811212321,1.039611710986665,33365.41087829828,2.4114932122315706,2.231226799562158,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,1.1040746109061288,0.011040746109061288,0.011040746109061288,0.010206234638694314,0.9244153010925521,14461.932240751412,1.5064593568892823,1.762881695790461,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,1.4906415615808106,0.014906415615808107,0.014906415615808107,0.013011126573608749,0.8728541393821446,7085.729396055738,1.1995389822833749,1.5744577625301046,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,2.012556255857059,0.020125562558570592,0.020125562558570592,0.020986490939234128,1.0427778541920512,5517.246885857337,2.429976504946989,2.234696124425367,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,2.717207669088465,0.027172076690884648,0.027172076690884648,0.02525359032828999,0.929394930522986,2407.827938913109,1.5355773984260004,1.777751741639251,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,3.6685769629872937,0.03668576962987294,0.03668576962987294,0.0368958977170441,1.0057277818972088,1549.8901913842337,2.109876782670429,2.0859130392183465,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,4.953046867365847,0.04953046867365847,0.04953046867365847,0.04236752123801041,0.8553830071174453,615.4330689448226,1.1047065780747705,1.5098218400175274,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,6.687245086537825,0.06687245086537826,0.06687245086537826,0.07196662048950943,1.0761774027751174,533.6400838362387,2.763825768336593,2.386398263675295,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,9.028633898472895,0.09028633898472896,0.09028633898472896,0.08387039293119569,0.9289377980580378,217.90787589181764,1.5328169093287793,1.7763028545840713,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,12.189807464475196,0.12189807464475197,0.12189807464475197,0.11755474629638905,0.9643691800627641,128.36509695284994,1.77389247024192,1.9073950240242774,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,16.457795021028378,0.1645779502102838,0.1645779502102838,0.1452663001252668,0.8826595539661164,58.96350310579385,1.2442654108370974,1.5970796487410444,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,22.22012265112078,0.2222012265112078,0.2222012265112078,0.22106497563845742,0.9948863879349782,40.77747505744847,1.992783929211185,2.0133219779117506,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,29.99999999999996,0.2999999999999996,0.2999999999999996,0.29621118145948117,0.9873706048649386,21.832838949467703,1.9156365200390013,1.964955505452088,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,40.503826829893846,0.40503826829893846,0.40503826829893846,0.38151827873682337,0.9419314385751912,10.671163716171051,1.5532540082002488,1.7506684216717983,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,54.68533292886767,0.5468533292886767,0.5468533292886767,0.5797585417956357,1.0601719158403236,7.254186915149686,2.438277064972308,2.16935417817937,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,73.83217516953168,0.7383217516953168,0.7383217516953168,0.772694988956333,1.0465559049047237,3.626814971632164,2.1654172466072588,1.977045783258385,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,99.68285458470345,0.9968285458470345,0.9968285458470345,0.996642375046413,0.9998132368887336,1.643828849607727,1.6328086600214207,1.6334187277742243,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,134.58456933361077,1.3458456933361078,1.3458456933361078,1.3448935001842497,0.9992924945582,0.7783928478315622,1.4079091328879725,1.4099034558760184,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,181.70633634214732,1.8170633634214732,1.8170633634214732,1.8174942931081932,1.0002371572149846,0.33816670350093975,1.1170611701108948,1.1165315203016093,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,245.3267327032263,2.453267327032263,2.453267327032263,2.453268177009647,1.0000003464674945,0.17324454956795582,1.04267660908772,1.0426758865809909,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,331.2223832718382,3.312223832718382,3.312223832718382,3.3122238327021,0.9999999999950842,0.09405988058674138,1.0319146510253672,1.0319146510355124,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,447.1924684742427,4.471924684742427,4.471924684742427,4.471924684742427,1.0,0.0518065599029922,1.0360333036594078,1.0360333036594076,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,603.766876757117,6.037668767571169,6.037668767571169,6.037668767571169,1.0,0.02836529547529206,1.034012714318998,1.034012714318998,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,815.1623007265384,8.151623007265384,8.151623007265384,8.151623007265385,1.0,0.015576641818650871,1.035051612576913,1.0350516125769125,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,1100.5730888961868,11.00573088896187,11.00573088896187,11.00573088896187,1.0,0.008536709465074397,1.0340184301948743,1.0340184301948745,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,1485.9140602097523,14.859140602097524,14.859140602097524,14.859140602097524,1.0,0.004680587502170608,1.033445915135161,1.033445915135161,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.01,2006.1735259613445,20.061735259613446,20.061735259613446,20.061735259613446,1.0000000000000002,0.0025663690952578487,1.032894837651927,1.032894837651927,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,0.1,0.0013501275609964633,0.0013501275609964633,0.0012104632729145186,0.8965547462945908,911006.9699701024,1.3348268488021586,1.6606239817778028,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,0.13501275609964633,0.0018228444309622584,0.0018228444309622584,0.001637122161455741,0.8981140319207181,501365.2990455575,1.343743717903521,1.6659174732858246,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,0.18228444309622582,0.0024610725056510596,0.0024610725056510596,0.0022599147949894237,0.9182642079013349,287292.79286592023,1.4672660268174342,1.7400973616389943,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,0.24610725056510596,0.0033227618194901195,0.0033227618194901195,0.0031983547930389987,0.9625591501258399,172974.20485194077,1.7694350243324473,1.9097642791870355,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,0.33227618194901193,0.004486152311120365,0.004486152311120365,0.004675870370010513,1.0422897052380213,111177.53273600269,2.430759306394811,2.237510390185952,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,0.4486152311120365,0.006056877878071585,0.006056877878071585,0.006336464641212656,1.0461602113777615,61554.527103576635,2.4714625311502956,2.2581752009975826,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,0.6056877878071585,0.008177557756774222,0.008177557756774222,0.007690611469416044,0.9404533355995199,27290.17796655414,1.6140913511908637,1.8249610851758196,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,0.8177557756774221,0.011040746109061287,0.011040746109061287,0.011478039835401889,1.0396072622285653,18303.47638506417,2.411398789609719,2.2311585306450064,rank1,d1_rank1_M32_unit_H_identity.npz
