d,c_star,crossover_sigma,crossover_omega,crossover_in_policy_reachable,n_cells_sigma_lt_0p1,n_cells,pw_pooled_2Cov_over_VarE_at_crossover,pw_A_registered_allgrid_max,pw_A_argmax_sigma,pw_A_argmax_omega,pw_A_argmax_in_policy_reachable,pw_B_at_crossover,pw_C_reachable_max,pw_D_frac_total_reachable_max,pw_D_frac_total_at_crossover,pw_VarE_over_MSEtotal_at_crossover,pw_smooth_over_MSEtotal_at_crossover,zo_pooled_2Cov_over_VarE_at_crossover,zo_A_registered_allgrid_max,zo_A_argmax_sigma,zo_A_argmax_omega,zo_A_argmax_in_policy_reachable,zo_B_at_crossover,zo_C_reachable_max,zo_D_frac_total_reachable_max,zo_D_frac_total_at_crossover,zo_VarE_over_MSEtotal_at_crossover,zo_smooth_over_MSEtotal_at_crossover
1,1.2013877434506741,0.013501275609964631,99.68285458470345,False,272,680,0.03469496513441249,706002.2433734841,0.01,0.1,False,0.5090937612858573,64564.715515694385,0.20955029502512398,0.3747258847672562,0.7360645784006117,0.2383976867151028,0.04915913201128252,56819.21262459166,0.01,0.1,False,6.638972243874962,5074.385568237343,0.02609396202763519,0.004598025852987629,0.0006925809724885826,0.9992733723480565
2,1.5182050010586579,0.01,134.58456933361077,False,272,680,0.06163089863965314,377414.7275511211,0.01,0.1,False,0.1649888019953105,34366.39960537367,0.10903750107960514,0.1379986582814263,0.8364122692723635,0.1120388909391492,0.17506275544201472,35497.02518783169,0.01,0.1,False,14.70316946825665,3186.784682833879,0.0222540611965085,0.011449006404633165,0.0007786760826875425,0.9990850067366802
4,2.049549228059748,0.01,181.70633634214732,False,272,680,0.010433922170168334,381537.01766990696,0.01,0.1,False,0.06873513450968392,34445.449898544255,0.070830292700664,0.06309175984152136,0.9178967974905545,0.09168046625470873,0.020853358986928115,19639.17863416315,0.01,0.1,False,3.7908091084755564,1755.1330359583017,0.01388030229939939,0.0037407289172945706,0.0009867890495807306,0.9990337888167152
8,2.8745920267492266,1.2189807464475195,2.717207669088465,True,272,680,0.0263497842835873,298086.8271263024,0.01,0.1,False,0.09524434513781863,26791.526160822163,0.0502410679936482,0.0008154309273990905,0.008561462900701994,0.991664129799883,0.013966806793156981,13888.974469695224,0.01,0.1,False,0.23285633883614495,1239.98258335054,0.01011587153351833,0.0002068267170795744,0.0008882159623110499,0.9990993784969526
16,4.060321552218873,0.0817755775677422,54.68533292886767,False,272,680,0.0012297000258717973,427165.76744817564,0.01,0.1,False,0.008378835007536972,37137.38465583802,0.027078925300558384,0.0018005829957092516,0.21489658097928674,0.7853676773519033,0.022538173314580665,9274.041505470415,0.01,0.1,False,0.16135595105750972,810.05690436966,0.007784990899221711,0.00018808280160060816,0.0011656390753977991,0.9988606323001056
32,5.7465318451181275,0.024610725056510595,245.3267327032263,False,272,680,0.0003108188671400556,360707.184214082,0.01,0.1,False,0.0017012505645992982,30554.627826198997,0.012687464734989216,0.001260915552807195,0.741169807108445,0.25859982333175047,0.009301813579134864,9150.922260208914,0.01,0.1,False,0.11485821691851672,768.5365075842899,0.006632153176580513,0.00013879060610467637,0.001208364624040245,0.9987803953934913
64,8.13061103779699,0.14906415615808105,54.68533292886767,True,272,680,8.423436920419465e-05,325480.3205732067,0.01,0.1,False,0.004965450731940106,26572.81020630904,0.008344404096842485,0.0006152004203259261,0.12389618859143411,0.876093375091273,0.02642902558535377,5861.019845229914,0.01,0.1,False,0.09483502150608719,482.9150106939993,0.004171376350655663,0.00011508522860691553,0.0012135308958571654,0.9987543966650477
