task,arm,mean_part,width_part,width_share
walker,WML,0.08123696967959404,0.0039246659725904465,0.0460849059853605
walker,PW,0.07358755171298981,0.0014396273763850331,0.019188078158584393
g1,WML,0.09343454986810684,0.0019103712402284145,0.02003642373417839
g1,PW,0.08994298428297043,0.0009601116180419922,0.010561924305498809
leap,WML,0.09389855340123177,0.002467671874910593,0.02560722771738078
leap,PW,0.08846091106534004,0.0013133204774931073,0.014629147528447458
