d,sigma,r,amplitude,value,ci_lo,ci_hi,panel
16,0.4,1.75,4.0,-1.5876996820387606,-1.5953405257936197,-1.5800789575552612,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,2.0,0.25,-0.28830047123704877,-0.2967778557145719,-0.2801025014859477,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,2.0,1.0,-0.7635547730294919,-0.7717303190025888,-0.7553656580934315,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,2.0,4.0,-1.706464812064644,-1.7143740766302118,-1.6984938602027764,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,3.0,0.25,-0.6415302289560657,-0.6490031756901242,-0.6339725219387896,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,3.0,1.0,-1.1186243048563604,-1.125623921686676,-1.111579506288872,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,3.0,4.0,-2.0633427607980432,-2.07012048862152,-2.056546190753163,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,0.5,0.25,0.9473457934372035,0.9391755214674548,0.95555481441444,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,0.5,1.0,0.710502884838998,0.7029182000453694,0.7180325581274564,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,0.5,4.0,-0.10130739345944194,-0.10858510480029152,-0.09384826655832672,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,0.75,0.25,0.5831310478448691,0.5737461704122695,0.592649846305471,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,0.75,1.0,0.34357913012474184,0.33447240474081796,0.3531433867993044,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,0.75,4.0,-0.46660022314372007,-0.4758008837513312,-0.45730204653158957,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,1.0,0.25,0.3418776662325034,0.3319752233322171,0.35227374878394074,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,1.0,1.0,0.10225303170840915,0.09218090533414422,0.112345739698686,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,1.0,4.0,-0.7092860612988068,-0.719208474708852,-0.6992306777800776,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,1.25,0.25,0.15181317810584422,0.14363990460131948,0.15990792745518104,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,1.25,1.0,-0.08639649550156357,-0.09434254645527627,-0.07820052024998315,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,1.25,4.0,-0.8982387907613072,-0.9063827569256995,-0.8903735622775708,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,1.5,0.25,-0.011869004756450403,-0.02161569028305582,-0.002165163627474653,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,1.5,1.0,-0.24907792581890972,-0.25875371897275223,-0.2390963702316258,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,1.5,4.0,-1.060065006475517,-1.0699169918304823,-1.050170632569818,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,1.75,0.25,-0.1439534533536869,-0.1521227732517262,-0.13575988087481705,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,1.75,1.0,-0.38134523758869215,-0.38927214658397874,-0.37343046599304847,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,1.75,4.0,-1.1932670279952526,-1.2013910966474186,-1.1849395214315934,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,2.0,0.25,-0.2612491852533067,-0.27128214333153944,-0.25094405362750655,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,2.0,1.0,-0.49976736023555435,-0.5094229024813381,-0.48963590915130567,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,2.0,4.0,-1.3124291972521038,-1.322341289903629,-1.302239921284939,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,3.0,0.25,-0.6101888895456451,-0.6194481978150135,-0.6007036268415271,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,3.0,1.0,-0.8465099453812925,-0.855750144756262,-0.8368799304380604,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,3.0,4.0,-1.6582514905193046,-1.6674787345664366,-1.6488227585990172,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,0.5,0.25,0.6861171840514569,0.6509352411988657,0.7211974079708781,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,0.5,1.0,0.6861171840514534,0.6515520034049108,0.7219933426096504,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,0.5,4.0,0.6861171840514532,0.6516556696536435,0.7218510659373875,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,0.75,0.25,0.28998174469561944,0.2818769234456899,0.2979348715621366,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,0.75,1.0,0.2899817446956189,0.28170709417688344,0.29793003969086107,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,0.75,4.0,0.28998174469561877,0.2819680394327709,0.29786547807382097,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,1.0,0.25,0.01991154689584666,0.01126377406781831,0.028301557235007047,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,1.0,1.0,0.01991154689584657,0.011420337906847072,0.028410051795679382,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,1.0,4.0,0.019911546895846476,0.011415695455515218,0.028248648015012076,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,1.25,0.25,-0.17793415451386901,-0.18572839927003135,-0.1702294906408659,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,1.25,1.0,-0.17793415451386865,-0.18588885447322986,-0.16999325659036252,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,1.25,4.0,-0.17793415451386851,-0.1856118977601475,-0.17017605906978583,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,1.5,0.25,-0.3377237914470883,-0.3457433290549667,-0.3296984688868207,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,1.5,1.0,-0.3377237914470877,-0.3459339309241174,-0.32987623274167976,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,1.5,4.0,-0.3377237914470877,-0.3457714598542357,-0.3296148520861522,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,1.75,0.25,-0.4657664784980874,-0.472945530590815,-0.4586489929214151,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,1.75,1.0,-0.46576647849808683,-0.473099563667383,-0.4585765949542872,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,1.75,4.0,-0.46576647849808683,-0.473050373272774,-0.45867912794867705,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,2.0,0.25,-0.5845383023449368,-0.5927989211637164,-0.5759995088900098,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,2.0,1.0,-0.5845383023449362,-0.5928733326285692,-0.5758076983866824,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,2.0,4.0,-0.5845383023449362,-0.5929880874448403,-0.5761810491343077,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,3.0,0.25,-0.9414657717180643,-0.9488644950787238,-0.934099581595531,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,3.0,1.0,-0.9414657717180636,-0.9488745455949383,-0.9340323457041626,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,3.0,4.0,-0.9414657717180636,-0.9488591232542559,-0.9338857638472171,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,0.5,0.25,0.6184352798505809,0.6114313180818298,0.6255478478551091,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,0.5,1.0,0.6184352798505803,0.6115799070006377,0.6254101510336626,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,0.5,4.0,0.6184352798505803,0.6114225553579727,0.6255038909195845,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,0.75,0.25,0.26714005750203174,0.2592885018206295,0.2747014030214282,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,0.75,1.0,0.2671400575020315,0.2593931949007208,0.2748940622153229,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,0.75,4.0,0.2671400575020315,0.25925531750546277,0.27482357523680423,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,1.0,0.25,0.01617977484262416,0.009365317594985925,0.02311260169848891,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,1.0,1.0,0.01617977484262407,0.009345091188948482,0.02299579843583575,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,1.0,4.0,0.01617977484262407,0.009367291437495475,0.023216986957101667,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,1.25,0.25,-0.18219422462610255,-0.1899978990362838,-0.17460408101849925,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,1.25,1.0,-0.1821942246261025,-0.1898829603545142,-0.17467154752122985,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,1.25,4.0,-0.1821942246261025,-0.18984405620756287,-0.17456859465406582,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,1.5,0.25,-0.34657292010107554,-0.35466467812062485,-0.3386401316156264,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,1.5,1.0,-0.34657292010107554,-0.35485374951290555,-0.3381363614629819,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,1.5,4.0,-0.34657292010107554,-0.3547209167524393,-0.338286506695495,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,1.75,0.25,-0.4745441690961463,-0.4822571219784554,-0.46682101836086987,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,1.75,1.0,-0.4745441690961461,-0.4823783076346901,-0.46669908479487565,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,1.75,4.0,-0.47454416909614605,-0.48253877921240185,-0.4669455336831986,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,2.0,0.25,-0.5928721293526754,-0.6000005137448494,-0.5855717043629272,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,2.0,1.0,-0.5928721293526752,-0.5998120778301941,-0.5855637392007957,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,2.0,4.0,-0.5928721293526752,-0.5999403612392845,-0.5855317587279973,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,3.0,0.25,-0.9462958891388562,-0.9537511817057763,-0.9388532433427405,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,3.0,1.0,-0.946295889138856,-0.9536149772704116,-0.9388752166219662,A_dimensionless_err_channel_log10_ZO_over_PW
16,0.4,3.0,4.0,-0.946295889138856,-0.953922837564661,-0.9385360693694668,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,0.5,0.25,0.6107707093421529,0.6038763413831899,0.6177430137548834,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,0.5,1.0,0.6107707093421527,0.6038645842586662,0.6177109974724787,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,0.5,4.0,0.6107707093421527,0.6039428698470322,0.6177848168369181,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,0.75,0.25,0.24701211000953224,0.24015588676655233,0.25436919806833386,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,0.75,1.0,0.24701211000953213,0.24032250119739726,0.2546507597895388,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,0.75,4.0,0.2470121100095322,0.24021809081053375,0.2543976763306234,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,1.0,0.25,0.004649300895892803,-0.003477938472844441,0.013120057066145161,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,1.0,1.0,0.004649300895892803,-0.003562845787216822,0.013021474634115321,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,1.0,4.0,0.004649300895892803,-0.0034719992732918214,0.013291179888688592,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,1.25,0.25,-0.1873656136581702,-0.1947890902924966,-0.18034289470171752,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,1.25,1.0,-0.18736561365817014,-0.19454748628551016,-0.1801915227701315,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,1.25,4.0,-0.18736561365817014,-0.1948493801365149,-0.1802516449248853,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,1.5,0.25,-0.34864914418254916,-0.35705311929536737,-0.340159218734293,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,1.5,1.0,-0.3486491441825491,-0.3572005892104518,-0.3401690732687831,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,1.5,4.0,-0.34864914418254905,-0.3569511936512174,-0.3399082807245851,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,1.75,0.25,-0.4845512077541041,-0.49208770439428057,-0.4769456082030356,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,1.75,1.0,-0.484551207754104,-0.4921568112854892,-0.47716219738823934,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,1.75,4.0,-0.484551207754104,-0.49248438812376494,-0.4768344837777525,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,2.0,0.25,-0.600259510466002,-0.6078857956588177,-0.592064735110521,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,2.0,1.0,-0.600259510466002,-0.6077940732471667,-0.5920958752862695,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,2.0,4.0,-0.600259510466002,-0.6079570227594094,-0.5919077732290617,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,3.0,0.25,-0.9464935022520681,-0.9546173796903248,-0.9382274020157105,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,3.0,1.0,-0.9464935022520681,-0.9542598360586729,-0.9381042471245994,A_dimensionless_err_channel_log10_ZO_over_PW
64,0.4,3.0,4.0,-0.946493502252068,-0.9542814098765563,-0.9381505933956479,A_dimensionless_err_channel_log10_ZO_over_PW
4,0.4,0.5,0.25,0.03317158062364282,0.031846286422011254,0.03453643277417732,B_update_err_WML_minus_PW
4,0.4,0.5,1.0,0.04288333073197076,0.03480420137410919,0.051077096477610086,B_update_err_WML_minus_PW
4,0.4,0.5,4.0,0.0011891030037951555,-0.01130154428116657,0.01447698171833617,B_update_err_WML_minus_PW
4,0.4,0.75,0.25,0.03904027352477161,0.03720685821662265,0.04097072524992799,B_update_err_WML_minus_PW
4,0.4,0.75,1.0,0.06114651434746193,0.05371051934011314,0.06872822891096739,B_update_err_WML_minus_PW
4,0.4,0.75,4.0,0.030005173996561163,0.019084797843030153,0.041521862960297105,B_update_err_WML_minus_PW
4,0.4,1.0,0.25,0.03730487874212597,0.03626732598111439,0.03839691697326103,B_update_err_WML_minus_PW
4,0.4,1.0,1.0,0.06514761930061555,0.06029995081332437,0.06987670525922765,B_update_err_WML_minus_PW
4,0.4,1.0,4.0,0.06839569946117074,0.06003260606139178,0.07614426766391502,B_update_err_WML_minus_PW
4,0.4,1.25,0.25,0.03517884738020628,0.0342928871672895,0.03609899332627176,B_update_err_WML_minus_PW
4,0.4,1.25,1.0,0.05493383286393114,0.05225423097809812,0.05771837699815132,B_update_err_WML_minus_PW
4,0.4,1.25,4.0,0.06621671822894576,0.060797620552933945,0.07107986059972372,B_update_err_WML_minus_PW
4,0.4,1.5,0.25,0.03159147538792567,0.03092372187491038,0.032280828345182984,B_update_err_WML_minus_PW
4,0.4,1.5,1.0,0.031706912997901016,0.029688670679586297,0.03362734423908862,B_update_err_WML_minus_PW
4,0.4,1.5,4.0,0.04143644092488519,0.036647305998703514,0.04592878573887288,B_update_err_WML_minus_PW
4,0.4,1.75,0.25,0.02821451728101148,0.027480599805165255,0.028981186099633863,B_update_err_WML_minus_PW
4,0.4,1.75,1.0,0.014878561958960021,0.011741701317149576,0.01773703290733201,B_update_err_WML_minus_PW
4,0.4,1.75,4.0,0.028770787398395614,0.022931506164867464,0.03397384429019266,B_update_err_WML_minus_PW
4,0.4,2.0,0.25,0.025242246545743946,0.024465017104234554,0.026047350661912206,B_update_err_WML_minus_PW
4,0.4,2.0,1.0,-0.002283997741560684,-0.006407152160430395,0.001367018247744655,B_update_err_WML_minus_PW
4,0.4,2.0,4.0,0.014457227977077935,0.007909973623942482,0.020452317178137905,B_update_err_WML_minus_PW
4,0.4,3.0,0.25,0.009612187584729148,0.008724685946018815,0.010605548231460841,B_update_err_WML_minus_PW
4,0.4,3.0,1.0,-0.05259655263555449,-0.05889746334192923,-0.046719670506678246,B_update_err_WML_minus_PW
4,0.4,3.0,4.0,-0.01839838422452761,-0.024295124068348856,-0.01270849229320947,B_update_err_WML_minus_PW
16,0.4,0.5,0.25,0.15770022662143957,0.1566552402317715,0.15876677130399738,B_update_err_WML_minus_PW
16,0.4,0.5,1.0,0.1709966332726919,0.16836317081683244,0.1736117340402666,B_update_err_WML_minus_PW
16,0.4,0.5,4.0,0.12459866980419768,0.11648916786801093,0.13244990226184108,B_update_err_WML_minus_PW
16,0.4,0.75,0.25,0.15518147057918066,0.1544102914976442,0.1559462102520641,B_update_err_WML_minus_PW
16,0.4,0.75,1.0,0.15580948967255503,0.15442540061766014,0.15713306709779307,B_update_err_WML_minus_PW
16,0.4,0.75,4.0,0.1115022369578118,0.10951836739167989,0.11339800516838772,B_update_err_WML_minus_PW
16,0.4,1.0,0.25,0.14905819565572076,0.14827806311736694,0.14982453112037947,B_update_err_WML_minus_PW
16,0.4,1.0,1.0,0.13047582621272258,0.1291604202830398,0.13176885199777646,B_update_err_WML_minus_PW
16,0.4,1.0,4.0,0.08606086594964268,0.08433364596554062,0.08774410147123783,B_update_err_WML_minus_PW
16,0.4,1.25,0.25,0.1417830926068435,0.1409525094676802,0.14262794479579985,B_update_err_WML_minus_PW
16,0.4,1.25,1.0,0.10558730332927202,0.10375275893081902,0.1074188872368676,B_update_err_WML_minus_PW
16,0.4,1.25,4.0,0.06440857600455246,0.06212531856496571,0.06665441437476144,B_update_err_WML_minus_PW
16,0.4,1.5,0.25,0.1336341156325684,0.1329588333656313,0.13429299984148246,B_update_err_WML_minus_PW
16,0.4,1.5,1.0,0.08521349142204168,0.08337320096535154,0.0869174784877855,B_update_err_WML_minus_PW
16,0.4,1.5,4.0,0.04925604084355106,0.04719241372761598,0.05124748894240235,B_update_err_WML_minus_PW
16,0.4,1.75,0.25,0.12626804588718016,0.1254072141684833,0.1271248500120862,B_update_err_WML_minus_PW
16,0.4,1.75,1.0,0.0712536291882559,0.06939082115147838,0.07305576573016993,B_update_err_WML_minus_PW
16,0.4,1.75,4.0,0.04062770322907233,0.03874444742286254,0.042454382465051524,B_update_err_WML_minus_PW
16,0.4,2.0,0.25,0.11856688290719024,0.1175976076297622,0.11951765180538,B_update_err_WML_minus_PW
16,0.4,2.0,1.0,0.055672502687587305,0.0535186190726798,0.057740751172561194,B_update_err_WML_minus_PW
16,0.4,2.0,4.0,0.030211778771094877,0.027960210140610738,0.03242456140541628,B_update_err_WML_minus_PW
16,0.4,3.0,0.25,0.0874798429423732,0.08627503687418878,0.08868090712468435,B_update_err_WML_minus_PW
16,0.4,3.0,1.0,0.014105249182720048,0.011782509946423677,0.01627519647781006,B_update_err_WML_minus_PW
16,0.4,3.0,4.0,0.007245090784013808,0.005243124693797736,0.009077607333999987,B_update_err_WML_minus_PW
64,0.4,0.5,0.25,0.2613189782745688,0.26082901601104846,0.26180203667707,B_update_err_WML_minus_PW
64,0.4,0.5,1.0,0.20673927194620545,0.20586265442048374,0.20764113742127574,B_update_err_WML_minus_PW
64,0.4,0.5,4.0,0.11405863992023191,0.1128294926274909,0.11532420914203509,B_update_err_WML_minus_PW
64,0.4,0.75,0.25,0.24989135234898505,0.24923319278847134,0.2505676577927377,B_update_err_WML_minus_PW
64,0.4,0.75,1.0,0.16977289412720595,0.168673068653201,0.17092627546616124,B_update_err_WML_minus_PW
64,0.4,0.75,4.0,0.08174134356207391,0.08037397851678726,0.0831876386037552,B_update_err_WML_minus_PW
64,0.4,1.0,0.25,0.23804881531046113,0.23729679538452764,0.23881768767549555,B_update_err_WML_minus_PW
64,0.4,1.0,1.0,0.14392791048498077,0.1427627532756014,0.14506386788794204,B_update_err_WML_minus_PW
64,0.4,1.0,4.0,0.06380176784906927,0.06266686483412817,0.06494471475038092,B_update_err_WML_minus_PW
64,0.4,1.25,0.25,0.22605222481440537,0.22531829753584257,0.22675931675032418,B_update_err_WML_minus_PW
64,0.4,1.25,1.0,0.12275617677452538,0.12154712944917041,0.123907230751795,B_update_err_WML_minus_PW
64,0.4,1.25,4.0,0.05052558229822057,0.04954104725871249,0.051475258090226864,B_update_err_WML_minus_PW
64,0.4,1.5,0.25,0.21361133592279613,0.2127836415789199,0.21445810608675409,B_update_err_WML_minus_PW
64,0.4,1.5,1.0,0.10584997489866352,0.10472514153667922,0.10693825381725305,B_update_err_WML_minus_PW
64,0.4,1.5,4.0,0.04102096729879795,0.039915421466042066,0.042063076077365695,B_update_err_WML_minus_PW
64,0.4,1.75,0.25,0.20241429192234173,0.20152660075995688,0.20328923122779893,B_update_err_WML_minus_PW
64,0.4,1.75,1.0,0.0929526443926316,0.09175786549876329,0.0941587280547294,B_update_err_WML_minus_PW
64,0.4,1.75,4.0,0.034300164304247316,0.03323038275988821,0.035395131384797794,B_update_err_WML_minus_PW
64,0.4,2.0,0.25,0.19106815625345472,0.19013995353362612,0.19205201594082272,B_update_err_WML_minus_PW
64,0.4,2.0,1.0,0.08041123373421466,0.07912340702191874,0.08170459051221123,B_update_err_WML_minus_PW
64,0.4,2.0,4.0,0.02739586311973946,0.026256937398604498,0.028521902746965498,B_update_err_WML_minus_PW
64,0.4,3.0,0.25,0.15608190568522398,0.15483046331974518,0.1573018278375952,B_update_err_WML_minus_PW
64,0.4,3.0,1.0,0.050150356223002235,0.048921276162746136,0.051383503044615544,B_update_err_WML_minus_PW
64,0.4,3.0,4.0,0.013662956643673119,0.012716554675877224,0.014628022684537521,B_update_err_WML_minus_PW
