d,r_eff,B1,B1_lo,B1_hi,B4,B4_lo,B4_hi,ratio,ratio_lo,ratio_hi,B1_med,B4_med,B1_q25,B1_q75,B4_q25,B4_q75
4,0.5,0.6993062149959681,0.6083206370241984,0.7922674154678909,0.37084731741265375,0.34955772753440406,0.3909663184011918,0.7511118384891753,0.6236238228872828,0.8897917958428975,0.596982206521051,0.3914081617651971,0.4090536392586732,1.028499487467997,0.30948847495757603,0.4258414749905437
4,0.75,0.6132327697478585,0.557918794858504,0.6705995073145247,0.2778833195273255,0.2720659252980893,0.2835325058874636,0.52145790737279,0.4723147834562658,0.5741472064003182,0.5643598878330767,0.27816810423111993,0.4363997245710425,0.766372331111927,0.2592001169337537,0.296032201818871
4,1.0,0.5604396773599245,0.5318822262099154,0.5895364193240974,0.27386310033947575,0.2722033431801075,0.27557201415022176,0.5095270556841931,0.48491946667511515,0.5349236533617596,0.5350635253878748,0.2731806041607342,0.46575457525524966,0.6377616630064311,0.26941252962442985,0.27770117378455533
4,1.25,0.4847210718327795,0.4682224809880742,0.5017681991488622,0.2727844140546005,0.2711757179476186,0.2743276913981721,0.5743631057264877,0.554214528975214,0.5945727586087465,0.47695116983840713,0.2730105686713544,0.4434704859391437,0.5226444019539622,0.2687338439749989,0.277120059138149
4,1.5,0.4683296391566615,0.4619939704683978,0.47493128355818953,0.2727903743957657,0.2712329218748287,0.2743665247723347,0.5842688325299444,0.5756735681914302,0.5928519105822047,0.46353300823371557,0.2734304957695718,0.45358077373400985,0.4839809066362028,0.26876483104910043,0.277067276587593
4,1.75,0.46561832038325796,0.4632182646788888,0.4679620508022306,0.272478396239647,0.2709418282194967,0.27400642832165845,0.5854247073973816,0.5810768119296653,0.5897444040196963,0.4661351012014683,0.2730611422571254,0.4607679952738773,0.47310911546029044,0.26735180163389366,0.2751737433376014
4,2.0,0.46355242571056376,0.4616296433592975,0.4655285544452928,0.27322757943875425,0.2719639088068934,0.27452031958953926,0.5895611524442146,0.5861846454793285,0.5930971678976311,0.4649081442580498,0.27281190301589775,0.45735023036368344,0.46800996343444407,0.26973006031625246,0.2775531950181701
4,3.0,0.46571771640404735,0.4638210345844082,0.4675928070911326,0.2738899416920654,0.27247243774613805,0.27532241052733386,0.588220457074331,0.5848082340431724,0.5917697068040337,0.46525048824215864,0.2738727776367681,0.46076153069857484,0.4707055257526163,0.2699292412360648,0.2781363642738323
16,0.5,0.49951647337862454,0.4707799721352469,0.5295349399522977,0.17138062166456233,0.1693653666949164,0.1734221171129793,0.36289427973383503,0.34187080132278264,0.38359819613141644,0.48481395744297534,0.17107111808034375,0.38038792530962595,0.6079512024557128,0.16550655036371115,0.17766596258460116
16,0.75,0.35743361653910943,0.35318686322036635,0.36162169392402027,0.17036649218346245,0.16856261127737382,0.17210089541183737,0.477688862823434,0.47054270787227465,0.4847198391077146,0.3573776487519549,0.1706950189379762,0.34654000424966397,0.3708186940668082,0.16523774545266376,0.17481655921540265
16,1.0,0.3569696349305405,0.35433288362098664,0.3596318587951342,0.1719217540093233,0.16989462086796903,0.1739168423596997,0.48181553828697754,0.4761831522796677,0.4875333145206281,0.35683584084360714,0.17301868184077995,0.35124383873245735,0.3639358067289869,0.16718587354302744,0.17641091170072484
16,1.25,0.35515799979392626,0.3524724749867274,0.3578476328132079,0.17203408079649335,0.16978874888093987,0.17427677241853648,0.4846504047138419,0.47831157686597714,0.4911992562926515,0.35470500986273656,0.17179867975180846,0.34848986384318564,0.3626567586728202,0.16514518880191284,0.17725037568924587
16,1.5,0.35812075042760994,0.35542210634425664,0.360801486112955,0.17260819760696958,0.17057759183410967,0.1746426527839975,0.48229050537047335,0.47616018060059967,0.4885653613179951,0.3579012820618558,0.17260293390709902,0.3511890761777352,0.36633285331086746,0.16830616515789232,0.17825191757503753
16,1.75,0.35668555376591354,0.35390585550747744,0.35949106814607973,0.17140923103719286,0.16943101995488866,0.17341020397537196,0.48074653893548425,0.47551952366541417,0.4860244654423618,0.3561428652845628,0.17132269242411446,0.34967285634951445,0.36324086768095903,0.164645531292536,0.17776995686707836
16,2.0,0.35779632934084904,0.35506074050548697,0.3603611152338866,0.17209593386641947,0.17018407712186526,0.17398545460345105,0.48132148783802753,0.4754770082133584,0.4871811196397653,0.35880992560066893,0.17115371470738827,0.35116459009506007,0.36607974902703166,0.16616998400941596,0.1778615763494132
16,3.0,0.35510063096006417,0.3524043441964594,0.35792587166503137,0.17096128706049257,0.16904923078775216,0.1728752135029649,0.48185109818645944,0.47563142540305126,0.4880122252649081,0.35408169318099747,0.17129411921247,0.346745876585204,0.36147956717818563,0.16511205426495223,0.17566045160104643
64,0.5,0.22827724928912285,0.22491646856929715,0.2315997104821039,0.10239720335182381,0.10046008770881387,0.10439964253278784,0.44973812215053854,0.43978731301622187,0.4597617057944384,0.22720526349762177,0.102353301363163,0.21915088312782063,0.24066028511513762,0.09668171597281802,0.10763096069615341
