d,sigma,r_eff,J,omega_nominal,delta_norm,s_norm,B_b,N_b,delta_dot_vsig,var_pw_e,var_pw_clean,cross_pw,var_zo_e,var_zo_clean,cross_zo,var_wml_e,var_wml_clean,cross_wml,pre_pw_clean_meannorm,pre_zo_clean_meannorm,pre_wml_clean_meannorm,mse_pw,cos_pw,post_pw_bias2,post_pw_var,mse_zo,cos_zo,post_zo_bias2,post_zo_var,mse_wml,cos_wml,post_wml_bias2,post_wml_var,G,err_pw_total,err_pw_cleanoff,err_pw_erroroff,err_pw_baseline,err_zo_total,err_zo_cleanoff,err_zo_erroroff,err_zo_baseline,err_wml_total,err_wml_cleanoff,err_wml_erroroff,err_wml_baseline,ess_med,ess_min,eta_at_bound,nonfinite,wml0_checksum,A_eff,L_eff,omega_eff,orth_resid,delta_norm_conditional,delta_norm_pooled,cancellation_ratio,A_eff_numeric_ratio,L_eff_numeric_ratio
4,0.4,0.5,1,2.5,0.21891667943780585,0.3264273849018676,0.6703381033943526,0.1748594894376648,-0.1262996352829649,0.06383418626123602,0.020085811823589234,-0.002238779190922654,0.27155804086906854,0.22848129152407293,-0.011983471423694075,0.018665656878237673,0.023469613063446894,-0.008749300937259863,1.0001924388033427,0.9697660763269258,0.3264273849018676,0.11430844963886612,0.7142288759028348,0.5184291814961524,0.05311306669817842,0.14298280986436632,0.6425429753390842,0.5041062078599262,0.2108078414619054,0.16178661248231863,0.5955334687942035,0.5350147457660733,0.27391831664551985,0.04747816284345249,0.11430844963886612,0.11317531506915256,0.11105676365849673,0.0030011071256184196,0.14298280986436632,0.13018702771957405,0.1303328602592515,0.02821534379081752,0.16178661248231863,0.1395814559994512,0.15021352508126873,0.031410598240469594,14.346933005260713,11.699035525546465,0.0,0.0,-25.861763731521364,1.0,2.5,2.5,3.5706550983648197e-16,0.21891667943780585,0.03717064472691255,0.1697935708798868,1.0,0.9999999999999998
4,0.4,0.5,4,5.0,0.12067065625867235,0.3264273849018676,0.3697889452484786,0.10870292141039407,-0.08378354939001997,0.09636034770466337,0.020085811823589234,-0.0016883275283218636,0.09494609223776174,0.22848129152407293,-0.002775165977806811,0.011589589268993913,0.023469613063446894,-0.00499170596095906,1.0001924388033427,0.9697660763269258,0.3264273849018676,0.02552865871871003,0.9361783532032248,0.04553698907375661,0.08210630451979367,0.04987762978306293,0.8753059255423427,0.05630743323805342,0.19308071567726132,0.08302869672201874,0.7924282581949531,0.12997606368747938,0.2851674199226144,0.057500038003308704,0.02552865871871003,0.022903941996634546,0.01200572105775745,0.0030011071256184196,0.04987762978306293,0.02366668831140436,0.037381234330933724,0.02821534379081752,0.08302869672201874,0.050305212614426206,0.07195672108629089,0.031410598240469594,14.158925389544446,11.030942703503172,0.0,0.0,-25.861763731521364,1.0,2.5,2.5,3.5706550983648197e-16,0.12067065625867235,0.022463470884661087,0.18615520608844524,0.9999999999999998,0.9999999999999994
4,0.4,0.75,1,3.75,0.20164008154578578,0.3276217499679669,0.6153440781085688,0.15915366056284352,-0.14262697162519566,0.19859506445032443,0.019918943422472402,0.004427808506274757,0.359665101863306,0.22895685871306276,0.018300539641550047,0.01707839113700596,0.02332748503784775,-0.00943961446170605,0.9997637813253214,0.9705776378174119,0.3276217499679669,0.09696363375177869,0.7575909156205534,0.3823618456848634,0.1024563230740301,0.13270462936477567,0.6682384265880609,0.40545806774217996,0.25806507908169846,0.15108846206413734,0.6222788448396567,0.41995493864842803,0.33548737167225884,0.05412482831235865,0.09696363375177869,0.09477572715274063,0.09012467232376184,0.002977991398585819,0.13270462936477567,0.11726352582649463,0.10732171708613128,0.028136267847885282,0.15108846206413734,0.12649891236049352,0.1411573089401102,0.030909533840117437,14.778640153101124,12.212244630649687,0.0,0.0,14.56484254767693,1.0,3.75,3.75,3.699053015138009e-16,0.20164008154578578,0.019103365280261204,0.09473992042560975,1.0,0.9999999999999998
4,0.4,0.75,4,7.5,0.09145482899297677,0.3276217499679669,0.27911318865797874,0.10136684726880196,-0.08980298817735351,0.22036098604916785,0.019918943422472402,0.0004081905084478976,0.09500322328600945,0.22895685871306276,-0.0008506835117970337,0.010875366902611077,0.02332748503784775,-0.005386695697667003,0.9997637813253214,0.9705776378174119,0.3276217499679669,0.03425892787104612,0.9143526803223847,0.008305247564724009,0.1629893917905067,0.04138506790367316,0.896537330240817,0.011619576076261073,0.19530576344210482,0.0683974818894832,0.829006295276292,0.03478943538515069,0.3071979740622654,0.03413855401843709,0.03425892787104611,0.03151033995054726,0.0031636626244815973,0.002977991398585819,0.041385067903673155,0.014836331206196672,0.028126485390231278,0.028136267847885282,0.0683974818894832,0.030907072199576772,0.05790234322574361,0.030909533840117437,14.104007632471138,10.956982545346545,0.0,0.0,14.56484254767693,1.0,3.75,3.75,3.699053015138009e-16,0.09145482899297677,0.01628622657263739,0.17807946012219958,0.9999999999999997,0.9999999999999997
4,0.4,1.0,1,5.0,0.17045451878093593,0.32688016795236624,0.5214582666038647,0.15103995115311059,-0.1482289623148385,0.38426731151070037,0.019844012614476728,0.004739532872054,0.3784426655776297,0.22986716751884717,0.01212559689667768,0.016127214772480934,0.023355607805677796,-0.009512714139840728,0.9999481442655191,0.9696689524401129,0.32688016795236624,0.06155650888744567,0.8461087277813859,0.10420828226580842,0.20357426217141994,0.09367548431367251,0.7658112892158188,0.1462323605798087,0.32214506098855394,0.12924934252232365,0.6768766436941909,0.22625388586230402,0.4199928267493142,0.06769283363487798,0.06155650888744567,0.05894810710355909,0.027429799251397893,0.002966720124351575,0.09367548431367251,0.07239253517647333,0.05117406775779795,0.028217094813444477,0.12924934252232365,0.09673277991460294,0.11599937290897828,0.031084347198873673,14.83073324820593,12.287464489516399,0.0,0.0,10.63872043678878,1.0,5.0,5.0,3.6640010183821007e-16,0.17045451878093593,0.013198324071113036,0.07743018000053849,1.0,1.0
4,0.4,1.0,4,10.0,0.08965569077643887,0.32688016795236624,0.2743156178322079,0.10543765429270399,-0.08955596589650328,0.39238916639654614,0.019844012614476728,-0.00028869283487397416,0.09503346916861222,0.22986716751884717,0.0014344123396047483,0.01126048999675101,0.023355607805677796,-0.005104086893131262,0.9999481442655191,0.9696689524401129,0.32688016795236624,0.056285513816593816,0.8592862154585155,0.020272796399471806,0.2611547726834974,0.041762390579531586,0.895594023551171,0.011283743701216844,0.19752820919644115,0.06934212599257603,0.8266446850185599,0.030680130522647158,0.3160304994402331,0.01305661217598221,0.056285513816593816,0.05388337903776952,0.0030510488149554493,0.002966720124351575,0.041762390579531586,0.014935080519611541,0.028265570671581967,0.028217094813444477,0.06934212599257603,0.03105450753588329,0.0573222030631007,0.031084347198873673,14.111853882779837,10.832111353818052,0.0,0.0,10.63872043678878,1.0,5.0,5.0,3.6640010183821007e-16,0.08965569077643887,0.007031590235950831,0.07842882225384296,0.9999999999999978,0.9999999999999998
4,0.4,1.25,1,6.25,0.16127294063378605,0.3266523908813122,0.49369679248376386,0.15624463113671858,-0.15628435759416362,0.6113920118744611,0.02006507431396848,0.0022681990318125624,0.37872782914414754,0.227253339692495,0.0028794228611705094,0.016683513357537427,0.023434674379932484,-0.009073960099248515,1.0006701394774389,0.9704043044136682,0.3266523908813122,0.07265425325460362,0.818364366863491,0.055610144457080915,0.3076611218159372,0.0831063040953908,0.7922342397615231,0.06114885716595972,0.35438266331099433,0.12423202101486192,0.6894199474628453,0.12860840733314366,0.49255169774116603,0.0515777677602583,0.07265425325460362,0.07024790592558146,0.007594765192117756,0.0029937588895193254,0.0831063040953908,0.06015813199934805,0.03361926114017033,0.028094196709999693,0.12423202101486192,0.08418011503524918,0.10589947647242337,0.031379707711829,14.774876622815329,12.237882535072444,0.0,0.0,17.05297688690885,1.0,6.25,6.25,3.626886275513759e-16,0.16127294063378605,0.016301275904950726,0.10107880367833803,1.0,0.9999999999999999
4,0.4,1.25,4,12.5,0.08934540136559084,0.3266523908813122,0.2735350297241532,0.10403994440220439,-0.08923913786335466,0.6114125420254105,0.02006507431396848,-0.0010946620346930476,0.09397735419535436,0.227253339692495,-0.00034774427672997914,0.01109779549585449,0.023434674379932484,-0.004926473683602911,1.0006701394774389,0.9704043044136682,0.3266523908813122,0.08097176510519377,0.7975705872370156,0.04169772270952379,0.36316110281644515,0.04130921225998761,0.8967269693500309,0.010998636774971766,0.19554742452496635,0.06949993233615985,0.8262501691596004,0.03077905421457494,0.3167206074662244,-0.011471832769033918,0.08097176510519377,0.07888152559007716,0.0031894265590330516,0.0029937588895193254,0.04130921225998761,0.014675742637220664,0.02814789981911999,0.028094196709999693,0.06949993233615986,0.03067860926415488,0.05761410735229764,0.031379707711829,14.091970210478365,10.866661449404791,0.0,0.0,17.05297688690885,1.0,6.25,6.25,3.626886275513759e-16,0.08934540136559084,0.006796708059954468,0.07607227631272415,0.9999999999999984,0.9999999999999989
4,0.4,1.5,1,7.5,0.1538752155840842,0.3264336490078671,0.47139518787458656,0.15238940576077925,-0.1526436183385403,0.8725384926925333,0.020043945130340805,0.001275252492626371,0.3786803552489959,0.22934321540240638,0.0019916781298600413,0.016232628694352984,0.02326906380264704,-0.008730269537385881,1.0002647447951567,0.9689065665130505,0.3264336490078671,0.08497336300001779,0.7875665924999555,0.056564954156964053,0.3683018608431249,0.07750329826453226,0.8062417543386693,0.04059553169081277,0.34692095963184855,0.11661943350077938,0.7084514162480515,0.09290892506216253,0.4901882424417344,0.031646070500761604,0.08497336300001779,0.08292980579684318,0.0037277741128511847,0.002994134875817459,0.07750329826453226,0.05515499800283485,0.028721338635491103,0.02834942622048837,0.11661943350077938,0.07458186780045341,0.09738252481973698,0.031114995590522963,14.751209090149503,12.258817573419424,0.0,0.0,24.282686372621452,1.0,7.5,7.5,3.6328545319089184e-16,0.1538752155840842,0.018155131116103857,0.11798606453411006,1.0,1.0000000000000002
4,0.4,1.5,4,15.0,0.08970019141735454,0.3264336490078671,0.2748094092049825,0.10451611322954574,-0.08958401349694903,0.875624231758631,0.020043945130340805,-0.0004873943205869014,0.09489951031234586,0.22934321540240638,-0.0009553081125823458,0.011133150804458296,0.02326906380264704,-0.005119224304887412,1.0002647447951567,0.9689065665130505,0.3264336490078671,0.10644344240955261,0.7338913939761185,0.07176541892474275,0.46045179312302037,0.041690195926617574,0.8957745101834561,0.011206968235122877,0.1972440113979651,0.06914994093359494,0.8271251476660126,0.030535779153706602,0.31521392551426825,-0.03729350147595766,0.10644344240955261,0.10480547857887021,0.00327964708518216,0.002994134875817459,0.041690195926617574,0.014926213562758892,0.02847453885887563,0.02834942622048837,0.06914994093359494,0.030899751406863345,0.057296196816065195,0.031114995590522963,14.099366207255732,10.824875053609913,0.0,0.0,24.282686372621452,1.0,7.5,7.5,3.6328545319089184e-16,0.08970019141735454,0.009755243625287098,0.10875387745716365,0.9999999999999973,1.0
