arm,d,rank,sigma,omega,R,r_rms,product
rank1,1,1,0.01,54.68533292886767,7.254186915149686,0.5797585417956357,2.438277064972308
rank1,1,1,0.01,73.83217516953168,3.626814971632164,0.772694988956333,2.1654172466072588
rank1,1,1,0.01,99.68285458470345,1.643828849607727,0.996642375046413,1.6328086600214207
rank1,1,1,0.01,134.58456933361077,0.7783928478315622,1.3448935001842497,1.4079091328879725
rank1,1,1,0.01,181.70633634214732,0.33816670350093975,1.8174942931081932,1.1170611701108948
rank1,1,1,0.01,245.3267327032263,0.17324454956795582,2.453268177009647,1.04267660908772
rank1,1,1,0.013501275609964631,40.503826829893846,5.833613648050337,0.5224530827040819,1.5923269850843849
rank1,1,1,0.013501275609964631,54.68533292886767,3.558855259533319,0.7651517119914094,2.083557230331279
rank1,1,1,0.013501275609964631,73.83217516953168,1.6619303934534226,1.0154861442079193,1.7138027461743779
rank1,1,1,0.013501275609964631,99.68285458470345,0.7703543625995216,1.34579670061061,1.3952417551880352
rank1,1,1,0.013501275609964631,134.58456933361077,0.3549730063290939,1.8169980977991091,1.1719370219080114
rank1,1,1,0.013501275609964631,181.70633634214732,0.1731121924457667,2.4532698676908264,1.041881450505622
rank1,1,1,0.018228444309622584,29.99999999999996,6.297169790637268,0.5422971128365159,1.8519104737226781
rank1,1,1,0.018228444309622584,40.503826829893846,3.145745190487038,0.7180132618154882,1.6217670516016274
rank1,1,1,0.018228444309622584,54.68533292886767,1.6593967384297177,1.0114377411873865,1.697573324745543
rank1,1,1,0.018228444309622584,73.83217516953168,0.7386680673250573,1.3507181413697915,1.3476551975147661
rank1,1,1,0.018228444309622584,99.68285458470345,0.3517318008056387,1.8170600064107567,1.1613153723725467
rank1,1,1,0.018228444309622584,134.58456933361077,0.1739648206565637,2.4532669421894187,1.0470105244612984
rank1,1,1,0.024610725056510595,22.22012265112078,6.354013333707623,0.5451544269005815,1.8883705033109666
rank1,1,1,0.024610725056510595,29.99999999999996,3.2826245515089996,0.7345551984722682,1.7712101266702045
rank1,1,1,0.024610725056510595,40.503826829893846,1.634515741809184,0.9855583778261874,1.5876465195887661
rank1,1,1,0.024610725056510595,54.68533292886767,0.746327047317335,1.349667219951936,1.3595105469591813
rank1,1,1,0.024610725056510595,73.83217516953168,0.3407649335641963,1.8173966469201455,1.1255229170153538
rank1,1,1,0.024610725056510595,99.68285458470345,0.1735850172679233,2.453267307237774,1.044724981580366
rank1,1,1,0.03322761819490119,16.457795021028378,5.547981044228843,0.5087608928964468,1.4360263543219147
rank1,1,1,0.03322761819490119,22.22012265112078,3.2980308175934834,0.736918709321514,1.7909929447893866
rank1,1,1,0.03322761819490119,29.99999999999996,1.641500167320378,0.9947518678730075,1.624315759451116
rank1,1,1,0.03322761819490119,40.503826829893846,0.7900903488858628,1.3428665913096258,1.424762564127882
rank1,1,1,0.03322761819490119,54.68533292886767,0.3428654567643221,1.817324859234012,1.1323713360282657
rank1,1,1,0.03322761819490119,73.83217516953168,0.17305698640081166,2.453269292044784,1.041548702312529
rank1,1,1,0.04486152311120365,12.189807464475196,6.125317899592232,0.5357328286663194,1.758025430483808
rank1,1,1,0.04486152311120365,16.457795021028378,3.0643640163918526,0.7064759435880262,1.5294493887609029
rank1,1,1,0.04486152311120365,22.22012265112078,1.6421152579238676,0.9960557126716063,1.6291868561647518
rank1,1,1,0.04486152311120365,29.99999999999996,0.7726381292957364,1.3452987775597207,1.3983427390757641
rank1,1,1,0.04486152311120365,40.503826829893846,0.3588263039081415,1.8168590226719894,1.184477271513456
rank1,1,1,0.04486152311120365,54.68533292886767,0.17355129431390398,2.453268868820725,1.0445233490345665
rank1,1,1,0.06056877878071584,9.028633898472895,5.889858234164045,0.5248086841573045,1.622209227019596
rank1,1,1,0.06056877878071584,12.189807464475196,3.2313929645851043,0.729107580199295,1.7178015961155286
rank1,1,1,0.06056877878071584,16.457795021028378,1.634716604683687,0.9790771873066986,1.5670264862593242
rank1,1,1,0.06056877878071584,22.22012265112078,0.7713216980509165,1.3456422663143242,1.3966731627012068
rank1,1,1,0.06056877878071584,29.99999999999996,0.3522858029979162,1.8170258818466591,1.1631008378008958
rank1,1,1,0.06056877878071584,40.503826829893846,0.17498258389195634,2.453266122078281,1.0531352474022952
rank1,1,1,0.0817755775677422,6.687245086537825,6.983559597541135,0.5695580014106534,2.2654410127891103
rank1,1,1,0.0817755775677422,9.028633898472895,3.162294261564684,0.7199882276238558,1.6392797377201538
rank1,1,1,0.0817755775677422,12.189807464475196,1.6397148894603544,0.991737337865572,1.6127300151389006
rank1,1,1,0.0817755775677422,16.457795021028378,0.8038052786930155,1.34114123322062,1.4457722477968729
rank1,1,1,0.0817755775677422,22.22012265112078,0.3522768972454224,1.8170494237217096,1.163101573046005
rank1,1,1,0.0817755775677422,29.99999999999996,0.17445328445446304,2.453267106021483,1.0499504931920225
rank1,1,1,0.11040746109061289,4.953046867365847,5.388018347140996,0.5018756342188418,1.3571294934374982
rank1,1,1,0.11040746109061289,6.687245086537825,3.483550396864757,0.7569062935686055,1.995750885312166
rank1,1,1,0.11040746109061289,9.028633898472895,1.6347925696273875,0.9866621950181947,1.591474305430582
rank1,1,1,0.11040746109061289,12.189807464475196,0.7804700466267579,1.3445032396578587,1.4108470880299298
rank1,1,1,0.11040746109061289,16.457795021028378,0.36334577258765716,1.816740481885315,1.1992394285267565
rank1,1,1,0.11040746109061289,22.22012265112078,0.17423593908433876,2.453267244837104,1.0486425145178375
rank1,1,1,0.14906415615808105,3.6685769629872937,6.448489121643234,0.5485780385473721,1.9405945447222914
rank1,1,1,0.14906415615808105,4.953046867365847,3.0106366699596943,0.7006385056871686,1.477904427775321
rank1,1,1,0.14906415615808105,6.687245086537825,1.6571759410397366,1.0069826431944113,1.6803996770874439
rank1,1,1,0.14906415615808105,9.028633898472895,0.7878379287893632,1.3431595562560756,1.4213207546871989
rank1,1,1,0.14906415615808105,12.189807464475196,0.35441990383410166,1.816971335739864,1.1700764957047278
rank1,1,1,0.14906415615808105,16.457795021028378,0.1750022580431463,2.453265423006618,1.0532530563090192
rank1,1,1,0.2012556255857059,2.717207669088465,5.889246352932358,0.5252686907294994,1.6248854563931123
rank1,1,1,0.2012556255857059,3.6685769629872937,3.326769186728532,0.739744374737771,1.8204804227941789
rank1,1,1,0.2012556255857059,4.953046867365847,1.6257920655633917,0.9757768311375792,1.5479823469419656
rank1,1,1,0.2012556255857059,6.687245086537825,0.7551541321803318,1.3485066681911924,1.3732253115699222
rank1,1,1,0.2012556255857059,9.028633898472895,0.3588957513922144,1.8168791365564563,1.184732747225081
rank1,1,1,0.2012556255857059,12.189807464475196,0.1740817495216862,2.4532667843812748,1.0477141282314684
rank1,1,1,0.2717207669088465,2.012556255857059,6.69288375149456,0.5596000874501136,2.0958916584698986
rank1,1,1,0.2717207669088465,2.717207669088465,3.1620732569154724,0.7203735546625988,1.6409201560108246
rank1,1,1,0.2717207669088465,3.6685769629872937,1.6458020089332748,0.9976112769859522,1.6379486696050403
rank1,1,1,0.2717207669088465,4.953046867365847,0.8061176195782666,1.340259252024762,1.4480249387303936
rank1,1,1,0.2717207669088465,6.687245086537825,0.3454237469520906,1.8172455207354437,1.1407209165115533
rank1,1,1,0.2717207669088465,9.028633898472895,0.1750301264154459,2.4532662406915704,1.0534214846411865
rank1,1,1,0.3668576962987294,1.4906415615808106,5.512204183010445,0.5076003265961139,1.4202640100861739
rank1,1,1,0.3668576962987294,2.012556255857059,3.3920194755481012,0.7487940311393172,1.901879883422769
rank1,1,1,0.3668576962987294,2.717207669088465,1.6353013496347573,0.9868773620299269,1.5926640192924248
rank1,1,1,0.3668576962987294,3.6685769629872937,0.7703730299199436,1.3460515963376718,1.3958041490907571
rank1,1,1,0.3668576962987294,4.953046867365847,0.3654600941893966,1.8166798297986644,1.2061373060925322
rank1,1,1,0.3668576962987294,6.687245086537825,0.17402853937117915,2.4532684010615076,1.0473952624336755
rank1,1,1,0.4953046867365847,1.1040746109061288,5.883131978732242,0.5237511753488239,1.613833076499866
rank1,1,1,0.4953046867365847,1.4906415615808106,3.047587569190758,0.705493630776216,1.5168491342412789
rank1,1,1,0.4953046867365847,2.012556255857059,1.6435997572672887,1.0025693635042932,1.6520566181667857
rank1,1,1,0.4953046867365847,2.717207669088465,0.7878502751799521,1.3432166339331923,1.4214638312810832
rank1,1,1,0.4953046867365847,3.6685769629872937,0.35078925009197626,1.8170774707494868,1.158225609845074
rank1,1,1,0.4953046867365847,4.953046867365847,0.17504421641399134,2.453265065304957,1.0535052760198107
rank1,1,1,0.6687245086537824,0.8177557756774221,6.703424779563937,0.5586574219733047,2.092126238589882
rank1,1,1,0.6687245086537824,1.1040746109061288,3.1681400378037883,0.7191019672475373,1.638269415918243
rank1,1,1,0.6687245086537824,1.4906415615808106,1.6272187252832244,0.9785227935895826,1.5580730882320974
rank1,1,1,0.6687245086537824,2.012556255857059,0.7593855470400485,1.3473528278815152,1.3785578754223449
rank1,1,1,0.6687245086537824,2.717207669088465,0.3579382033525949,1.8168830548150172,1.181576929794649
rank1,1,1,0.6687245086537824,3.6685769629872937,0.17351410024815142,2.453267410215201,1.044298253714571
rank1,1,1,0.9028633898472894,0.6056877878071585,5.990489943319088,0.5287142818063238,1.6745743209614627
rank1,1,1,0.9028633898472894,0.8177557756774221,3.4032474575274922,0.7480229210915548,1.9042472644596982
rank1,1,1,0.9028633898472894,1.1040746109061288,1.6427330731104655,0.9861670657700286,1.5975997730825564
rank1,1,1,0.9028633898472894,1.4906415615808106,0.8004823568261146,1.3409932377891358,1.4394776954044524
rank1,1,1,0.9028633898472894,2.012556255857059,0.3485508656208192,1.8171665765029714,1.150947849895665
rank1,1,1,0.9028633898472894,2.717207669088465,0.17450840266295659,2.453266263797722,1.0502815020659402
rank1,1,1,1.2189807464475195,0.4486152311120365,6.75937239836513,0.5605866559525846,2.124182787647729
rank1,1,1,1.2189807464475195,0.6056877878071585,3.1973997119721935,0.7232561220328636,1.6725579286315237
rank1,1,1,1.2189807464475195,0.8177557756774221,1.6521378562483195,1.0021483168136749,1.659244112372735
rank1,1,1,1.2189807464475195,1.1040746109061288,0.7919035797296807,1.343028175442956,1.4283760309654092
rank1,1,1,1.2189807464475195,1.4906415615808106,0.3626776063042478,1.816730307158082,1.197020706950394
rank1,1,1,1.2189807464475195,2.012556255857059,0.17412468086187155,2.4532679356065947,1.0479734948194652
rank1,1,1,1.6457795021028379,0.33227618194901193,6.701715975300751,0.5594462757680868,2.0975039738363344
rank1,1,1,1.6457795021028379,0.4486152311120365,3.4201910260399235,0.7496004733563285,1.9218083119215883
