d,sigma,omega,r,amplitude,lin_resid_pw,lin_resid_zo,lin_resid_wml,gstar_norm,var_pw_e,var_pw_clean,var_pw_tot,var_pw_e_sub,cross_pw,var_zo_e,var_zo_clean,var_zo_tot,var_zo_e_sub,cross_zo,var_wml_e,var_wml_clean,var_wml_tot,var_wml_e_sub,cross_wml,pre_pw_clean_bias2,pre_pw_clean_var,pre_pw_clean_mse,pre_pw_clean_meannorm,pre_pw_tot_bias2,pre_pw_tot_var,pre_pw_tot_mse,pre_pw_tot_meannorm,pre_pw_err_bias2,pre_pw_err_var,pre_pw_err_mse,pre_pw_err_meannorm,pre_zo_clean_bias2,pre_zo_clean_var,pre_zo_clean_mse,pre_zo_clean_meannorm,pre_zo_tot_bias2,pre_zo_tot_var,pre_zo_tot_mse,pre_zo_tot_meannorm,pre_zo_err_bias2,pre_zo_err_var,pre_zo_err_mse,pre_zo_err_meannorm,pre_wml_clean_meannorm,pre_wml_clean_var,pre_wml_clean_nsr,pre_wml_clean_cosmean,pre_wml_tot_meannorm,pre_wml_tot_var,pre_wml_tot_nsr,pre_wml_tot_cosmean,pre_wml_err_meannorm,pre_wml_err_var,pre_wml_err_nsr,pre_wml_err_cosmean,post_pw_sphere,post_pw_bias2,post_pw_var,cos_pw,mse_pw,post_zo_sphere,post_zo_bias2,post_zo_var,cos_zo,mse_zo,post_wml_sphere,post_wml_bias2,post_wml_var,cos_wml,mse_wml,mse_pw_committed,mse_zo_committed,mse_wml_committed,win_wml_vs_pw,win_zo_vs_pw,err_pw_total,err_pw_cleanoff,err_pw_erroroff,err_pw_baseline,err_zo_total,err_zo_cleanoff,err_zo_erroroff,err_zo_baseline,err_wml_total,err_wml_cleanoff,err_wml_erroroff,err_wml_baseline,ess_med,ess_min,eta_at_bound,nonfinite,om_supnorm,ratio_e,ratio_e_wml,mse_ratio_zo_pw,mse_ratio_wml_pw
4,0.4,2.5,0.5,0.25,5.84605199535973e-16,8.90875372604183e-16,0.4254731647978577,1.0,0.003823273247814204,0.02005228005776196,0.0237994470434495,0.0037471669856875387,-7.610626212666509e-05,0.017283530851973844,0.225820984002864,0.23411207817072566,0.008291094167861668,-0.008992436684112181,0.0028873844457576454,0.023425387959104697,0.024109346325938908,0.0006839583668342111,-0.0022034260789234347,4.3679666058234716e-05,0.02005228005776196,0.020095959723820195,1.0005610262676052,0.0758661491582264,0.0237994470434495,0.09966559620167591,0.9945983561057419,0.07597570712282334,0.003823273247814204,0.07979898037063754,0.2576148565161179,0.0016715222904037724,0.225820984002864,0.22749250629326778,0.965746369096375,0.07547940034834702,0.23411207817072566,0.3095914785190727,0.9606816090299741,0.07103966946221497,0.017283530851973844,0.08832320031418882,0.248859814078195,0.32629166054274455,0.023425387959104697,0.22010898494979395,0.999846757607549,0.31995484292468396,0.024109346325938908,0.23564163611052644,0.9574979014261437,0.08792417636770955,0.0028873844457576454,1.3899892354424246,-0.19216325719218602,0.08040020322817586,0.06166279349173943,0.01873740973643645,0.9597998983859122,0.016080040645635153,0.20951592921039058,0.06513168360640981,0.1443842456039808,0.8952420353948047,0.0419031858420781,0.24625810634638995,0.086098875473834,0.16015923087255593,0.8768709468268051,0.04925162126927797,0.016080040645635167,0.04190318584207811,0.049251621269277984,0.18798828125,0.1749267578125,0.016080040645635153,0.013046474165480267,0.015475144309616827,0.0029932608699477824,0.0419031858420781,0.015386381944071485,0.042471190657159846,0.028182955712110557,0.04925162126927797,0.02150345938355241,0.048755644647421804,0.03129805770561679,14.923523315908984,12.351220682631219,0.0,0.0,2.5,4.520610935107758,0.7552126825903397,2.6059129305405397,3.062904028333229
4,0.4,2.5,0.5,1.0,8.184506674821512e-16,1.1184426323453123e-15,0.3790748556558624,1.0,0.06117237196502726,0.02005228005776196,0.08092022697428256,0.060867946916520595,-0.0003044250485066617,0.2765364936315815,0.225820984002864,0.4663877308979968,0.2405667468951328,-0.035969746736448725,0.019745360054729096,0.023425387959104697,0.03167031272821803,0.008244924769113331,-0.011500435285615769,4.3679666058234716e-05,0.02005228005776196,0.020095959723820195,1.0005610262676052,1.2150420431086113,0.08092022697428256,1.2959622700828939,1.322232762646816,1.2156113139651734,0.06117237196502726,1.2767836859302006,1.0304594260644715,0.0016715222904037724,0.225820984002864,0.22749250629326778,0.965746369096375,1.1493790680687566,0.4663877308979968,1.6157667989667535,1.2796102886739218,1.1366347113954396,0.2765364936315815,1.413171205027021,0.99543925631278,0.32629166054274455,0.023425387959104697,0.22010898494979395,0.999846757607549,0.2884595959278665,0.03167031272821803,0.44996349115403983,0.5924356172143539,0.26443242018027896,0.019745360054729096,0.40083676020676184,-0.5748480549785079,0.7651741946645957,0.7189763341878691,0.046197860476726624,0.6174129026677022,0.15303483893291914,0.8893070136996969,0.6956173930434931,0.1936896206562038,0.5553464931501516,0.17786140273993936,0.9795908483244494,0.7269202504052269,0.25267059791922264,0.5102045758377753,0.19591816966488987,0.1530348389329191,0.17786140273993936,0.19591816966488984,0.356964111328125,0.376007080078125,0.15303483893291914,0.15112839803026246,0.15144588455713967,0.0029932608699477824,0.17786140273993936,0.16588529734923768,0.167010092771268,0.028182955712110557,0.19591816966488987,0.1792414548976312,0.18987344706313283,0.03129805770561679,14.490933091974716,11.783154326412152,0.0,0.0,2.5,4.520610935107758,0.32278231856070055,1.1622281826813476,1.28021939991565
4,0.4,2.5,0.5,4.0,3.0010716134398763e-15,3.6290415117434804e-15,0.43732189055874615,1.0,0.9787579514404362,0.02005228005776196,0.9975925313041716,0.9775402512464095,-0.0012177001940266454,4.424583898105304,0.225820984002864,4.5065258951623735,4.28070491115951,-0.1438789869457949,0.03250106434318548,0.023425387959104697,0.03785770467671182,0.014432316717607118,-0.018068747625578363,4.3679666058234716e-05,0.02005228005776196,0.020095959723820195,1.0005610262676052,19.447372901018355,0.9975925313041716,20.444965432322526,4.10535048604161,19.449781023442775,0.9787579514404362,20.42853897488321,4.121837704257886,0.0016715222904037724,0.225820984002864,0.22749250629326778,0.965746369096375,18.23211824214909,4.5065258951623735,22.738644137311468,3.9687646774086853,18.186155382327033,4.424583898105304,22.610739280432337,3.98175702525112,0.32629166054274455,0.023425387959104697,0.22010898494979395,0.999846757607549,0.27157527830265626,0.03785770467671182,1.2664563574774852,0.17570586989988324,0.38430118845530226,0.03250106434318548,0.258682824734401,-0.7345830454467833,1.7514634666026296,1.691349835067128,0.06011363153550145,0.12426826669868525,0.3502926933205259,1.8260300827690163,1.5770463244240882,0.2489837583449278,0.08698495861549192,0.36520601655380325,1.7574089816216052,1.4191818832872602,0.3382270983343449,0.12129550918919746,0.351481796324321,0.35029269332052587,0.3652060165538032,0.35148179632432097,0.50372314453125,0.45440673828125,0.3502926933205259,0.3501807961469339,0.35927893823925156,0.0029932608699477824,0.36520601655380325,0.3610423111919832,0.3590427847196612,0.028182955712110557,0.351481796324321,0.3373214443905599,0.347261755888773,0.03129805770561679,14.875499281688189,12.436465927056693,0.0,0.0,2.5,4.520610935107758,0.033206437092392176,1.0425738918271734,1.0033945983643657
4,0.4,3.75,0.75,0.25,5.8075289369186045e-16,9.29493298735401e-16,0.360489774895346,1.0,0.012232546890837678,0.019999935002510117,0.03434562321587655,0.014345688213366436,0.0021131413225287565,0.022486929925337292,0.22872146838015736,0.2522808305555227,0.02355936217536532,0.0010724322500280357,0.004044933662761112,0.02321049839704893,0.02417695462367811,0.0009664562266291764,-0.0030784774361319353,4.579750685099694e-05,0.019999935002510117,0.020045732509361112,1.000832621671018,0.05008412373717285,0.03434562321587655,0.0844297469530494,0.993919678896912,0.05021572624919379,0.012232546890837678,0.06244827314003147,0.2043156103548742,0.001245887170418134,0.22872146838015736,0.22996735555057551,0.9721145510093286,0.05135749622347264,0.2522808305555227,0.3036383267789953,0.966713567483474,0.047612344430934365,0.022486929925337292,0.07009927435627165,0.2000125899278658,0.32628880197595017,0.02321049839704893,0.21809495401322146,0.9998418592970078,0.30515296965699235,0.02417695462367811,0.26042197657194005,0.9577545811620289,0.08812741119208059,0.004044933662761112,7.773055282079746,-0.402304566942712,0.06707955162010952,0.040027673656405104,0.027051877963704417,0.9664602241899453,0.013415910324021882,0.201251055992543,0.04655023934003991,0.1547008166525031,0.8993744720037286,0.040250211198508586,0.2622809192439675,0.08739465542463247,0.17488626381933509,0.8688595403780163,0.05245618384879349,0.013415910324021901,0.0402502111985086,0.0524561838487935,0.14617919921875,0.158599853515625,0.013415910324021882,0.010000095376740875,0.01109504101426403,0.0029880877349874307,0.040250211198508586,0.01197546047107189,0.037725477059880656,0.028189139488339336,0.05245618384879349,0.024054679145414638,0.05156215040749073,0.03105920239051989,14.8414949095741,12.17225002689311,0.0,0.0,3.75,1.838286836421634,0.3306697860108605,3.0001848720200894,3.9099980979201967
4,0.4,3.75,0.75,1.0,8.570889224041034e-16,1.0314015266854604e-15,0.3722520412147214,1.0,0.19572075025340285,0.019999935002510117,0.224173250546028,0.20417331554351786,0.008452565290115026,0.3597908788053967,0.22872146838015736,0.5928020761856662,0.36408060780550877,0.004289729000112146,0.01801309384589669,0.02321049839704893,0.0296736141635281,0.006463115766479169,-0.011549978079417522,4.579750685099694e-05,0.019999935002510117,0.020045732509361112,1.000832621671018,0.8027878174184637,0.224173250546028,1.0269610679644918,1.2096335039106028,0.8034516199871007,0.19572075025340285,0.9991723702405035,0.8172624414194968,0.001245887170418134,0.22872146838015736,0.22996735555057551,0.9721145510093286,0.7730404565538487,0.5928020761856662,1.3658425327395147,1.1798161030575232,0.7617975108949498,0.3597908788053967,1.1215883897003465,0.8000503597114632,0.32628880197595017,0.02321049839704893,0.21809495401322146,0.9998418592970078,0.23358418431257652,0.0296736141635281,0.6696109787005571,0.6654537422097243,0.23017356631781,0.01801309384589669,0.42821710509706845,-0.7250655003502021,0.6122887574093121,0.4882793721837068,0.12400938522560528,0.6938556212953441,0.1224577514818624,0.8009401639831223,0.514054706479179,0.2868854575039434,0.5995299180084389,0.16018803279662444,0.9180213291466217,0.5790651413852153,0.3389561877614065,0.5409893354266891,0.18360426582932432,0.12245775148186239,0.16018803279662444,0.18360426582932432,0.314544677734375,0.3427734375,0.1224577514818624,0.1201066148899777,0.11737882611305969,0.0029880877349874307,0.16018803279662444,0.1451287296841654,0.1354650510766304,0.028189139488339336,0.18360426582932432,0.16182199070566392,0.17471893431878488,0.03105920239051989,14.853131608763409,12.282974191226284,0.0,0.0,3.75,1.838286836421634,0.0920346658316752,1.3081085587330123,1.4993274301342903
4,0.4,3.75,0.75,4.0,3.164135620181696e-15,3.337607967779377e-15,0.4427119590526776,1.0,3.1315320040544457,0.019999935002510117,3.185342200217416,3.1653422652149055,0.033810261160460105,5.756654060886347,0.22872146838015736,6.002534445266952,5.773812976886795,0.01715891600044859,0.028209318801595835,0.02321049839704893,0.034238685714117194,0.011028187317068262,-0.017181131484527573,4.579750685099694e-05,0.019999935002510117,0.020045732509361112,1.000832621671018,12.85243331699851,3.185342200217416,16.037775517215927,3.3485112293751755,12.855225919793611,3.1315320040544457,15.986757923848057,3.269049765677987,0.001245887170418134,0.22872146838015736,0.22996735555057551,0.9721145510093286,12.229994295443538,6.002534445266952,18.232528740710492,3.2751893393475044,12.188760174319198,5.756654060886347,17.945414235205543,3.200201438845853,0.32628880197595017,0.02321049839704893,0.21809495401322146,0.9998418592970078,0.18692281154348214,0.034238685714117194,2.2555249976283025,0.28407808834211595,0.3322051187769074,0.028209318801595835,0.28951000416503136,-0.8480588343334381,1.5343945478041745,1.3260970071985476,0.20829754060562686,0.2328027260979128,0.30687890956083486,1.745610214322096,1.347408960086289,0.39820125423580705,0.12719489283895208,0.34912204286441917,1.6844204177869804,1.1885517622795227,0.4958686555074574,0.1577897911065099,0.3368840835573961,0.30687890956083486,0.34912204286441917,0.336884083557396,0.458587646484375,0.415863037109375,0.3068789095608349,0.306483518506974,0.31412633748738855,0.0029880877349874307,0.34912204286441917,0.3454367539151139,0.31870092865329464,0.028189139488339336,0.3368840835573961,0.3186492662048434,0.3281995158955247,0.03105920239051989,15.669640876107092,13.431645734900341,0.0,0.0,3.75,1.838286836421634,0.009008152803507283,1.1376540778381845,1.0977752887596632
4,0.4,5.0,1.0,0.25,5.790410401054595e-16,8.956865197445874e-16,0.3492261623055779,1.0,0.02407262853123172,0.019942441702626965,0.04404192179627563,0.02409948009364866,2.6851562416944936e-05,0.023728159072883975,0.22720143154285763,0.25037787716150905,0.02317644561865143,-0.0005517134542325386,0.004156976240507996,0.02338201503229972,0.025288800523931638,0.001906785491631917,-0.002250190748876079,3.945403381037637e-05,0.019942441702626965,0.01998189573643734,1.0005431297238156,0.015073147399731665,0.04404192179627563,0.05911506919600729,1.0067957535373937,0.015137943582886507,0.02407262853123172,0.03921057211411823,0.11000982756776509,0.0012976697999343301,0.22720143154285763,0.22849910134279194,0.9709976735736083,0.01529671354943873,0.25037787716150905,0.2656745907109478,0.976984078023849,0.014376546375010023,0.023728159072883975,0.038104705447893995,0.10702440611055797,0.32635307206588027,0.02338201503229972,0.21960521090151713,0.9998295222530481,0.3007409205093193,0.025288800523931638,0.27959663748029134,0.9822424131680741,0.06310395618290954,0.004156976240507996,2.303388767154974,-0.4791841945416443,0.04468136232120604,0.011979482970018182,0.03270187935118787,0.977659318839397,0.008936272464241184,0.16778943568157684,0.018212999079707914,0.14957643660186895,0.9161052821592116,0.03355788713631535,0.23120575603183588,0.043333107473018655,0.18787264855881722,0.8843971219840822,0.046241151206367154,0.008936272464241208,0.03355788713631536,0.04624115120636717,0.111297607421875,0.135894775390625,0.008936272464241184,0.005976453276185787,0.005364792972241055,0.002985946985272428,0.03355788713631535,0.006158126739133492,0.030338185861271634,0.028029249648004812,0.046241151206367154,0.014902736998202852,0.04346546261854996,0.03129254403937965,14.609644142889632,11.944950384863544,0.0,0.0,5.0,0.985690409424927,0.17268476664751228,3.755244400906356,5.174545806588013
4,0.4,5.0,1.0,1.0,8.79071121451247e-16,1.0870210981339667e-15,0.37106939017012325,1.0,0.38516205649970753,0.019942441702626965,0.4052119044520023,0.3852694627493753,0.00010740624966777836,0.3796505451661436,0.22720143154285763,0.6046451228920711,0.37744369134921346,-0.0022068538169301493,0.016865767952444922,0.02338201503229972,0.031537453884112755,0.00815543885181303,-0.008710329100631893,3.945403381037637e-05,0.019942441702626965,0.01998189573643734,1.0005431297238156,0.24182955049213367,0.4052119044520023,0.647041454944136,1.0956509723887853,0.24220709732618412,0.38516205649970753,0.6273691538258916,0.44003931027106036,0.0012976697999343301,0.22720143154285763,0.22849910134279194,0.9709976735736083,0.22981240129807212,0.6046451228920711,0.8344575241901432,1.0639426089574509,0.23002474200016038,0.3796505451661436,0.6096752871663039,0.42809762444223187,0.32635307206588027,0.02338201503229972,0.21960521090151713,0.9998295222530481,0.20250992684156693,0.031537453884112755,0.8421377145379405,0.8744687769853202,0.17496380385916327,0.016865767952444922,0.6283813684703631,-0.8518682218771736,0.35350130750582537,0.1453799507591173,0.2081213567467081,0.8232493462470873,0.07070026150116505,0.506864001090015,0.1877482355437224,0.31911576554629256,0.7465679994549925,0.10137280021800298,0.6792394040089031,0.2597451918719121,0.4194942121369911,0.6603802979955484,0.13584788080178062,0.07070026150116507,0.10137280021800298,0.13584788080178062,0.266510009765625,0.329986572265625,0.07070026150116505,0.06867102809718985,0.0380953207333707,0.002985946985272428,0.10137280021800298,0.0824781718909112,0.06197766301644025,0.028029249648004812,0.13584788080178062,0.1025467055014447,0.1190209228692321,0.03129254403937965,14.705304800789815,12.12078301107957,0.0,0.0,5.0,0.985690409424927,0.04378875766143316,1.4338391126931331,1.9214622112754423
4,0.4,5.0,1.0,4.0,3.2612801348363973e-15,2.744332538995309e-15,0.44300542604758625,1.0,6.1625929039953204,0.019942441702626965,6.182964970696618,6.1630225289939915,0.00042962499867111334,6.074408722658298,0.22720143154285763,6.292782738933434,6.065581307390577,-0.00882741526772061,0.027858956237132262,0.02338201503229972,0.03681322240427078,0.013431207371971062,-0.0144277488651612,3.945403381037637e-05,0.019942441702626965,0.01998189573643734,1.0005431297238156,3.8736850077813125,6.182964970696618,10.056649978477932,2.0621077347941843,3.875313557218946,6.1625929039953204,10.037906461214266,1.7601572410842414,0.0012976697999343301,0.22720143154285763,0.22849910134279194,0.9709976735736083,3.6756534997944086,6.292782738933434,9.968436238727843,2.003468628898016,3.680395872002566,6.074408722658298,9.754804594660863,1.7123904977689275,0.32635307206588027,0.02338201503229972,0.21960521090151713,0.9998295222530481,0.1165438761003407,0.03681322240427078,9.4835185368398,0.5554060042537005,0.2809689885031569,0.027858956237132262,0.3697640800187957,-0.9390863249444376,1.1252013333947792,0.5857488811294537,0.5394524522653256,0.43739933330261044,0.22504026667895582,1.439177262150926,0.8172805502253762,0.62189671192555,0.28041136892453705,0.2878354524301852,1.467179830700633,0.7519183932864681,0.7152614374141649,0.2664100846496836,0.29343596614012657,0.2250402666789558,0.28783545243018516,0.29343596614012657,0.378936767578125,0.381103515625,0.22504026667895582,0.2244002600957161,0.19561075182870571,0.002985946985272428,0.2878354524301852,0.28429447968853044,0.20389061919810042,0.028029249648004812,0.29343596614012657,0.2720128199272237,0.27635171342938303,0.03129254403937965,15.588964350977774,13.19090207191419,0.0,0.0,5.0,0.985690409424927,0.004520654969610405,1.279039776649454,1.3039264948914435
4,0.4,6.25,1.25,0.25,5.821826853068257e-16,9.291578736882883e-16,0.3421402111950828,1.0,0.038033141388349574,0.020083597901078026,0.05732739282098785,0.037243794919909826,-0.0007893464684397551,0.023702724146890248,0.22857676173851965,0.25161109785547775,0.023034336116958074,-0.000668388029932162,0.004354170890059755,0.023382732496187653,0.02595734067522623,0.0025746081790385795,-0.001779562711021177,3.879843255375495e-05,0.020083597901078026,0.02012239633363178,1.0007965636884961,0.002697901249179215,0.05732739282098785,0.060025294070167066,0.9998854997760838,0.0026942438241635285,0.038033141388349574,0.0407273852125131,0.04724908802302216,0.0013205164386267429,0.22857676173851965,0.2298972781771464,0.9698076147579183,0.0038579717396311102,0.25161109785547775,0.25546906959510884,0.9691827114306923,0.002470585689701907,0.023702724146890248,0.026173309836592155,0.04594791444128921,0.32588859037045387,0.023382732496187653,0.2203093329625591,0.9998588360064982,0.2953006969967405,0.02595734067522623,0.29783124022787527,0.9938257133090956,0.045200345866719366,0.004354170890059755,2.959342137120231,-0.728065543017983,0.04570968938728548,0.002725842592288907,0.04298384679499657,0.9771451553063574,0.009141937877457072,0.1604030101983705,0.008685685520917908,0.15171732467745258,0.9197984949008148,0.032080602039674076,0.22160392628831688,0.023481570221262682,0.1981223560670542,0.8891980368558416,0.04432078525766335,0.009141937877457094,0.03208060203967409,0.04432078525766337,0.1226806640625,0.152740478515625,0.009141937877457072,0.006316319962129437,0.0034209658238540885,0.002999159113852593,0.032080602039674076,0.00425739762469212,0.028758210820997564,0.02824894243402508,0.04432078525766335,0.011015654787892404,0.04028360719463118,0.03131573466430409,14.57579974801263,11.693897063795628,0.0,0.0,6.25,0.62321236904588,0.11448359854370425,3.5091686762366887,4.8480733354088
