cell,seed,coord,median_sigma,mean_sigma,p95_sigma,max_sigma,sat95,sat99
PW_ent,301,0,0.46796828508377075,0.5094544291496277,1.002146601676941,2.2544047832489014,0.1863343188511921,0.05625112790105053
PW_ent,301,1,0.48315906524658203,0.504410445690155,0.8489212393760681,2.6287198066711426,0.2337964724705556,0.08544387941518013
PW_ent,301,2,0.5676697492599487,0.5922054648399353,0.9711102843284607,1.9657855033874512,0.10378122018371501,0.02565250604179067
PW_ent,301,3,0.4131137728691101,0.43443048000335693,0.7507177591323853,1.3956714868545532,0.3384895512436106,0.11322082921311312
PW_ent,301,4,0.4577850103378296,0.4736277163028717,0.7506515383720398,1.4664123058319092,0.34243256106901093,0.19514809119345164
PW_ent,301,5,0.5477001070976257,0.603586733341217,1.058716893196106,4.829742908477783,0.18306861688661324,0.06072451951465141
PW_ent,302,0,0.4224546551704407,0.46057629585266113,0.872372031211853,1.66675865650177,0.21722228338288554,0.07082243855236543
PW_ent,302,1,0.4335780143737793,0.4519154727458954,0.7151647210121155,1.5670547485351562,0.31015428536935413,0.11711726592595084
PW_ent,302,2,0.4693453311920166,0.49694791436195374,0.8937391638755798,1.8445665836334229,0.16089803862301746,0.05485609221686775
PW_ent,302,3,0.43892914056777954,0.45886489748954773,0.8059483170509338,1.3408915996551514,0.14449896856117406,0.03959717962027432
PW_ent,302,4,0.4457851052284241,0.47106441855430603,0.721047043800354,1.1233489513397217,0.25098083021535506,0.09641891080928944
PW_ent,302,5,0.49263831973075867,0.5120194554328918,0.8647547960281372,1.9984456300735474,0.17557105746677357,0.060803034943389754
PW_ent,303,0,0.4369332194328308,0.461262971162796,0.8387060165405273,1.7220467329025269,0.2373112690853718,0.08439522918083027
PW_ent,303,1,0.4841707944869995,0.5063232779502869,0.8385219573974609,1.9478424787521362,0.32328181629605296,0.1438657692161469
PW_ent,303,2,0.5163308382034302,0.5374813675880432,0.9512161016464233,2.053605079650879,0.13245690315067007,0.04688743380946107
PW_ent,303,3,0.41092801094055176,0.43637609481811523,0.7950747013092041,1.5276905298233032,0.20452103758181375,0.06656291877934611
PW_ent,303,4,0.4177396893501282,0.4524299204349518,0.804165780544281,2.320128917694092,0.2981826268573651,0.13685630370983204
PW_ent,303,5,0.5629734992980957,0.7059323191642761,1.0113768577575684,23.715988159179688,0.15730132043937348,0.05069713289739206
PW_ent,304,0,0.4654321074485779,0.48179903626441956,0.847561240196228,1.406846523284912,0.23233902866968623,0.06668554367482248
PW_ent,304,1,0.47192656993865967,0.49419090151786804,0.738063395023346,1.9534696340560913,0.32214960466437703,0.1528815394015469
PW_ent,304,2,0.46350985765457153,0.4917149543762207,0.8545728325843811,1.6660478115081787,0.12074000747916709,0.03993896058035854
PW_ent,304,3,0.35659679770469666,0.3909233510494232,0.7892318964004517,1.503470778465271,0.18036671248113714,0.045713361289951814
PW_ent,304,4,0.4384463429450989,0.4733053147792816,0.7933359146118164,2.242466926574707,0.24775838990005936,0.10535139290299185
PW_ent,304,5,0.4801684319972992,0.5022385716438293,0.8798544406890869,1.861228108406067,0.23428387031179584,0.09365721048798158
PW_ent,305,0,0.40717488527297974,0.4402604103088379,0.8073979616165161,2.4476265907287598,0.21156154867004395,0.07696610576626572
PW_ent,305,1,0.4404233396053314,0.4692753851413727,0.7846367955207825,1.4236528873443604,0.3001496280508898,0.13469168301591009
