cell,seed,coord,median_sigma,mean_sigma,p95_sigma,max_sigma,sat95,sat99
PW_ent,301,0,0.1329827606678009,0.18219661712646484,0.418834924697876,3.965369462966919,0.1981001738943847,0.06060471829069571
PW_ent,301,1,0.1493828296661377,0.19940531253814697,0.4675339162349701,3.0892772674560547,0.057186369392335346,0.013827844079262524
PW_ent,301,2,0.10130444169044495,0.11583083868026733,0.15962140262126923,2.986896514892578,0.007615339503111306,0.0005047624433193435
PW_ent,301,3,0.3117549419403076,0.3593018054962158,0.7284355759620667,2.327057123184204,0.26046350747420216,0.10181844126673383
PW_ent,301,4,0.3857834041118622,0.4170440435409546,0.7640268802642822,2.194409132003784,0.2511447907103094,0.10101202813615123
PW_ent,301,5,0.6412782073020935,0.6423840522766113,0.868075966835022,1.4089959859848022,0.18819401026012098,0.06651103326469343
PW_ent,301,6,0.12377087771892548,0.15100787580013275,0.284444659948349,3.004035711288452,0.04158944559807775,0.008568769780989536
PW_ent,301,7,0.20054727792739868,0.23910002410411835,0.5040377378463745,1.6657953262329102,0.08005287436330423,0.019189099329031584
PW_ent,301,8,0.1008191928267479,0.11595246940851212,0.15748699009418488,3.063446044921875,0.012931512160042383,0.0008077385843720178
PW_ent,301,9,0.36363840103149414,0.35786232352256775,0.5879293084144592,0.9964903593063354,0.46885487171373974,0.241300512852034
PW_ent,301,10,0.3633437156677246,0.3909715414047241,0.6681921482086182,1.721577525138855,0.2620261024402815,0.10413812675103688
PW_ent,301,11,0.6290873885154724,0.6423454880714417,0.9345325827598572,1.631455421447754,0.18457528497708045,0.06302812237080553
PW_ent,301,12,0.10034516453742981,0.11832880228757858,0.16794046759605408,2.7969274520874023,0.023343020907180812,0.004395620103972295
PW_ent,301,13,0.11787937581539154,0.1361720860004425,0.21723228693008423,2.2627878189086914,0.007488235495927334,0.0006980902818171258
PW_ent,301,14,0.10053224861621857,0.1067315936088562,0.12520769238471985,0.6283255219459534,0.014396282129608357,0.0006775324609794033
PW_ent,301,15,0.17133399844169617,0.19947417080402374,0.3749235272407532,2.17684268951416,0.04639402929378783,0.007349595826686005
PW_ent,301,16,0.22237615287303925,0.254476398229599,0.49895089864730835,1.9813756942749023,0.09587442880997371,0.029220932044209974
PW_ent,301,17,0.317263126373291,0.3330722749233246,0.5791972279548645,1.5786913633346558,0.0959988192057134,0.03049753008790505
PW_ent,301,18,0.3074643611907959,0.3232038915157318,0.5513677597045898,1.1272693872451782,0.09821926659664348,0.02801912941929551
PW_ent,301,19,0.581706702709198,0.6092279553413391,1.0023396015167236,2.055290460586548,0.2672117422245084,0.1283199105663814
PW_ent,301,20,0.6081978678703308,0.6103854179382324,0.8452260494232178,1.452340841293335,0.25605024580462726,0.11742119957524189
PW_ent,301,21,0.54686439037323,0.5500059723854065,0.7908733487129211,1.4850199222564697,0.2378716832197428,0.1008943181180666
PW_ent,301,22,0.18851430714130402,0.21473781764507294,0.40994060039520264,1.3853687047958374,0.07744483250739846,0.016182415475502077
PW_ent,301,23,0.2875863313674927,0.30578118562698364,0.5241542458534241,1.2806700468063354,0.08490988227070183,0.02638856668699587
PW_ent,301,24,0.33619338274002075,0.3616020381450653,0.6627690196037292,1.617973804473877,0.19331851128604463,0.07889556312779063
PW_ent,301,25,0.272470623254776,0.290271520614624,0.49832090735435486,1.5580744743347168,0.12810585926501272,0.04027476656852653
PW_ent,301,26,0.49649202823638916,0.4983339309692383,0.7153627276420593,1.6162232160568237,0.20410426119624547,0.08276159754798174
PW_ent,301,27,0.6328960061073303,0.630389392375946,0.9039192795753479,1.34956693649292,0.319430710096444,0.16681485836722035
PW_ent,301,28,0.534242570400238,0.5360608696937561,0.7783612608909607,1.293611764907837,0.3169772245385554,0.17974933727862352
PW_ent,302,0,0.12285976856946945,0.15745405852794647,0.3047536015510559,2.1258153915405273,0.08886207517938609,0.02418897369464454
PW_ent,302,1,0.18243713676929474,0.22646073997020721,0.49206385016441345,2.0997114181518555,0.09806525972719295,0.026941693439632652
PW_ent,302,2,0.10139894485473633,0.11842489242553711,0.17446115612983704,1.9412325620651245,0.0066505675804788035,0.0008654697309345684
PW_ent,302,3,0.37315428256988525,0.38409140706062317,0.6892099976539612,1.3210119009017944,0.5412759480993604,0.3002736900061251
PW_ent,302,4,0.3482103943824768,0.3803819715976715,0.6777543425559998,1.9756921529769897,0.22031722981044255,0.08144812555570256
PW_ent,302,5,0.5932165384292603,0.5982600450515747,0.8005547523498535,1.4960567951202393,0.15643248735136614,0.05273872322676081
PW_ent,302,6,0.1241636648774147,0.1581946164369583,0.30043384432792664,1.8557114601135254,0.058409259855292515,0.009467906955690887
PW_ent,302,7,0.1775510013103485,0.21469587087631226,0.43612611293792725,1.7045493125915527,0.07058068431867971,0.018370679751554996
PW_ent,302,8,0.1009548157453537,0.12392189353704453,0.20660708844661713,3.4402482509613037,0.007497217797479927,0.001026209533062476
PW_ent,302,9,0.30547648668289185,0.32161298394203186,0.5825214982032776,1.404465913772583,0.3936759219622225,0.18229242217528205
PW_ent,302,10,0.3940187692642212,0.4176793098449707,0.6928435564041138,2.111118793487549,0.25175152795885686,0.09955965689243367
PW_ent,302,11,0.573348879814148,0.5791255235671997,0.8036999702453613,1.5474909543991089,0.17870732389526575,0.06239898305566727
PW_ent,302,12,0.1003086119890213,0.11467361450195312,0.1485186666250229,1.614997386932373,0.025754290151914234,0.0030992574045883552
PW_ent,302,13,0.1162811666727066,0.1362365037202835,0.2182760089635849,2.6239984035491943,0.009831214422313779,0.0012105479016910332
PW_ent,302,14,0.10039103031158447,0.1224360242486,0.21452130377292633,5.54538106918335,0.02250540767810441,0.004075578172572779
PW_ent,302,15,0.2036076933145523,0.2740047872066498,0.6501576900482178,4.678994178771973,0.16319671332001592,0.05673136150266953
PW_ent,302,16,0.27534162998199463,0.30110815167427063,0.5387905836105347,1.4271001815795898,0.16208008803262586,0.06685937580281733
PW_ent,302,17,0.3630704879760742,0.3973598778247833,0.7238436341285706,3.3769078254699707,0.13225223363680358,0.04535647412490044
PW_ent,302,18,0.3095042109489441,0.34303972125053406,0.6454641819000244,1.349847674369812,0.1258119957304652,0.0406518358700577
PW_ent,302,19,0.5165660381317139,0.5311588644981384,0.7978250980377197,1.4879074096679688,0.30458411972177163,0.16469289055033895
PW_ent,302,20,0.5929383039474487,0.5989141464233398,0.83282071352005,1.7871639728546143,0.21950838426529332,0.08524774994040622
PW_ent,302,21,0.5448728799819946,0.5484724640846252,0.7599421143531799,1.6212373971939087,0.2891929784644217,0.1417110518576611
PW_ent,302,22,0.20241162180900574,0.23825351893901825,0.46364471316337585,1.6937758922576904,0.10337006816434884,0.03002863151670938
PW_ent,302,23,0.2658686637878418,0.2913590371608734,0.5104408264160156,2.059809446334839,0.11581854715357222,0.0380091621421024
PW_ent,302,24,0.3533855974674225,0.376319020986557,0.6274601817131042,2.0564589500427246,0.21046757836746274,0.1003616642501282
PW_ent,302,25,0.2966192364692688,0.32625898718833923,0.5579280257225037,2.706869602203369,0.10535230682228237,0.02928576462722732
PW_ent,302,26,0.5111503601074219,0.5385718941688538,0.8262509703636169,3.6812875270843506,0.3382132165655607,0.17866004932306997
PW_ent,302,27,0.5382575988769531,0.5486823916435242,0.762727677822113,1.9492871761322021,0.2204397089632986,0.0862711537351447
PW_ent,302,28,0.5285653471946716,0.5394676327705383,0.7514342069625854,1.5519174337387085,0.1954938889973641,0.07452236609612616
PW_ent,303,0,0.1203051209449768,0.14777719974517822,0.27849557995796204,1.9057350158691406,0.06338925203702707,0.00943963207693234
PW_ent,303,1,0.1703757792711258,0.19739913940429688,0.38076186180114746,1.3468708992004395,0.056189797351520576,0.012828604285785089
PW_ent,303,2,0.10055627673864365,0.10852465778589249,0.1297338902950287,1.5277079343795776,0.00593457721051413,0.00027278165250648037
PW_ent,303,3,0.30893611907958984,0.32659655809402466,0.5882142782211304,1.2359635829925537,0.4104277640896803,0.20045232990212625
