task,arm,seed,own_mean,own_med,own_sat95,own_sat99,neu_mean,neu_med,neu_sat95,neu_sat99
walker,WML_eps01,301,1.7565017183272478,0.16349659860134125,0.3424589716003578,0.17279727979646328,5.251824579444171,0.7345699667930603,0.5549327408076152,0.41208758819436647
walker,WML_eps01,302,0.4709186652843427,0.1831526830792427,0.3501751062569325,0.15558215115620627,7.947610545670614,1.3297821283340454,0.6154169795694531,0.47683692361463176
walker,WML_eps01,303,1.326069595311613,0.17870250344276428,0.2637879330146335,0.1219273160720202,5.045826136655604,0.9447275400161743,0.5583305516194402,0.41067730607322095
walker,WML_eps01,304,0.5399435679881006,0.18700216710567474,0.3498266159008278,0.17915684658436698,29.06068192511197,2.3213090896606445,0.6891396735599638,0.5859856406656595
walker,WML_eps01,305,4.088665824474043,0.16746529936790466,0.4225092437267198,0.21897048874880212,5.740898409995377,0.8675747215747833,0.5843473697591703,0.44285952815195667
walker,WML_eps01,306,0.8211427986195,0.14709793776273727,0.30499395331187407,0.1345726983401886,6.635140004282423,0.9914103150367737,0.5780992296283406,0.44110432446326175
walker,WML_eps01,307,0.8526723526560495,0.1759454384446144,0.2891565063321402,0.14848355106053462,3.8556582159140413,0.6309893131256104,0.5239225468941259,0.36463176984418755
walker,WML_eps01,308,1.6617450073115632,0.17781034111976624,0.28756394641578087,0.1336185901992842,7.547944306894755,0.847187727689743,0.5744742324190183,0.4298794454105347
walker,WML_eps05,301,2.5379327413781234,0.23551589250564575,0.45922774024706076,0.33466689976252983,47.4902641529261,5.872003793716431,0.7790950838700327,0.7000395572090202
walker,WML_eps05,302,2.311214764473132,0.20867276936769485,0.42333015985235956,0.2610767428202976,439.90656690408855,9.70787239074707,0.8105920722773212,0.7371923357293335
walker,WML_eps05,303,4.620576932204939,0.24842338263988495,0.40294306333842783,0.2853019422863383,1229.5468192779397,5.947535514831543,0.774726509324281,0.6951237411499999
walker,WML_eps05,304,0.5683069928976087,0.2844034880399704,0.32405048368623857,0.17893146184071249,8265.94239101075,8.671691417694092,0.7999089158294053,0.7300799674405766
walker,WML_eps05,305,4.638909660234479,0.22595250606536865,0.3926686298417172,0.2757395274510805,196.8093952688885,10.9482421875,0.8093162405079186,0.7455881128534472
walker,WML_eps05,306,5.461747775649807,0.2105061113834381,0.4038643804932299,0.289906343181783,43.96916133260028,4.450914621353149,0.7416199174536902,0.6553058672405802
walker,WML_eps05,307,2.386984974003604,0.1537962481379509,0.32717144556485755,0.1996039401427032,51.65570257947952,3.8256243467330933,0.729366117739273,0.6396306114249354
walker,WML_eps05,308,0.5931736184154741,0.14324526488780975,0.292085658190775,0.16450103290623905,1079.3250656884748,20.07155132293701,0.8439710477576358,0.7901562367137419
walker,PW_noent,301,0.33129691928237054,0.1716989278793335,0.3124336840235746,0.16379344661639583,0.7529233221927522,0.34488531947135925,0.5687498978381795,0.4238155875337839
walker,PW_noent,302,0.28957909535125104,0.20019273459911346,0.4620785551037377,0.2544268747319458,0.4794270365285532,0.2906540483236313,0.5706342802014599,0.4029602910003432
walker,PW_noent,303,0.29179651468681794,0.15757213532924652,0.2819651199554316,0.14815259084688223,0.6208210834754735,0.33952462673187256,0.547042736871624,0.39451650399069593
walker,PW_noent,304,0.23935445125809768,0.14247924089431763,0.34305418679973965,0.1964851297904009,0.649796980912975,0.2883674055337906,0.4897008548900536,0.3351881979640176
walker,PW_noent,305,0.3447279568386471,0.17903082072734833,0.4280545004342186,0.2364956633654271,0.8230997689145928,0.3355221450328827,0.5909698712745058,0.4445020698186808
walker,PW_noent,306,0.2921342844428081,0.1583426296710968,0.3958508694543093,0.2136298663472891,0.7617847945633306,0.4332367181777954,0.6256883702911454,0.49436953587519344
walker,PW_noent,307,0.2840664809724937,0.16901714354753494,0.3666790326347489,0.18068761499045932,0.6185115570903387,0.2904859185218811,0.5157893438464008,0.3590810295196554
walker,PW_noent,308,0.20425330959389815,0.1473582684993744,0.3426315790196791,0.17493354490720492,0.9037032916134599,0.3940163254737854,0.5754204546615556,0.42636032652371364
g1,WML_eps01,301,0.25069886473965586,0.1980023756623268,0.3148604657158416,0.08933332859847251,0.5899985981124136,0.34792040288448334,0.4219206332142688,0.17403303807086457
g1,WML_eps01,302,0.25723606324888465,0.21213971078395844,0.2852356419437975,0.08020517604096206,0.4447799130829972,0.3196709454059601,0.39155507742434786,0.1427597395986581
g1,WML_eps01,303,0.21166262883109566,0.1646469533443451,0.2643850485245813,0.07160041947337849,0.3429917632275155,0.2260041981935501,0.30872223639476265,0.10567596105503428
g1,WML_eps01,304,0.2816374268484484,0.19940800964832306,0.2999831645858551,0.10286388197371425,0.38735437508800935,0.22532998025417328,0.2796822646638796,0.08252436894278
g1,WML_eps01,305,0.23798482030517712,0.1951303631067276,0.28047727421458885,0.10726763361794069,0.39962811790886416,0.2679736465215683,0.3066903062731365,0.11769522176429315
g1,WML_eps01,306,0.22915408886760344,0.19616886973381042,0.3514731884156113,0.1147727624740909,0.4228181821346315,0.2840116173028946,0.31598538419226446,0.11190146095088298
g1,WML_eps01,307,0.22230868980866567,0.1791452169418335,0.29180573828178724,0.07878344172397238,0.34780367827884273,0.24013318121433258,0.3279665620404903,0.09934238370633873
g1,WML_eps01,308,0.2563384803608809,0.2009442150592804,0.21323784558842535,0.05858642068228412,0.30911090937573543,0.227091982960701,0.18541511066457939,0.05294975380647724
g1,WML_eps05,301,0.3526515879001918,0.1670040488243103,0.18090620215169312,0.10388813384481382,1.028217829021156,0.4798552691936493,0.337489368039019,0.22172839723164037
g1,WML_eps05,302,0.3754679977869743,0.17275486886501312,0.20209551355154162,0.11042774717797353,0.9812556433954895,0.4312155693769455,0.3333866723267782,0.21478112171261832
g1,WML_eps05,303,0.34356723090730096,0.17289958894252777,0.19814683949508918,0.10048567892658221,0.95180819620756,0.5865736901760101,0.3736675869708304,0.2568029598054462
