d,c_star,c_cell,sigma,omega,policy_reachable,is_argmin_cell,pw_2Cov_over_VarE,pw_2Cov_over_MSE,pw_VarE_over_MSE,pw_smooth_over_MSE,pw_2Cov_pooled_over_VarE,zo_2Cov_over_VarE,zo_2Cov_over_MSE,zo_VarE_over_MSE,zo_smooth_over_MSE,zo_2Cov_pooled_over_VarE
1,1.2013877434506741,1.3458456933361078,0.01,134.58456933361077,False,False,0.3710596870581125,0.33754168261378426,0.9096695070540527,0.16107689486966492,0.07777154381356399,5.749736486285149,0.004091577520230159,0.0007116113112296193,0.9982809796639416,1.415673147589687
1,1.2013877434506741,1.3458456933361076,0.013501275609964631,99.68285458470345,False,True,0.5090937612858573,0.3747258847672562,0.7360645784006117,0.2383976867151028,0.03469496513441249,6.638972243874962,0.004598025852987629,0.0006925809724885826,0.9992733723480565,0.04915913201128252
1,1.2013877434506741,1.3458456933361076,0.018228444309622584,73.83217516953168,False,False,0.5951431407473,0.35859121740759553,0.6025293628644117,0.36009544402285865,0.06203049248097836,6.452166550184391,0.004338725473356009,0.0006724447423372878,0.99798695863265,1.9936160410044224
1,1.2013877434506741,1.3458456933361076,0.024610725056510595,54.68533292886767,False,False,0.8260789118612678,0.43646053996445655,0.5283521146678974,0.5873791401227331,0.21904190704976087,7.544479481716918,0.004770764453612768,0.0006323517036760596,0.9977403775061315,2.573363494923353
1,1.2013877434506741,1.3458456933361078,0.03322761819490119,40.503826829893846,False,False,1.2602968787847273,0.48303670561837453,0.3832721589250897,0.7238542550172121,0.27950481517557757,5.090401763652489,0.003910125365703561,0.0007681368872735006,0.999358850110836,0.16531818770000287
1,1.2013877434506741,1.3458456933361078,0.04486152311120365,29.99999999999996,False,False,1.7123009226025363,0.4172297794987421,0.24366615353135015,0.8450754540829147,0.36419341105923114,6.63824747052639,0.004928410896781321,0.0007424265092049235,0.9998946501342827,0.8581006141196639
1,1.2013877434506741,1.3458456933361076,0.06056877878071584,22.22012265112078,False,False,2.2535155653375245,0.2997874938910566,0.13303102871896752,0.8523217840933683,0.11010353996891331,7.567383402235622,0.005404139289283503,0.0007141357853874518,0.999551769526296,0.3723455918675263
1,1.2013877434506741,1.3458456933361076,0.0817755775677422,16.457795021028378,False,False,3.2087276701002008,0.2565091867813921,0.07994108978820941,0.9101898707281105,0.12345390224008757,7.990261124770946,0.006013879760221699,0.0007526512170644607,0.9988214100324685,0.5659178392465908
1,1.2013877434506741,1.3458456933361078,0.11040746109061289,12.189807464475196,True,False,4.3514139267952565,0.20955029502512398,0.04815682868842915,0.9799341859997627,0.5833236002714884,9.04922988291987,0.006927278864894728,0.0007655103201621328,1.000023759685808,1.03103770802566
1,1.2013877434506741,1.3458456933361078,0.14906415615808105,9.028633898472895,True,False,5.835505966048899,0.15093757139436892,0.02586537864454719,0.9574306450863617,0.6458044360627349,14.273973876242266,0.010188122514711176,0.0007137551604790577,0.9974755723116269,2.5368258306936884
