d,sigma,omega,r,var_pw_e,var_zo_e,mse_pw,mse_zo,mse_wml,cos_pw,cos_zo,cos_wml,win_wml_vs_pw,win_zo_vs_pw,om_meas,ratio_e,mse_ratio_zo_pw,mse_ratio_wml_pw
2,0.05,0.5,0.017677669529663688,2.121158329589235e-06,0.012641322547171228,0.01905850709349586,0.02525697250657414,0.03284407644537915,0.9523537322662604,0.9368575687335647,0.9178898088865521,0.4200439453125,0.441131591796875,0.6748504770971633,5959.63175913381,1.3252335234166188,1.723328919954487
2,0.05,1.0,0.035355339059327376,4.04670145125203e-05,0.04407097250632698,0.07018312041072727,0.07563780475023663,0.08314202337073474,0.8245421989731818,0.8109054881244084,0.7921449415731632,0.46197509765625,0.49224853515625,1.4316610729827501,1089.0591519345128,1.0777207440704735,1.1846441549502085
2,0.05,2.0,0.07071067811865475,0.00044989074203581435,0.22866024834295656,0.171011858351071,0.17462758587659954,0.18078376203292246,0.5724703541223224,0.563431035308501,0.5480405949176939,0.43646240234375,0.44482421875,2.6812655558792113,508.2572877766701,1.021143139197434,1.0571416729580863
2,0.05,4.0,0.1414213562373095,0.010325662257375572,0.6814392346899861,0.2775176695368893,0.26950984921976695,0.26742161553822813,0.3062058261577768,0.3262253769505828,0.3314459611544297,0.51531982421875,0.51806640625,3.9983293631824846,65.99472437743519,0.9711448271726789,0.9636201398797091
2,0.05,8.0,0.282842712474619,0.12563980126463048,2.976569009107112,0.1745757661429595,0.18021485880847124,0.18346760449230315,0.5635605846426013,0.5494628529788218,0.541330988769242,0.486968994140625,0.45892333984375,7.99998171716495,23.691290332732017,1.032301692211357,1.0509339786718286
2,0.05,16.0,0.565685424949238,1.5308216986358976,8.273129635475934,0.1065562813637399,0.11235896793434676,0.11162587837166413,0.7336092965906502,0.7191025801641331,0.7209353040708397,0.487823486328125,0.457305908203125,16.000000223852865,5.404371810804649,1.0544565416167146,1.047576707285971
2,0.05,32.0,1.131370849898476,14.899331641366802,12.713541486659448,0.28338699519058164,0.31373785291526357,0.314979067755943,0.2915325120235459,0.21565536771184096,0.2125523306101424,0.46649169921875,0.464813232421875,31.999999790332286,0.8532960935886089,1.1071003900664904,1.1114803187920295
2,0.05,64.0,2.262741699796952,64.38893508818325,12.11118350539526,0.3339857057612753,0.31610318514319447,0.3260870084889145,0.16503573559681178,0.2097420371420137,0.1847824787777138,0.486053466796875,0.498260498046875,64.00000074498006,0.18809417314960258,0.9464572276309849,0.9763501936277279
2,0.1,0.5,0.035355339059327376,7.284707125348193e-06,0.01430693917117474,0.017068321841022586,0.023466052909154184,0.03032537619869797,0.9573291953974437,0.9413348677271146,0.9241865595032551,0.377960205078125,0.413909912109375,0.9039386325194656,1963.9690278544865,1.374830702615126,1.776705201668563
2,0.1,1.0,0.07071067811865475,0.000149465652295878,0.046552805634202304,0.06529049481231965,0.0708095481431845,0.07641414123747112,0.8367737629692009,0.8229761296420388,0.8089646469063223,0.39276123046875,0.40850830078125,1.0917493872625104,311.4615627010256,1.0845307321797701,1.170371605501335
2,0.1,2.0,0.1414213562373095,0.003207673046967917,0.12547777848608832,0.15712434701013614,0.1612047066238993,0.16103348178780166,0.6071891324746597,0.5969882334402516,0.5974162955304959,0.370635986328125,0.363433837890625,1.822184094838763,39.11800755525797,1.0259689837469932,1.0248792427911464
2,0.1,4.0,0.282842712474619,0.04299988281763584,0.5709096035720294,0.1197118927093461,0.12582410680355685,0.12913125388629781,0.7007202682266347,0.6854397329911079,0.6771718652842555,0.465301513671875,0.4521484375,3.999990534304243,13.277003707039832,1.0510577015856801,1.0786835874345535
2,0.1,8.0,0.565685424949238,0.4963365407957767,1.9086520753248903,0.2091762713294763,0.22172505918493415,0.20157333318810727,0.4770593216763092,0.4456873520376645,0.49606666702973173,0.494659423828125,0.41815185546875,7.999999952021671,3.8454796664068844,1.0599914501568493,0.9636529607634436
2,0.1,16.0,1.131370849898476,3.7307985699544566,3.143940189115649,0.4071219347139173,0.44229659509467883,0.42507394344662824,-0.017804836784793353,-0.10574148773669717,-0.0626848586165707,0.46099853515625,0.435028076171875,16.000000113406475,0.8426989906222754,1.086398342564074,1.0440949189960147
2,0.1,32.0,2.262741699796952,15.98746119151827,3.023112577072594,0.25936877831204685,0.22118122117148425,0.24390066192608967,0.35157805421988286,0.44704694707128945,0.39024834518477575,0.522674560546875,0.546905517578125,32.0000000419809,0.18909272340729294,0.8527673323324247,0.9403624580929804
2,0.1,64.0,4.525483399593904,64.03285576045823,3.0360452720351763,0.3207053539996938,0.21988349197777846,0.24327856825469024,0.19823661500076528,0.45029127005555386,0.39180357936327437,0.5687255859375,0.5943603515625,64.00000052424052,0.047413866459318596,0.6856246371801713,0.7585734544828413
2,0.2,0.5,0.07071067811865475,2.5402380746225762e-05,0.015298159371913174,0.01199105297389956,0.01897299365208141,0.022606964299982518,0.9700223675652511,0.9525675158697966,0.9434825892500437,0.367095947265625,0.371429443359375,0.7291727540224454,602.2332916250831,1.5822625163427397,1.8853193584575252
2,0.2,1.0,0.1414213562373095,0.0007774715219605569,0.032616216063395854,0.04764539182245302,0.05717717278676979,0.06479118240332928,0.8808865204438675,0.8570570680330756,0.8380220439916769,0.352630615234375,0.40380859375,0.9236783666213666,41.95165371607085,1.200056723215463,1.3598625160806477
2,0.2,2.0,0.282842712474619,0.008471914639074674,0.17622155163504666,0.32606923244469616,0.32707726293529366,0.3368432471320313,0.18482691888825958,0.18230684266176572,0.15789188216992167,0.46197509765625,0.493133544921875,2.000000676756791,20.80067601510844,1.0030914615372932,1.033042107673138
2,0.2,4.0,0.565685424949238,0.1349693361722277,0.4607042266363386,0.2708557090697902,0.27893205140520727,0.24736919230413582,0.32286072732552457,0.3026698714869819,0.38157701923966036,0.6363525390625,0.465728759765625,4.000000009147048,3.41339921868221,1.0298178774342766,0.9132877174850219
2,0.2,8.0,1.131370849898476,0.9570678675695083,0.8220273768001607,0.12687091442989124,0.15693335204299647,0.14867687599863222,0.6828227139252718,0.6076666198925088,0.6283078100034194,0.4908447265625,0.457977294921875,8.00000003085681,0.8589018654316695,1.2369529513379343,1.1718751824776272
2,0.2,16.0,2.262741699796952,3.9537522873462967,0.7519584222183728,0.18541646819224541,0.1021438800735044,0.14381126555469698,0.5364588295193864,0.7446402998162389,0.6404718361132575,0.5469970703125,0.605316162109375,16.00000000880458,0.19018855192950818,0.5508889316541103,0.7756121500792966
2,0.2,32.0,4.525483399593904,15.707120686837477,0.7535085586834163,0.28172742442001764,0.1042657620585018,0.14439218319406916,0.2956814389499559,0.7393355948537456,0.6390195420148271,0.558502197265625,0.594329833984375,31.99999993381096,0.04797241796931339,0.370094470828142,0.5125244143033795
2,0.2,64.0,9.050966799187808,63.89985966612834,0.7460352904547789,0.31870864787443015,0.10439144731652673,0.1442416727593557,0.20322838031392465,0.739021381708683,0.6393958181016107,0.68548583984375,0.73321533203125,64.00000011880132,0.011675069309271627,0.32754507294592305,0.45258160932045466
2,0.4,0.5,0.1414213562373095,0.000152164382069199,0.011089453191578853,0.006633363898305164,0.014900743340733276,0.015561273441463944,0.9834165902542371,0.9627481416481669,0.9610968163963401,0.412567138671875,0.38726806640625,0.5119620183586899,72.87811405520485,2.2463328665777618,2.3459098098688473
2,0.4,1.0,0.282842712474619,0.0011500643673244663,0.058443386014616475,0.060439701398962736,0.07121737962124049,0.07621892520473347,0.8489007465025932,0.8219565509468988,0.8094526869881663,0.45538330078125,0.464385986328125,1.0000068332692535,50.81749132927263,1.1783211692449347,1.261073821354808
2,0.4,2.0,0.565685424949238,0.02988071391036787,0.12265535817136741,0.06311293760068248,0.08173585312216265,0.08357517696930733,0.8422176559982938,0.7956603671945933,0.7910620575767316,0.51385498046875,0.453887939453125,2.000000000302371,4.10483359063282,1.295072868249422,1.3242162407031355
2,0.4,4.0,1.131370849898476,0.22795130297828337,0.18589886792079124,0.21395066122099915,0.23343919095817664,0.2632261668800822,0.46512334694750207,0.4164020226045583,0.3419345827997944,0.406707763671875,0.451904296875,4.000000007301979,0.8155200935109443,1.0910888969725918,1.230312471940361
2,0.4,8.0,2.262741699796952,1.00529755306027,0.18857547881963221,0.10873188907083949,0.03475233300417122,0.07096693989773967,0.7281702773229013,0.913119167489572,0.8225826502556508,0.485626220703125,0.549957275390625,7.999999953049383,0.18758175452191386,0.3196149105947186,0.6526782575395547
2,0.4,16.0,4.525483399593904,3.9375961789007463,0.18863156061858236,0.19188522181300746,0.0327103647645397,0.06125594918771739,0.5202869454674812,0.9182240880886507,0.8468601270307066,0.663055419921875,0.724151611328125,16.000000032530465,0.047905257941214884,0.17046838967315586,0.31923224002842404
2,0.4,32.0,9.050966799187808,15.964331758802237,0.18871360107406282,0.27910853562159826,0.032584104100065896,0.0605567507048151,0.30222866094600437,0.9185397397498353,0.8486081232379623,0.70855712890625,0.76171875,31.999999938808564,0.011820952102803301,0.11674348843362438,0.21696488274695758
2,0.4,64.0,18.101933598375616,64.1891733032152,0.18942236010080885,0.3129374171687619,0.03327430690537515,0.06078565985677244,0.21765645707809506,0.9168142327365622,0.8480358503580689,0.83477783203125,0.879730224609375,64.00000053394893,0.002951001708746431,0.10632894975109633,0.19424222391402865
2,0.8,0.5,0.282842712474619,0.0005524610344901827,0.010648126074247519,0.02107370125926144,0.03580025752290057,0.028839147335985554,0.9473157468518465,0.9104993561927486,0.9279021316600361,0.436370849609375,0.385162353515625,0.49986383912919546,19.273985692174165,1.6988120445698702,1.3684899003354414
2,0.8,1.0,0.565685424949238,0.007314787634331798,0.030331518454416236,0.06192595439648645,0.0767921563608869,0.09625673666863682,0.8451851140087839,0.8080196090977828,0.7593581583284079,0.33770751953125,0.442962646484375,1.0000000020069533,4.146602741008626,1.2400641558015928,1.5543843870753202
2,0.8,2.0,1.131370849898476,0.059434218543856845,0.05266881105450214,0.02387683513783488,0.03584052322368503,0.057876586709444414,0.9403079121554129,0.9103986919407876,0.855308533226389,0.29766845703125,0.4027099609375,1.999999996436608,0.8861698251426916,1.501058369620045,2.4239639121071797
2,0.8,4.0,2.262741699796952,0.24790148608014956,0.04738170867687706,0.03504936750879475,0.023546921530044455,0.02855965166247469,0.9123765812280131,0.9411326961748889,0.9286008708438133,0.486602783203125,0.500152587890625,4.000000000714954,0.19113120064781694,0.6718215820623854,0.8148407144667695
2,0.8,8.0,4.525483399593904,1.0012703854383398,0.04753130597931503,0.09850377967410584,0.02349213038600352,0.027822224007614173,0.7537405508147355,0.9412696740349912,0.9304444399809646,0.682159423828125,0.69537353515625,8.00000006902808,0.047470999512790546,0.2384896342427255,0.282448288783054
2,0.8,16.0,9.050966799187808,4.011484657609193,0.0472592145535557,0.18415903413441886,0.02337054768056315,0.027914048368100162,0.5396024146639528,0.9415736307985922,0.9302148790797498,0.758575439453125,0.772857666015625,15.999999948010334,0.011780978512260282,0.1269041607999792,0.15157577524937232
2,0.8,32.0,18.101933598375616,16.027616798650275,0.04732814002677473,0.28676373963692403,0.023160260830055422,0.02780650986032041,0.2830906509076897,0.9420993479248615,0.9304837253491991,0.75775146484375,0.76953125,32.00000006935478,0.0029529118783748532,0.0807642586171424,0.09696661752119239
2,0.8,64.0,36.20386719675123,64.1896563884805,0.04792549890113797,0.31190939787721783,0.023284165011321835,0.028262645562157143,0.22022650530695548,0.9417895874716955,0.9293433860946072,0.895721435546875,0.904449462890625,63.99999976221291,0.000746623390707832,0.07465041184968584,0.09061171530741323
4,0.05,0.5,0.0125,8.411722906300423e-07,0.03140748586219262,0.02996265664246008,0.04713488343836074,0.06681293734553585,0.9250933583938499,0.8821627914040981,0.8329676566361603,0.216461181640625,0.28228759765625,1.2833661263282696,37337.756143474784,1.573120968571455,2.2298736104346384
4,0.05,1.0,0.025,3.5368348068482474e-05,0.08216727990756767,0.06492239849623282,0.08041062111987735,0.09822191714189239,0.8376940037594179,0.7989734472003067,0.7544452071452691,0.276092529296875,0.326202392578125,1.5103258202143657,2323.186815184868,1.238565163678345,1.512912637502014
4,0.05,2.0,0.05,0.0007635606754399516,0.23637512706607589,0.11404818615640068,0.1270972052465914,0.13897390099799298,0.7148795346089982,0.6822569868835214,0.6525652475050175,0.352569580078125,0.371917724609375,1.8139598219763156,309.5695400105306,1.11441671744166,1.2185542416905277
4,0.05,4.0,0.1,0.011192676478122478,1.017313523005819,0.257223556810097,0.2632882697239026,0.27282264711899795,0.3569411079747575,0.34177932569024344,0.31794338220250506,0.457366943359375,0.474334716796875,3.9623219695969594,90.8909968937536,1.0235775952599981,1.0606440969184538
4,0.05,8.0,0.2,0.10735643403970208,5.455924220959943,0.3704511091718867,0.37891705803733766,0.3727925492352235,0.07387222707028307,0.052707354906655735,0.06801862691194122,0.483551025390625,0.462677001953125,8.000168743272724,50.82065429764794,1.0228530800849156,1.0063205103328503
4,0.05,16.0,0.4,1.9915189603878949,13.095890588382785,0.38617126540061786,0.4125069331175226,0.38662836705506787,0.03457183649845516,-0.031267332793806626,0.03342908236233018,0.5604248046875,0.465606689453125,15.99999967325595,6.575830232533691,1.0681968599853846,1.0011836759888797
4,0.05,32.0,0.8,14.906457738465674,23.985402814579118,0.1829567474320794,0.24937320702163962,0.25698721954942094,0.5426081314198015,0.3765669824459009,0.3575319511264477,0.33099365234375,0.32452392578125,32.00000003893397,1.6090612025609206,1.363017273326946,1.4046337353303928
4,0.05,64.0,1.6,64.47062429153303,24.204627633060603,0.29892597970203644,0.325784119041311,0.3360506115240578,0.2526850507449089,0.18553970239672232,0.1598734711898555,0.4505615234375,0.4639892578125,63.999999634064245,0.37543653251453646,1.0898487958993937,1.1241933934916812
4,0.1,0.5,0.025,9.405436203827205e-06,0.01966370203619116,0.02333094479809407,0.04098776419927627,0.058297018360660466,0.9416726380047649,0.8975305895018093,0.8542574540983489,0.1888427734375,0.243408203125,0.6365166143634383,2090.674117611868,1.7567983017397824,2.498699425383871
4,0.1,1.0,0.05,0.00020738471540442805,0.049323853802640316,0.053416465638031804,0.06974666736933902,0.08476039707093674,0.8664588359049206,0.8256333315766524,0.7880990073226581,0.279296875,0.3182373046875,0.8378650242095349,237.83745926719902,1.3057147554831918,1.5867840760057417
4,0.1,2.0,0.1,0.0033626893836253397,0.18785895967137356,0.10973610033236744,0.1245740118830839,0.13187861133904252,0.7256597491690814,0.6885649702922902,0.6703034716523937,0.327728271484375,0.322296142578125,1.8973510659659376,55.865689107699104,1.1352144964672115,1.2017796417004987
4,0.1,4.0,0.2,0.03755934497795428,1.0786634153701244,0.19957531122756647,0.2115645065928391,0.22301209077773831,0.5010617219310838,0.47108873351790226,0.4424697730556544,0.445281982421875,0.428619384765625,3.9995379648886944,28.718909129092996,1.060073539615338,1.1174332606874804
4,0.1,8.0,0.4,0.5113259000759232,3.2000436316110332,0.3167346269247513,0.34211340231191545,0.3149786167007475,0.20816343268812168,0.14471649422021124,0.2125534582481312,0.537811279296875,0.421356201171875,7.999999976336689,6.258324937453552,1.0801263052087877,0.9944558943837203
4,0.1,16.0,0.8,3.650760227460931,5.7972061199528415,0.18534167003160368,0.23633916063870553,0.24465914847532858,0.5366458249209909,0.4091520984032362,0.38835212881167863,0.36859130859375,0.34832763671875,15.999999832665072,1.587944909760547,1.2751539391999973,1.3200439406508548
