d,sigma,r_eff,J,omega_nominal,delta_norm,s_norm,B_b,N_b,delta_dot_vsig,var_pw_e,var_pw_clean,cross_pw,var_zo_e,var_zo_clean,cross_zo,var_wml_e,var_wml_clean,cross_wml,pre_pw_clean_meannorm,pre_zo_clean_meannorm,pre_wml_clean_meannorm,mse_pw,cos_pw,post_pw_bias2,post_pw_var,mse_zo,cos_zo,post_zo_bias2,post_zo_var,mse_wml,cos_wml,post_wml_bias2,post_wml_var,G,err_pw_total,err_pw_cleanoff,err_pw_erroroff,err_pw_baseline,err_zo_total,err_zo_cleanoff,err_zo_erroroff,err_zo_baseline,err_wml_total,err_wml_cleanoff,err_wml_erroroff,err_wml_baseline,ess_med,ess_min,eta_at_bound,nonfinite,wml0_checksum,A_eff,L_eff,omega_eff,orth_resid,delta_norm_conditional,delta_norm_pooled,cancellation_ratio,A_eff_numeric_ratio,L_eff_numeric_ratio
16,0.4,0.5,1,5.0,0.11292458361129995,0.24299135628822238,0.4647227291944438,1.1395641254270825,-0.0846039893546541,0.391681445437266,0.08012172959068692,-0.002709799424743629,1.493175501276482,1.2829920940871558,-0.02902149728767235,0.06736378432105555,0.11281640569763496,-0.044924507563400995,1.000209707322734,0.9673777629261543,0.24299135628822238,0.07191194959678417,0.8202201260080395,0.1138361170458238,0.24572363093809713,0.20306943469281086,0.4923264132679728,0.3004052600019286,0.7149419134621258,0.24622736701222867,0.3844315824694284,0.4183729739248756,0.8127638611362678,0.17431541741544448,0.07191194959678417,0.06249908327777437,0.040236575542868164,0.01433740368545674,0.20306943469281086,0.15908963482669333,0.1459709074254399,0.13541004436069498,0.2462273670122287,0.18957610645800516,0.23456049235473758,0.1660435905620406,14.33764693139217,11.458581550882581,0.0,0.0,12.112815989842414,1.0,5.0,5.0,5.186823193170653e-16,0.11292458361129995,0.013530458126570385,0.11981853458183964,1.0,1.0000000000000002
16,0.4,0.5,8,14.142135623730951,0.02489225350319131,0.24299135628822238,0.10244018987346054,0.37257213482098395,-0.024019492489197526,0.39056385299693896,0.08012172959068692,-0.00018656823103143042,0.18937676614660934,1.2829920940871558,-0.0009768975823521316,0.021985481974831897,0.11281640569763496,-0.01322323316817186,1.000209707322734,0.9673777629261543,0.24299135628822238,0.06755397717612399,0.83111505705969,0.029303371367041826,0.3084665145135782,0.14687070318139217,0.6328232420465195,0.136036095170193,0.5983174207367681,0.18823391379878593,0.5294152155030352,0.22286408034566657,0.7183054886482632,0.12067993662266191,0.06755397717612399,0.058060403332223634,0.014482448150810399,0.01433740368545674,0.14687070318139217,0.034042478312501886,0.13543634645909342,0.13541004436069498,0.18823391379878593,0.06568968775438322,0.18242361473588903,0.1660435905620406,14.187276531358041,10.846985518622901,0.0,0.0,12.112815989842414,1.0,5.000000000000001,5.000000000000001,5.186823193170653e-16,0.02489225350319131,0.0027690230542406808,0.11124035250105734,0.9999999999999973,0.9999999999999988
16,0.4,0.75,1,7.5,0.08868633733657234,0.24358935968172632,0.3641346969101612,1.082975367961335,-0.08647123788942256,0.8841429172804477,0.07980950995793572,0.0005381124959667409,1.5129889908819214,1.2872049273388957,0.005082448202251037,0.06419761299078705,0.11286212611782118,-0.04359486591563767,1.000432882220742,0.9702002844733606,0.24358935968172632,0.08867842714116783,0.7783039321470804,0.053610198184911195,0.38978193752092805,0.19997965162482662,0.5000508709379335,0.2521782882929121,0.747719969831221,0.2437767636437798,0.39055809089055055,0.3748295117706303,0.8440543064482688,0.15509833650261196,0.08867842714116783,0.08016531995338778,0.015380742654701596,0.014259961919506086,0.19997965162482664,0.15207043446238022,0.13580519263701707,0.13521634388148426,0.2437767636437798,0.18285209804147823,0.2326048984251664,0.16576228924233238,14.362153578807874,11.528568911652048,0.0,0.0,4.498985963188768,1.0,7.5,7.5,5.290906601729262e-16,0.08868633733657234,0.010406929026771344,0.11734534697578214,1.0,1.0000000000000002
16,0.4,0.75,8,21.213203435596427,0.025197536608191053,0.24358935968172632,0.10347448373654827,0.37153842257131453,-0.024378953093194766,0.8786597109225622,0.07980950995793572,0.0005022258780646219,0.18871466812012722,1.2872049273388957,-0.003510665004346285,0.022023156818904738,0.11286212611782118,-0.013438834435856402,1.000432882220742,0.9702002844733606,0.24358935968172632,0.11065085133976667,0.7233728716505834,0.07789328621737016,0.47536097048146325,0.14633908540029622,0.6341522864992595,0.13498142462048138,0.5967140023809998,0.18801101023750094,0.5299724744062477,0.2222980105616542,0.7177570406258504,0.07736015889773426,0.11065085133976665,0.10426781954821246,0.014583117285198127,0.014259961919506086,0.14633908540029622,0.03373773044510199,0.1352032060999936,0.13521634388148426,0.18801101023750094,0.06566019585921816,0.18239952013784466,0.16576228924233238,14.202059855563991,10.83448840799587,0.0,0.0,4.498985963188768,1.0,7.500000000000001,7.500000000000001,5.290906601729262e-16,0.025197536608191053,0.0033345260504843506,0.1323353985881455,0.9999999999999991,0.999999999999999
16,0.4,1.0,1,10.0,0.08657373397394649,0.24296120923865916,0.3563510740078304,1.0902719254146922,-0.08588266547689027,1.5671516732581687,0.07981215166643768,0.001003696229733642,1.5126987047544944,1.2870461877907893,0.001473140296446788,0.06431937240772828,0.11247554469450696,-0.043347106522662424,1.0006622169983972,0.9670305541195077,0.24296120923865916,0.11450031102401456,0.7137492224399635,0.08675062519821333,0.4857509299218596,0.19997992864177166,0.5000501783955709,0.2514559370517041,0.7484437061571544,0.24372596246345962,0.39068509384135097,0.3728875238540573,0.8457422884632408,0.1292256514394451,0.11450031102401456,0.10731236421491161,0.0151071934746737,0.014248458840913919,0.19997992864177166,0.15199411688643746,0.1355766979767699,0.13565287893034206,0.24372596246345962,0.18283893606490723,0.23214715153753218,0.16589177327671276,14.346240776301768,11.524556868906181,0.0,0.0,-16.56130542109082,1.0,10.0,10.0,5.204170427930421e-16,0.08657373397394649,0.010460961818274966,0.12083297483071585,1.0,1.0
16,0.4,1.0,8,28.284271247461902,0.025203014370802947,0.24296120923865916,0.10375341498344197,0.36997079433225066,-0.024396411783116887,1.5578041230203814,0.07981215166643768,0.002034974087409402,0.18893920863287045,1.2870461877907893,0.0006843022701260077,0.021827388782642607,0.11247554469450696,-0.013074456292442777,1.0006622169983972,0.9670305541195077,0.24296120923865916,0.14924264691558892,0.6268933827110277,0.14068149212634043,0.6055317424516042,0.14726643323426503,0.6318339169143374,0.13669537009609012,0.599636796075235,0.18828921488393285,0.5292769627901679,0.22285192868831802,0.7185941457313463,0.03904656796834394,0.14924264691558892,0.14495340362233494,0.014664993423579667,0.014248458840913919,0.14726643323426503,0.0340753342177489,0.13590523758813708,0.13565287893034206,0.18828921488393285,0.06555410103158564,0.18256877903502666,0.16589177327671276,14.187968430784572,10.878799585073146,0.0,0.0,-16.56130542109082,1.0,10.000000000000002,10.000000000000002,5.204170427930421e-16,0.025203014370802947,0.003159798981372065,0.1253738515116911,0.9999999999999953,0.9999999999999959
16,0.4,1.25,1,12.5,0.08685240080038922,0.24414287273952634,0.3557926210154573,1.0796328188047206,-0.08614795162470833,2.4505831005092866,0.08008585123411552,0.0007304414620887081,1.511479275038573,1.278201091130938,-0.002426106019167174,0.06431289434555632,0.1123098151771894,-0.04286765936603576,0.9993307722037635,0.9687901596976802,0.24414287273952634,0.13777664534750256,0.6555583866312436,0.12379946815045438,0.5650837585870585,0.19955180166439607,0.5011204958390099,0.2504321688675861,0.7473268394543944,0.24310215812609892,0.39224460468475275,0.37116229078465096,0.8443484998458437,0.10532551277859634,0.13777664534750256,0.13166643307690606,0.015030767443922696,0.014335123376390549,0.19955180166439607,0.15172731851985352,0.1351210453709213,0.13504804253078712,0.24310215812609892,0.18206287350546743,0.23133271939553995,0.16510592353156028,14.356162316710531,11.479757926819936,0.0,0.0,-7.007159891961808,1.0,12.5,12.5,5.091529761099277e-16,0.08685240080038922,0.012345506349906506,0.14214352437165076,1.0,1.0000000000000002
16,0.4,1.25,8,35.35533905932738,0.024752683450717374,0.24414287273952634,0.10141471975735128,0.37084435835500296,-0.023918885434809363,2.4507841919785323,0.08008585123411552,0.00010248858005230987,0.1895439528783374,1.278201091130938,0.00010172166631771588,0.022089192078510927,0.1123098151771894,-0.013449443599050998,0.9993307722037635,0.9687901596976802,0.24414287273952634,0.1826117411683536,0.543470647079116,0.21030826545058193,0.7027504403911863,0.14643729705694242,0.633906757357644,0.1352186442835184,0.5969678410011937,0.18706078393068384,0.5323480401732905,0.22018014480906478,0.7151237748443544,0.0044490427623302044,0.1826117411683536,0.17981404162371872,0.015097958475628746,0.014335123376390549,0.14643729705694242,0.03397239909535822,0.13499093068577445,0.13504804253078712,0.18706078393068384,0.06544370084567802,0.18136670024480125,0.16510592353156028,14.189625100429256,10.897855059991233,0.0,0.0,-7.007159891961808,1.0,12.500000000000002,12.500000000000002,5.091529761099277e-16,0.024752683450717374,0.003600046457642097,0.1454406535279213,0.9999999999999923,0.9999999999999932
16,0.4,1.5,1,15.0,0.08699904501905256,0.24365235953794717,0.35710482314530334,1.083369644827674,-0.08635516112129349,3.522181288648601,0.07972010525654277,-0.0008646039963438371,1.5127190626049687,1.2866525714981756,-0.003763448785849614,0.0642760225850866,0.11266757262072576,-0.043141732763855786,0.9999013517209467,0.9683356687836532,0.24365235953794717,0.15632693412693285,0.6091826646826679,0.15715968155736962,0.6244749890772947,0.2002496095484922,0.49937597612876955,0.25208000878357584,0.7491680389588852,0.24383132968770455,0.3904216757807386,0.3731622109216081,0.8459944375169146,0.0875043955607717,0.15632693412693285,0.15111458899107136,0.015146901736952635,0.014260906592294498,0.2002496095484922,0.15231481765150606,0.13613378988071453,0.135584742553728,0.24383132968770455,0.18255977256586173,0.23213580240520562,0.1655960094241161,14.357478540763296,11.433225092386255,0.0,0.0,-7.931655058233865,1.0,15.0,15.0,5.221517662690189e-16,0.08699904501905256,0.007563326619021863,0.08693574300000091,1.0,0.9999999999999998
16,0.4,1.5,8,42.42640687119285,0.0250237034308479,0.24365235953794717,0.10271864230615262,0.3696744651146861,-0.024183285243337915,3.507111408049462,0.07972010525654277,-0.0008872579064617766,0.18939673977754543,1.2866525714981756,0.0016995452925411458,0.021936695743776477,0.11266757262072576,-0.013404640586915354,0.9999013517209467,0.9683356687836532,0.24365235953794717,0.20844149003140783,0.47889627492148046,0.27361638129609217,0.768591068860947,0.14698569428099104,0.6325357642975225,0.1361630682711884,0.5987654031337668,0.18764338331824892,0.5308915417043777,0.2214921470783015,0.7167247695129433,-0.02079810671315887,0.20844149003140783,0.20652796515832633,0.015436466351389833,0.014260906592294498,0.14698569428099104,0.03391182015992359,0.13558255699678975,0.135584742553728,0.18764338331824892,0.06542854623069203,0.1820870958566767,0.1655960094241161,14.194369299342945,10.819993604112756,0.0,0.0,-7.931655058233865,1.0,15.000000000000002,15.000000000000002,5.221517662690189e-16,0.0250237034308479,0.0023762197547890925,0.09495875625906812,0.9999999999999949,0.999999999999995
