d,c_meas_root_of_mean,c_meas_per_state_median,c_meas_per_state_mean,frac_no_bracket,c_an_B_measurement_matched,c_an_A_per_state_median,c_an_A_per_state_mean,c_an_old_theta_eq_phi,boot_se,dev_over_se_B,dev_over_se_A_median_vs_measured_median,dev_over_se_old,registered_fit_d
1,1.2013877434506741,1.2014925281258193,1.202725593256226,0.0,1.1902690390757587,1.187767319943407,1.191727651848851,1.209798716827642,0.0023695671587857,4.692293414723607,5.792284946017728,3.5495821866801207,False
2,1.5182050010586579,1.5192994681830028,1.5185101746609195,0.0,1.513213440495473,1.514354104507923,1.5135323730815955,1.4896864021483767,0.0017808400086776854,2.8029247652018427,2.7769836992554158,16.014127474290575,True
4,2.049549228059748,2.048259955162025,2.049573037686948,0.0,2.048014915685576,2.047895350794013,2.0480434226380178,2.0413617054549196,0.0017569323542113156,0.8732905228218291,0.20752328178028215,4.660123985538198,True
8,2.8745920267492266,2.8755180806837357,2.8746994139100828,0.0,2.8738245379506373,2.8738418956324585,2.873825736192705,2.874064470591189,0.0023811866649986746,0.32231357997705373,0.7039284554695482,0.22155178583535504,True
16,4.060321552218873,4.060472202817726,4.060456831305783,0.0,4.063953183274847,4.0639555759342025,4.063953189479296,4.064004209495648,0.003609661988886177,1.006086184012425,0.9650136570131768,1.0202221947964427,True
32,5.7465318451181275,5.743690776250871,5.746764729621593,0.0,5.7473694960634285,5.747369493659994,5.74736949606354,5.747369664856814,0.004877964293360902,0.1717214179777919,0.754150130645676,0.17175602122114092,True
64,8.13061103779699,8.133861195233134,8.130685078099944,0.0,8.128008128012192,8.128008128012192,8.128008128012166,8.128008128012192,0.007388553333109596,0.35228950343147614,0.7921804116528518,0.35228950343147614,True
