file,bytes,sha256,git_sha,prereg_sha,cited_by_report,role,mtime_utc
estep_d8_rank1_M32.npz,27338,a731417758a5bc1d3a568ffc01097467643f37a6f312084efde829a270af12f1,33c76325a5,,True,report,2026-09-01T19:20:55Z
mstar_d16_high.npz,86005,52af9eafc65588589133281e76c5c05c98071f2998db0dd5726e7ecbfb7d412e,7d1b72968b,e4a5a0bd85,False,m_star (docs/prereg_m_star.md),2026-09-01T22:15:53Z
mstar_d16_low.npz,85940,6fcb1cd11363476cb2cd0049eadc49e128a759a4e63bda96249dfc8019910da5,7d1b72968b,e4a5a0bd85,False,m_star (docs/prereg_m_star.md),2026-09-01T22:11:37Z
mstar_d21_high.npz,86253,5b24f7d2284ae3b64d08517d9022c73409fd64899f56b8f768945ee06c14106c,7d1b72968b,e4a5a0bd85,False,m_star (docs/prereg_m_star.md),2026-09-01T22:16:17Z
mstar_d21_low.npz,86252,cd0cdacbc4830515166c3495ec4e10d7e11cd7445cee0e06ab1cd36f322da055,7d1b72968b,e4a5a0bd85,False,m_star (docs/prereg_m_star.md),2026-09-01T22:12:17Z
mstar_d2_high.npz,86717,572a103cd67de44760709ad4e1dd344d480f248b750dfcfc0e036bd9439c7afa,7d1b72968b,e4a5a0bd85,False,m_star (docs/prereg_m_star.md),2026-09-01T22:14:27Z
mstar_d2_low.npz,86422,2684e99e0558a05ae9737f5256e519bd90cbce246f79e75346e1e9f778154c5a,e4a5a0bd85,e4a5a0bd85,False,m_star (docs/prereg_m_star.md),2026-09-01T22:09:28Z
mstar_d32_high.npz,86068,9b7a6aaf94a92ef4136280e1a61c1f8f2465f53cc221afd3dcd1d465d6cae107,7d1b72968b,e4a5a0bd85,False,m_star (docs/prereg_m_star.md),2026-09-01T22:16:41Z
mstar_d32_low.npz,85885,4bd8abbfc481522fc4159cc45a79e1b757b942b9a5c35a99536fbc72a3d8542d,7d1b72968b,e4a5a0bd85,False,m_star (docs/prereg_m_star.md),2026-09-01T22:12:59Z
mstar_d4_high.npz,86250,4e6e4eb3886452f101df9f6c23fbd07df669340350022bb0227325d572b5dd18,7d1b72968b,e4a5a0bd85,False,m_star (docs/prereg_m_star.md),2026-09-01T22:14:57Z
mstar_d4_low.npz,86077,5021b59a5d9d2c45abba0344ec3b8a81aefc45c22bb473ef9591c86083a927a0,7d1b72968b,e4a5a0bd85,False,m_star (docs/prereg_m_star.md),2026-09-01T22:10:10Z
mstar_d64_high.npz,85796,2e2ca0f276a7c221469caa66684ddd6e608539df17a9a7d270ec7f72b56c878f,7d1b72968b,e4a5a0bd85,False,m_star (docs/prereg_m_star.md),2026-09-01T22:17:19Z
mstar_d64_low.npz,85702,e9f8be633b68d24e39c10f74e81a9cab3bdb6b0ec0b739c1d388aab1aec3c039,7d1b72968b,e4a5a0bd85,False,m_star (docs/prereg_m_star.md),2026-09-01T22:13:56Z
mstar_d8_high.npz,86514,6f010504563439c86ea051c7c1af07b9569a9b2574744bf428517e1946bfc105,7d1b72968b,e4a5a0bd85,False,m_star (docs/prereg_m_star.md),2026-09-01T22:15:29Z
mstar_d8_low.npz,86339,69d7e4613ba939cdcafb683c129af92d0786d8bf1a473a84f9cb0879477a557c,7d1b72968b,e4a5a0bd85,False,m_star (docs/prereg_m_star.md),2026-09-01T22:10:58Z
mstar_d8_low_smoke.npz,15924,087ba36fb8cb134ac36f8d11f3159450821fa5e753556910a7ef436d7a7c12bc,8e41e64316,,False,m_star (docs/prereg_m_star.md),2026-09-01T20:56:39Z
