cell,seed,coord,median_sigma,mean_sigma,p95_sigma,max_sigma,sat95,sat99
PW_ent,301,0,1.0024769306182861,1.7748141288757324,5.410436153411865,29.76502227783203,0.3995441664294448,0.25023983548447154
PW_ent,301,1,0.9297881722450256,1.4299569129943848,4.2384033203125,19.87224006652832,0.4136979175131632,0.2631618368806396
PW_ent,301,2,0.5501917600631714,0.7552371025085449,1.900280475616455,6.419764041900635,0.3053504326991098,0.16649463748650564
PW_ent,301,3,1.6618950366973877,2.8431549072265625,8.750555992126465,33.99790573120117,0.5493319715933035,0.415025705091185
PW_ent,301,4,0.4679185748100281,1.1871684789657593,4.622584819793701,82.60299682617188,0.30553461503868423,0.183984843079707
PW_ent,301,5,0.49651038646698,0.6325984597206116,1.4334818124771118,4.513814449310303,0.2758004772207893,0.11099523716863612
PW_ent,301,6,0.36454272270202637,1.0146962404251099,3.94623064994812,122.86046600341797,0.27745896107509854,0.15887944824204062
PW_ent,301,7,0.6119207143783569,1.0803972482681274,3.8350493907928467,21.622957229614258,0.36621939687157906,0.20103554640306906
PW_ent,301,8,0.56982421875,1.048629879951477,3.902414321899414,18.35586929321289,0.63352177008565,0.4178405391225566
PW_ent,301,9,0.9133517742156982,1.4965324401855469,4.6266255378723145,47.50893020629883,0.40572170576047356,0.24408381670256452
PW_ent,301,10,0.3965796232223511,0.47302326560020447,1.0053508281707764,3.3526484966278076,0.21848481733554906,0.05918030050859143
PW_ent,301,11,0.7411008477210999,1.3053994178771973,4.248924255371094,20.251808166503906,0.49956484521808503,0.28696783186922126
PW_ent,301,12,0.41426166892051697,0.6139447093009949,1.6835459470748901,16.560592651367188,0.36556660656467815,0.17729997073382522
PW_ent,301,13,0.3861536979675293,1.1665349006652832,5.8166399002075195,24.163841247558594,0.2499266331363638,0.13813963275241367
PW_ent,301,14,0.4727185368537903,2.133012533187866,8.278135299682617,253.93319702148438,0.3845160832528451,0.21338662770275582
PW_ent,301,15,0.40620023012161255,0.5768179297447205,1.653165340423584,5.308518409729004,0.5291513893807053,0.40899333916807973
PW_ent,302,0,0.6021064519882202,2.2817890644073486,10.529264450073242,89.01016998291016,0.36804173724687855,0.2517563453544715
PW_ent,302,1,1.0015480518341064,2.0092051029205322,6.894029140472412,29.473814010620117,0.408549161005378,0.298132714298615
PW_ent,302,2,0.6787484288215637,1.351542353630066,4.640405178070068,15.9757719039917,0.26086248206340085,0.1477799461156749
