ckpt,c,state,state_source,N_state,z2_dim0,z2_dim1,z2_dim2,z2_dim3,z2_dim4,z2_dim5
PW,0.1,62,WML,53.426881,-54.176225,-31.165010,23.177183,158.687934,-47.596462,4.499462
PW,0.1,63,WML,-10.241013,-1.833487,-1.043804,-2.733399,3.500789,-8.091293,-0.039819
PW,0.05,0,PW,-1.594613,-0.735530,-0.496696,7.300877,-3.039798,-3.084745,-1.538721
PW,0.05,1,PW,-11.573135,0.422256,1.928441,0.115299,-4.756072,1.401356,-10.684415
PW,0.05,2,PW,-4.889230,-6.900741,1.357481,3.953729,-1.934673,-2.232835,0.867808
PW,0.05,3,PW,-1.677695,-2.062551,-1.564383,-2.698638,0.806625,1.614049,2.227202
PW,0.05,4,PW,10.089151,5.878153,0.266432,-2.294440,3.678824,1.717431,0.842751
PW,0.05,5,PW,5.327568,0.949476,2.273038,1.483958,1.107989,3.790692,-4.277585
PW,0.05,6,PW,6.262100,2.959002,5.825247,-2.727973,-0.195038,0.135028,0.265835
PW,0.05,7,PW,4.836522,6.618622,-0.078092,-3.051031,-1.896127,4.161922,-0.918772
PW,0.05,8,PW,6.043163,2.835926,-0.846315,1.872989,1.971192,0.370179,-0.160808
PW,0.05,9,PW,-89.777830,-4.265843,-7.278466,-13.940168,-68.795728,-8.042909,12.545284
PW,0.05,10,PW,5.116020,0.779310,-1.722656,6.783308,-1.830149,1.654167,-0.547961
PW,0.05,11,PW,-13.172592,-1.630010,-9.609772,6.761644,-4.398777,-7.246821,2.951143
PW,0.05,12,PW,-4.026587,-1.478886,-2.555097,0.660971,0.307243,-0.455896,-0.504922
PW,0.05,13,PW,-5.530660,-9.478679,-0.832819,-3.571029,4.896959,6.587008,-3.132099
PW,0.05,14,PW,-7.822035,-2.902018,-1.210579,1.268123,-0.045905,-2.645235,-2.286421
PW,0.05,15,PW,1.217535,-5.063200,7.548886,-0.911848,-0.272692,0.194679,-0.278291
PW,0.05,16,PW,1.435798,1.329417,5.310951,0.269160,2.329687,-2.181964,-5.621452
PW,0.05,17,PW,5.072847,2.308671,4.259262,-1.535005,-1.447989,0.785190,0.702717
PW,0.05,18,PW,-3.329493,-5.833727,4.759500,3.014099,-5.556149,1.272891,-0.986106
PW,0.05,19,PW,9.976152,1.717968,-0.665442,2.928204,3.397040,0.528924,2.069458
PW,0.05,20,PW,8.317881,-3.382310,5.903502,0.228194,-1.297451,5.961145,0.904801
PW,0.05,21,PW,-71.001288,-4.966368,-1.679466,-1.124585,-16.339073,-4.161811,-42.729985
PW,0.05,22,PW,4.953446,-1.768647,3.087452,1.132581,6.119266,-0.813247,-2.803959
PW,0.05,23,PW,-6.078564,1.834293,-3.389696,0.025704,6.969510,-0.840012,-10.678362
PW,0.05,24,PW,-3.923867,3.119992,0.678216,8.734583,-2.933227,-6.283115,-7.240315
PW,0.05,25,PW,0.443164,-0.509647,3.279150,-4.779022,-1.158046,1.816843,1.793886
PW,0.05,26,PW,5.520552,0.236793,-1.992054,-1.192859,-0.946482,5.057168,4.357987
PW,0.05,27,PW,605.314404,-25.821159,187.474199,141.003003,123.235882,46.598384,132.824095
PW,0.05,28,PW,4.452278,39.650974,1.771956,-20.689032,-10.097168,-11.726053,5.541601
PW,0.05,29,PW,-4.506170,3.361170,-5.148403,1.921649,-2.734501,-5.154032,3.247946
PW,0.05,30,PW,-8.633750,-2.126060,3.998647,0.440932,0.429953,-6.056541,-5.320681
PW,0.05,31,PW,-43.038888,11.862276,4.935523,2.540551,-83.206638,-1.728839,22.558239
PW,0.05,32,WML,-158.791723,-18.931468,0.371928,29.527222,-176.773418,-12.702773,19.716785
PW,0.05,33,WML,23.367217,11.009617,-1.552025,9.996790,-0.571651,-2.762355,7.246841
PW,0.05,34,WML,23.925091,-0.652773,-6.034536,16.330194,-1.295231,13.716291,1.861145
PW,0.05,35,WML,-682.688071,-142.419654,-166.751236,56.174124,-319.784021,28.167859,-138.075142
PW,0.05,36,WML,-1.559536,-0.268955,0.023177,-0.154146,-0.390746,-1.019750,0.250884
PW,0.05,37,WML,-36.351497,-0.313576,-1.988639,-8.121619,-10.348665,-8.048623,-7.530376
PW,0.05,38,WML,7.020707,-24.057694,10.038859,-77.683007,-15.501525,9.902137,104.321937
PW,0.05,39,WML,69.725939,16.160094,18.886665,14.644254,6.132621,13.012103,0.890202
PW,0.05,40,WML,19.206306,1.195765,-0.254342,6.452149,3.564057,7.018596,1.230081
PW,0.05,41,WML,27.876411,5.194941,14.262148,-0.272974,1.796053,8.644040,-1.747797
PW,0.05,42,WML,-192.591873,156.538994,132.197378,-103.265584,-380.669162,-12.412050,15.018552
PW,0.05,43,WML,-14.300234,-1.595755,0.180376,-1.844941,-8.232070,-4.501385,1.693541
PW,0.05,44,WML,-15.059769,-14.777162,-1.854513,3.991488,3.873216,-3.434794,-2.858004
PW,0.05,45,WML,1.715745,4.303947,-3.612692,0.360856,0.745576,3.563177,-3.645120
PW,0.05,46,WML,66.125414,4.116021,-4.460403,66.113549,-26.910219,8.156304,19.110162
PW,0.05,47,WML,189.884036,150.148172,-424.678935,252.022855,77.417673,156.326335,-21.352063
PW,0.05,48,WML,-38.506303,-6.440848,-3.684307,-7.278667,1.650207,-20.547248,-2.205439
PW,0.05,49,WML,6.031559,1.327398,-0.110019,-4.638245,4.128153,4.850100,0.474171
PW,0.05,50,WML,56.796497,69.501738,-12.589829,3.920801,-1.854262,-128.181048,125.999096
PW,0.05,51,WML,-16.581933,11.047930,-25.848102,-10.666656,-1.690498,7.759668,2.815725
PW,0.05,52,WML,51.012079,20.052493,-0.583878,2.316407,13.853887,-5.052287,20.425456
PW,0.05,53,WML,5.370719,8.134779,-0.214867,-33.657448,7.777011,12.690862,10.640382
PW,0.05,54,WML,85.627792,-235.535135,33.516437,48.160234,66.577242,89.776728,83.132285
PW,0.05,55,WML,0.516891,0.061250,0.027264,0.003896,0.010522,0.058532,0.355427
PW,0.05,56,WML,1.557872,2.574790,-4.489309,7.449443,-0.483815,-5.734032,2.240794
PW,0.05,57,WML,-243.266231,-124.127176,130.229536,-275.394775,-21.364560,26.672403,20.718342
PW,0.05,58,WML,-35.501526,-57.714738,-1.117445,-11.828144,32.437380,-1.423506,4.144927
PW,0.05,59,WML,28.312012,35.629338,6.498090,-1.528807,0.470935,17.117677,-29.875222
PW,0.05,60,WML,28.149270,-3.426909,-13.700339,64.980836,-21.863434,-13.715088,15.874204
PW,0.05,61,WML,4.516641,0.256864,14.837705,-4.573347,-3.867928,-4.373639,2.236988
PW,0.05,62,WML,105.613381,203.108192,-97.065381,211.452860,-99.082619,-65.459199,-47.340472
PW,0.05,63,WML,-39.754623,8.443614,-29.818219,1.784755,-5.361936,0.765024,-15.567861
WML,0.1,0,PW,-5290.934765,-1517.960032,0.000000,-2634.773001,-586.823608,-1785.296401,1233.918277
WML,0.1,1,PW,3671.953809,1639.204910,0.000000,4835.131217,-2497.488528,0.000002,-304.893793
WML,0.1,2,PW,-13805.835672,-663.145904,-1474.045776,-2977.794182,-5597.117327,0.000068,-3093.732552
WML,0.1,3,PW,20249.150139,930.184319,2510.448137,-1782.957217,0.000003,11059.235183,7532.239715
WML,0.1,4,PW,25859.727898,23434.257030,-168.488690,-371.778303,2259.844642,0.000000,705.893218
