condition,task,arm,d,pad,seed,checkpoint,n_states,eta,eta_src,eta_measured,clip_rate,R2_exact,R2_linear,R_exact_med,R_exact_q25,R_exact_q75,R_linear_med,frac_R_gt_05,frac_R_gt_1,frac_R_gt_3,norm_ratio_med,cosine_linear_med,residual_linear_med,cos_v_c_med,cos_ubar_c_med,cross_fraction_med,direction_change_med,frac_cosvc_lt_09,frac_cosvc_lt_05,ubar_raw_rms,ubar_raw_rms_exp,ubar_raw_mean,ubar_raw_mean_exp,ubar_raw_med,ubar_raw_med_exp,ubar_fit_rms,ubar_fit_meanvec_norm,ubar_raw_meanvec_norm,ubar_fit_minus_raw_rms,logit_spread_med,q_sd_med,ess_med,w_max_med,sigma_med,cloud_between_state_sd,cloud_within_state_sd
hopper,hopper,A,4,0,101,HopperHop_pathwise_fa_s101_final,2048,0.0586534335067177,recomputed_counterfactual,,0.13599777221679688,5.345665811146173,1.9111331596279764,6.66390945887766,3.441291528010641,14.0208373687583,5.681630405658476,0.916015625,0.88525390625,0.77734375,0.9916472848210408,0.9995409313938677,0.07113224941867821,0.16207642126617522,-0.0013083944553656046,-0.00010197525343845508,0.8379235787338248,0.89404296875,0.763671875,0.35478594167952293,0.3535533905932738,0.33348808313771844,0.33233509704478426,0.32437373442988093,0.3238775800762401,5.347740521528383,3.2221852751857445,0.008217847654791053,5.343800306824114,0.17714346172820233,0.010390072253624908,31.01505571082305,0.04490819991019793,0.5388358211112104,37.181432268552165,6.084589385032846
hopper,hopper,A,4,0,102,HopperHop_pathwise_fa_s102_final,2048,0.0020241614042282963,recomputed_counterfactual,,0.0001068115234375,0.3655297761632034,0.010855705252822603,0.487073041076979,0.2966704646906957,0.8073494976317437,0.4383446480952135,0.4853515625,0.18017578125,0.01318359375,0.9045256583347432,0.9865492805653651,0.25836435483649567,0.9239159949815205,-0.05774594172447069,-0.03552359891265951,0.0760840050184794,0.42529296875,0.083984375,0.3585261586765578,0.3535533905932738,0.33712472796305,0.33233509704478426,0.3280567390994483,0.3238775800762401,0.35848362989615173,0.005051165738784253,0.00502549025082368,0.002429986271303318,0.804020966728231,0.0016274682090416076,19.95385973426076,0.10390845618169593,0.6709838068079241,0.6002763246393371,0.331738602201069
hopper,hopper,A,4,0,103,HopperHop_pathwise_fa_s103_final,2048,0.5198335519842604,recomputed_counterfactual,,0.08106231689453125,0.9043340324565408,0.38120985350103664,1.382823062155814,0.4388431041050076,6.097698919605609,1.3182373314497784,0.72900390625,0.5703125,0.35546875,0.982815312772106,0.9978302774978268,0.1415229410569126,0.6697818369710793,-0.01614678145011097,-0.002098741468874844,0.33021816302892065,0.6865234375,0.4111328125,0.3520896581064393,0.3535533905932738,0.3299895419069415,0.33233509704478426,0.31720777844365167,0.3238775800762401,0.9287746779144815,0.19810573150672264,0.004637793369375684,0.8664267838748185,0.33805566342007987,0.17573267628405612,28.731510392389346,0.05648070047364455,0.708436579525884,127.9274164568068,8.433070163292683
hopper,hopper,A,4,0,104,HopperHop_pathwise_fa_s104_final,2048,0.1187778567048727,recomputed_counterfactual,,0.11916351318359375,0.5151827769810412,0.27840304754174144,3.297157359394876,0.35138936063771825,10.770853916659764,3.2516427939998414,0.6494140625,0.56396484375,0.51025390625,0.9842889655390749,0.9996738235229892,0.03792763957037779,0.6903177930069941,-0.10267862436243706,-0.021918154647682944,0.30968220699300586,0.62890625,0.4296875,0.3540261261299026,0.3535533905932738,0.33274532564474446,0.33233509704478426,0.3241127853564889,0.3238775800762401,0.34708962918932285,0.07433907609492409,0.004363165875635445,0.15692381976588593,0.08464258774406998,0.01005366515819476,31.773916454854344,0.03648057106216067,0.7438837605299183,13.99456806872603,3.478386369983244
hopper,hopper,A,4,0,105,HopperHop_pathwise_fa_s105_final,2048,0.05729506859518352,recomputed_counterfactual,,0.000377655029296875,0.37754531405900377,0.20450646643305292,1.2182703238423311,0.29392700497738533,10.470662658006967,1.1225360126399475,0.611328125,0.517578125,0.439453125,0.9796651186922797,0.9982523000393393,0.10025368378515975,0.8064868038654254,-0.03171428656570895,-0.00749016202335414,0.19351319613457457,0.5732421875,0.37744140625,0.3553888773986673,0.3535533905932738,0.3343723003424416,0.33233509704478426,0.3272063618251674,0.3238775800762401,0.35521403564769805,0.006796064262094069,0.006686414076953327,0.00608716100076909,0.3573365490866667,0.020473622091486753,28.733712527262973,0.05390488105226143,0.3094861677286703,9.03488851437131,2.6775659355171157
hopper,hopper,A,4,0,106,HopperHop_pathwise_fa_s106_final,2048,0.07237343574621324,recomputed_counterfactual,,0.014278411865234375,0.8402814180010275,0.10227962041340179,9.596643255106965,0.3458211249651819,23.106407889562345,9.526398478334466,0.68896484375,0.62841796875,0.60595703125,0.9972497263488774,0.999972119309505,0.011007744675617125,0.5239626124081395,0.0036677093560591534,0.0005303853036459673,0.47603738759186054,0.6708984375,0.4892578125,0.35763081744569614,0.3535533905932738,0.3363453731005474,0.33233509704478426,0.3269997754795701,0.3238775800762401,0.8671479594218793,0.09394713360833151,0.006138262987752181,0.7871602159586926,0.029335870260380155,0.002123137721348877,31.97271395093775,0.03313381263423843,0.5716779464808505,14.920355101861128,6.058578086187914
hopper,hopper,A,4,0,107,HopperHop_pathwise_fa_s107_final,2048,0.04178140211244355,recomputed_counterfactual,,0.013675689697265625,0.7959500787125126,0.08053521651998831,1.62152419468256,0.3753891909816701,4.134671768752634,1.5125215268545549,0.70458984375,0.59130859375,0.3466796875,0.97471321695827,0.9989054051336893,0.07860201701100211,0.7032029942649431,-0.01406997184322898,-0.006219928182172284,0.2967970057350569,0.66162109375,0.37939453125,0.3546565036425802,0.3535533905932738,0.3335234943614154,0.33233509704478426,0.3268302814320754,0.3238775800762401,0.8362526007109828,0.12319456159780616,0.0018549343218269173,0.7629494567094912,0.24742195336268202,0.010337636124892483,30.372600739659987,0.04617653005737319,0.2820788771609754,3.6757646540175553,1.4032415458857508
hopper,hopper,A,4,0,108,HopperHop_pathwise_fa_s108_final,2048,0.002246270872985731,recomputed_counterfactual,,0.00034332275390625,0.3620815732261359,0.07329888224757451,0.4469549064662497,0.2734089933313959,0.7254199487237057,0.3855062453976835,0.43701171875,0.1376953125,0.00634765625,0.870742187983562,0.9865253429511411,0.280361237890944,0.9369645742981425,-0.003925270610431408,-0.003433690849235696,0.0630354257018575,0.3671875,0.05712890625,0.3531925132544999,0.3535533905932738,0.33103108367659595,0.33233509704478426,0.32057809033786067,0.3238775800762401,0.3530877293746416,0.00556009802215964,0.0054618726998325,0.003989533580748324,0.8564171334003766,0.0019237448618832035,19.473154031803357,0.10237912566675597,0.6821539592155572,0.3958223527359752,0.27097292455151134
hopper,hopper,B,4,0,101,HopperHop_weighted_mle_s101_final,2048,0.0010394130367785692,measured,0.0010394130367785692,0.041042327880859375,0.2600859296069144,0.004535300455796484,0.2626661949837501,0.16389350207589165,0.4423167285539602,0.15847809654336636,0.20263671875,0.0556640625,0.00341796875,0.6071803673668786,0.92586997383399,0.8971144483181439,0.9766680373186939,-0.023886915537439816,-0.011423930179722899,0.023331962681306107,0.181640625,0.02734375,0.35260160554922304,0.3535533905932738,0.3313028712190622,0.33233509704478426,0.3238040199402417,0.3238775800762401,0.4019531288865572,0.04270339041280987,0.0027378906787863346,0.21363752548570428,2.3011753977302387,0.002391871708314916,6.161641389290313,0.28730341170546525,0.6455465648845753,0.35546476668668564,0.17119414219817783
hopper,hopper,B,4,0,102,HopperHop_weighted_mle_s102_final,2048,0.0012306231074035168,measured,0.0012306231074035168,0.00395965576171875,0.29678023181166696,0.09364168061323347,0.3327119286940132,0.21554378026774318,0.5645030584226105,0.2618852726422895,0.30517578125,0.107421875,0.02197265625,0.8179172340006362,0.9692112074251882,0.44159496679845334,0.9614452642931162,-0.058963260916312474,-0.026931912033840738,0.03855473570688378,0.26953125,0.0546875,0.3584459503941737,0.3535533905932738,0.33748343878448595,0.33233509704478426,0.32898324762380715,0.3238775800762401,0.35734009605570904,0.006328536893978308,0.006240378570646913,0.015564919624020413,1.4532787353336298,0.0017884383931997222,11.235306546477556,0.18226974131976598,0.6291378564792779,0.6578383014900601,0.2457084959319976
