task,arm,seed,M,eta,gate_open_frac,A_open,B_open,net_open,A_pooled,B_pooled,net_pooled,A_pred_pooled,gnorm,sigma,sig_star,curv_pooled,abs_curv,frac_curv_pos,ess,kl_med,spearman_A_dmu,spearman_A_Apred,slope_A_on_Apred
walker,PW_ent,301,16,0.21938666392009734,0.0,nan,nan,nan,0.6526079773902893,-1.0884299278259277,-0.15591709315776825,0.49321460723876953,0.29417693614959717,0.48317021131515503,0.5362675189971924,0.06685696542263031,0.11013077944517136,0.732421875,12.965652465820312,0.877269983291626,1.0,0.6781860830729793,0.0018705552211031318
walker,PW_ent,301,32,0.2683481257704013,0.021484375,0.0677260234951973,-0.08017969131469727,-0.006424762308597565,0.3967955410480499,-0.6861114501953125,-0.08240293711423874,0.32965466380119324,0.29417693614959717,0.48317021131515503,0.45310449600219727,0.07514149695634842,0.11549831181764603,0.748046875,26.971710205078125,0.4198516607284546,1.0,0.7758155555841658,0.0028766265604645014
walker,PW_ent,302,16,0.24634779375698013,0.001953125,0.1241486668586731,0.5055456161499023,0.6296942830085754,0.690993070602417,-1.2453062534332275,-0.2144475281238556,0.5529965758323669,0.39055514335632324,0.45144522190093994,0.48670250177383423,0.09357428550720215,0.1469007134437561,0.744140625,12.05455207824707,1.021751046180725,1.0,0.747401644808368,0.007412625942379236
walker,PW_ent,302,32,0.2943524595269611,0.01953125,0.08759862184524536,0.1140592098236084,0.21573598682880402,0.42957836389541626,-0.8190865516662598,-0.0914672464132309,0.3873329758644104,0.39055514335632324,0.45144522190093994,0.3976227641105652,0.08269965648651123,0.1397639960050583,0.74609375,25.14535903930664,0.46399247646331787,1.0,0.7834172331513716,0.008951401337981224
walker,PW_ent,303,16,0.2541691417016055,0.001953125,0.17437610030174255,-0.1847977638244629,-0.010421663522720337,0.6538558602333069,-1.139927625656128,-0.16108259558677673,0.32243484258651733,0.28790703415870667,0.4697767198085785,0.6266381144523621,0.09401509910821915,0.1379009485244751,0.763671875,13.238981246948242,0.8563696146011353,1.0,0.7236720511323972,0.0003560032928362489
walker,PW_ent,303,32,0.32012354104823143,0.021484375,0.06571689993143082,-0.08705949783325195,-0.042793627828359604,0.37295421957969666,-0.7181189060211182,0.02775997668504715,0.20326022803783417,0.28790703415870667,0.4697767198085785,0.5437403917312622,0.09758929163217545,0.14849255979061127,0.791015625,27.93022346496582,0.3694790303707123,1.0,0.7670754547613327,0.0004981986130587757
walker,PW_ent,304,16,0.38947567025607843,0.0,nan,nan,nan,0.6183806657791138,-0.9868443012237549,-0.023657262325286865,0.18678338825702667,0.3445027470588684,0.44925346970558167,0.8009630441665649,0.08239652216434479,0.14819149672985077,0.728515625,14.211296081542969,0.7456525564193726,1.0,0.7005962931014752,0.0044094594195485115
walker,PW_ent,304,32,0.5773646656761119,0.03515625,0.08097280561923981,0.22353076934814453,0.29382482171058655,0.2946939170360565,-0.6345582008361816,-0.009808080270886421,0.08499601483345032,0.3445027470588684,0.44925346970558167,0.8128763437271118,0.08170240372419357,0.13929060101509094,0.748046875,29.975994110107422,0.3164694309234619,1.0,0.6991115059337842,0.008053982630372047
walker,PW_ent,305,16,0.2507535538167494,0.0,nan,nan,nan,0.600000262260437,-1.1875391006469727,-0.19266405701637268,0.4071784019470215,0.28559499979019165,0.4664551615715027,0.6259201169013977,0.07165433466434479,0.1362554430961609,0.716796875,13.032747268676758,0.9262075424194336,1.0,0.6127000577928841,6.847718759672716e-05
walker,PW_ent,305,32,0.3076775745337074,0.0234375,0.08104796707630157,0.0989389419555664,0.16668809950351715,0.33773958683013916,-0.7499649524688721,-0.09576163440942764,0.2704501748085022,0.28559499979019165,0.4664551615715027,0.5255696773529053,0.07441170513629913,0.12975533306598663,0.724609375,27.34701919555664,0.3870515823364258,1.0,0.6632566719309689,6.602507346542552e-05
walker,PW_ent,306,16,0.3753957720022498,0.001953125,0.02919839508831501,-0.32236480712890625,-0.2931663990020752,0.5539389848709106,-1.0214407444000244,-0.12841789424419403,0.238679438829422,0.37405717372894287,0.44697731733322144,0.6649941205978394,0.12758785486221313,0.17264854907989502,0.76171875,14.071711540222168,0.7887920141220093,1.0,0.7163747160423891,0.0038191452622413635
walker,PW_ent,306,32,0.4796567108667057,0.03515625,0.07766181230545044,0.031644582748413086,0.1491439938545227,0.29926803708076477,-0.6273996829986572,0.003627009689807892,0.14619505405426025,0.37405717372894287,0.44697731733322144,0.5918099284172058,0.1254066526889801,0.17197248339653015,0.79296875,29.278480529785156,0.3457185626029968,1.0,0.7441364005046863,0.005963939242064953
walker,PW_ent,307,16,0.27962143775782516,0.0,nan,nan,nan,0.6183964014053345,-0.9597537517547607,-0.05099501088261604,0.3383009433746338,0.34497904777526855,0.43831580877304077,0.5750868320465088,0.08309522271156311,0.14054527878761292,0.73828125,12.990215301513672,0.8612037897109985,1.0,0.6907226864249666,0.008281270042061806
walker,PW_ent,307,32,0.3795529887202766,0.029296875,0.061139341443777084,-0.13347768783569336,-0.07438306510448456,0.3494756817817688,-0.6088941097259521,-0.015047691762447357,0.18361127376556396,0.34497904777526855,0.43831580877304077,0.5275212526321411,0.09050338715314865,0.13240237534046173,0.763671875,28.15605926513672,0.3758450746536255,1.0,0.7500019669607809,0.014559443108737469
walker,PW_ent,308,16,0.3897624791310777,0.0,nan,nan,nan,0.523069441318512,-0.990839958190918,-0.15063849091529846,0.34924042224884033,0.4602985382080078,0.4377896189689636,0.6215392351150513,0.10542066395282745,0.20438510179519653,0.73046875,13.6099853515625,0.7764148712158203,1.0,0.6112616730181618,0.0023185652680695057
